mean 0.648870544035678, prms 0.00109449234323912, median 0.648834, min 0.648834, max 0.681614, adev 7.30065907823847e-05, rms 0.00109388208819127
=== Full report: ===
    1 aan-0001.png 912x1338 0.68 29.92
    2 aan-0002.png 1419x2187 0.65 -0.03
    3 aan-0003.png 1419x2187 0.65 -0.03
    4 aan-0004.png 1419x2187 0.65 -0.03
    5 aan-0005.png 1419x2187 0.65 -0.03
    6 aan-0006.png 1419x2187 0.65 -0.03
    7 aan-0007.png 1419x2187 0.65 -0.03
    8 aan-0008.png 1419x2187 0.65 -0.03
    9 aan-0009.png 1419x2187 0.65 -0.03
   10 aan-0010.png 1419x2187 0.65 -0.03
   11 aan-0011.png 1419x2187 0.65 -0.03
   12 aan-0012.png 1419x2187 0.65 -0.03
   13 aan-0013.png 1419x2187 0.65 -0.03
   14 aan-0014.png 1419x2187 0.65 -0.03
   15 aan-0015.png 1419x2187 0.65 -0.03
   16 aan-0016.png 1419x2187 0.65 -0.03
   17 aan-0017.png 1419x2187 0.65 -0.03
   18 aan-0018.png 1419x2187 0.65 -0.03
   19 aan-0019.png 1419x2187 0.65 -0.03
   20 aan-0020.png 1419x2187 0.65 -0.03
   21 aan-0021.png 1419x2187 0.65 -0.03
   22 aan-0022.png 1419x2187 0.65 -0.03
   23 aan-0023.png 1419x2187 0.65 -0.03
   24 aan-0024.png 1419x2187 0.65 -0.03
   25 aan-0025.png 1419x2187 0.65 -0.03
   26 aan-0026.png 1419x2187 0.65 -0.03
   27 aan-0027.png 1419x2187 0.65 -0.03
   28 aan-0028.png 1419x2187 0.65 -0.03
   29 aan-0029.png 1419x2187 0.65 -0.03
   30 aan-0030.png 1419x2187 0.65 -0.03
   31 aan-0031.png 1419x2187 0.65 -0.03
   32 aan-0032.png 1419x2187 0.65 -0.03
   33 aan-0033.png 1419x2187 0.65 -0.03
   34 aan-0034.png 1419x2187 0.65 -0.03
   35 aan-0035.png 1419x2187 0.65 -0.03
   36 aan-0036.png 1419x2187 0.65 -0.03
   37 aan-0037.png 1419x2187 0.65 -0.03
   38 aan-0038.png 1419x2187 0.65 -0.03
