mean 0.611845181642514, prms 0.27001026995336, median 0.57924, min 0.512295, max 5.58036, adev 0.061484620670729, rms 0.269879798687006
=== Full report: ===
    1 amj-0001.png 1250x1760 0.71 0.36
    2 amj-0002.png 1250x2440 0.51 -0.37
    3 amj-0003.png 1250x1006 1.24 2.34
    4 amj-0004.png 1250x1402 0.89 1.04
    5 amj-0005.png 1250x1825 0.68 0.27
    6 amj-0006.png 1250x2041 0.61 0.00
    7 amj-0007.png 1250x1413 0.88 1.01
    8 amj-0008.png 1250x1430 0.87 0.97
    9 amj-0009.png 1250x2012 0.62 0.03
   10 amj-0010.png 1250x2185 0.57 -0.15
   11 amj-0011.png 1250x2194 0.57 -0.16
   12 amj-0012.png 1250x2179 0.57 -0.14
   13 amj-0013.png 1250x2189 0.57 -0.15
   14 amj-0014.png 1250x2195 0.57 -0.16
   15 amj-0015.png 1250x2204 0.57 -0.17
   16 amj-0016.png 1250x2180 0.57 -0.14
   17 amj-0017.png 1250x2136 0.59 -0.10
   18 amj-0018.png 1250x2197 0.57 -0.16
   19 amj-0019.png 1250x2181 0.57 -0.14
   20 amj-0020.png 1250x2166 0.58 -0.13
   21 amj-0021.png 1250x1486 0.84 0.85
   22 amj-0022.png 1250x1966 0.64 0.09
   23 amj-0023.png 1250x2149 0.58 -0.11
   24 amj-0024.png 1250x2140 0.58 -0.10
   25 amj-0025.png 1250x2154 0.58 -0.12
   26 amj-0026.png 1250x2146 0.58 -0.11
   27 amj-0027.png 1250x2166 0.58 -0.13
   28 amj-0028.png 1250x2178 0.57 -0.14
   29 amj-0029.png 1250x2139 0.58 -0.10
   30 amj-0030.png 1250x2218 0.56 -0.18
   31 amj-0031.png 1250x2159 0.58 -0.12
   32 amj-0032.png 1250x2174 0.57 -0.14
   33 amj-0033.png 1250x2163 0.58 -0.13
   34 amj-0034.png 1250x2151 0.58 -0.11
   35 amj-0035.png 1250x2179 0.57 -0.14
   36 amj-0036.png 1250x2162 0.58 -0.12
   37 amj-0037.png 1250x2159 0.58 -0.12
   38 amj-0038.png 1250x2155 0.58 -0.12
   39 amj-0039.png 1250x2159 0.58 -0.12
   40 amj-0040.png 1250x2146 0.58 -0.11
   41 amj-0041.png 1250x2111 0.59 -0.07
   42 amj-0042.png 1250x2149 0.58 -0.11
   43 amj-0043.png 1250x2140 0.58 -0.10
   44 amj-0044.png 1250x690 1.81 4.44
   45 amj-0045.png 1250x1944 0.64 0.12
   46 amj-0046.png 1250x2161 0.58 -0.12
   47 amj-0047.png 1250x2132 0.59 -0.09
   48 amj-0048.png 1250x2169 0.58 -0.13
   49 amj-0049.png 1250x2155 0.58 -0.12
   50 amj-0050.png 1250x2138 0.58 -0.10
   51 amj-0051.png 1250x2164 0.58 -0.13
   52 amj-0052.png 1250x2153 0.58 -0.12
   53 amj-0053.png 1250x2151 0.58 -0.11
   54 amj-0054.png 1250x2156 0.58 -0.12
   55 amj-0055.png 1250x2142 0.58 -0.10
   56 amj-0056.png 1250x2176 0.57 -0.14
   57 amj-0057.png 1250x2149 0.58 -0.11
   58 amj-0058.png 1250x2143 0.58 -0.11
   59 amj-0059.png 1250x2163 0.58 -0.13
   60 amj-0060.png 1250x2150 0.58 -0.11
   61 amj-0061.png 1250x2158 0.58 -0.12
   62 amj-0062.png 1250x2209 0.57 -0.17
   63 amj-0063.png 1250x2124 0.59 -0.09
   64 amj-0064.png 1250x2140 0.58 -0.10
   65 amj-0065.png 1250x2161 0.58 -0.12
   66 amj-0066.png 1250x2151 0.58 -0.11
   67 amj-0067.png 1250x2154 0.58 -0.12
   68 amj-0068.png 1250x2167 0.58 -0.13
   69 amj-0069.png 1250x2145 0.58 -0.11
   70 amj-0070.png 1250x2155 0.58 -0.12
   71 amj-0071.png 1250x2144 0.58 -0.11
   72 amj-0072.png 1250x2145 0.58 -0.11
   73 amj-0073.png 1250x2146 0.58 -0.11
   74 amj-0074.png 1250x2163 0.58 -0.13
   75 amj-0075.png 1250x2150 0.58 -0.11
   76 amj-0076.png 1250x2164 0.58 -0.13
   77 amj-0077.png 1250x2141 0.58 -0.10
   78 amj-0078.png 1250x1616 0.77 0.60
   79 amj-0079.png 1250x1975 0.63 0.08
   80 amj-0080.png 1250x2141 0.58 -0.10
   81 amj-0081.png 1250x2142 0.58 -0.10
   82 amj-0082.png 1250x2140 0.58 -0.10
   83 amj-0083.png 1250x2169 0.58 -0.13
   84 amj-0084.png 1250x2140 0.58 -0.10
   85 amj-0085.png 1250x2144 0.58 -0.11
   86 amj-0086.png 1250x2118 0.59 -0.08
   87 amj-0087.png 1250x2103 0.59 -0.06
   88 amj-0088.png 1250x2140 0.58 -0.10
   89 amj-0089.png 1250x1956 0.64 0.10
   90 amj-0090.png 1250x2142 0.58 -0.10
   91 amj-0091.png 1250x2124 0.59 -0.09
   92 amj-0092.png 1250x2139 0.58 -0.10
