mean 0.628278939377967, prms 0.0778685893744906, median 0.623441, min 0.324359, max 2.66667, adev 0.0121005721032782, rms 0.0778480625283782
=== Full report: ===
    1 auh-0000.png 1000x2342 0.43 -2.59
    2 auh-0001.png 1000x3071 0.33 -3.89
    3 auh-0002.png 1000x1576 0.63 0.08
    4 auh-0003.png 1000x1444 0.69 0.83
    5 auh-0004.png 1000x1600 0.62 -0.04
    6 auh-0005.png 1000x1612 0.62 -0.10
    7 auh-0006.png 1000x1599 0.63 -0.04
    8 auh-0007.png 1000x1569 0.64 0.12
    9 auh-0008.png 1000x1576 0.63 0.08
   10 auh-0009.png 1000x1557 0.64 0.18
   11 auh-0010.png 1000x1634 0.61 -0.21
   12 auh-0011.png 1000x1554 0.64 0.20
   13 auh-0012.png 1000x1585 0.63 0.03
   14 auh-0013.png 1000x1601 0.62 -0.05
   15 auh-0014.png 1000x535 1.87 15.94
   16 auh-0015.png 1000x1871 0.53 -1.20
   17 auh-0016.png 1000x1739 0.58 -0.68
   18 auh-0017.png 1000x1701 0.59 -0.52
   19 auh-0018.png 1000x1624 0.62 -0.16
   20 auh-0019.png 1000x1535 0.65 0.30
   21 auh-0020.png 1000x1587 0.63 0.02
   22 auh-0021.png 1000x1582 0.63 0.05
   23 auh-0022.png 1000x1630 0.61 -0.19
   24 auh-0023.png 1000x1614 0.62 -0.11
   25 auh-0024.png 1000x1590 0.63 0.01
   26 auh-0025.png 1000x1531 0.65 0.32
   27 auh-0026.png 1000x1561 0.64 0.16
   28 auh-0027.png 1000x1627 0.61 -0.18
   29 auh-0028.png 1000x1611 0.62 -0.10
   30 auh-0029.png 1000x1582 0.63 0.05
   31 auh-0030.png 1000x1569 0.64 0.12
   32 auh-0031.png 1000x1592 0.63 -0.00
   33 auh-0032.png 1000x662 1.51 11.33
   34 auh-0033.png 1000x1599 0.63 -0.04
   35 auh-0034.png 1000x1609 0.62 -0.09
   36 auh-0035.png 1000x1611 0.62 -0.10
   37 auh-0036.png 1000x808 1.24 7.83
   38 auh-0037.png 1000x1613 0.62 -0.11
   39 auh-0038.png 1000x1604 0.62 -0.06
   40 auh-0039.png 1000x1605 0.62 -0.07
   41 auh-0040.png 1000x1602 0.62 -0.05
   42 auh-0041.png 1000x1604 0.62 -0.06
   43 auh-0042.png 1000x1612 0.62 -0.10
   44 auh-0043.png 1000x1613 0.62 -0.11
   45 auh-0044.png 1000x1604 0.62 -0.06
   46 auh-0045.png 1000x1598 0.63 -0.03
   47 auh-0046.png 1000x1588 0.63 0.02
   48 auh-0047.png 1000x1608 0.62 -0.08
   49 auh-0048.png 1000x1590 0.63 0.01
   50 auh-0049.png 1000x1598 0.63 -0.03
   51 auh-0050.png 1000x1590 0.63 0.01
   52 auh-0051.png 1000x1595 0.63 -0.02
   53 auh-0052.png 1000x1595 0.63 -0.02
   54 auh-0053.png 1000x1599 0.63 -0.04
   55 auh-0054.png 1000x1591 0.63 0.00
   56 auh-0055.png 1000x1596 0.63 -0.02
   57 auh-0056.png 1000x1600 0.62 -0.04
   58 auh-0057.png 1000x1577 0.63 0.07
   59 auh-0058.png 1000x1551 0.64 0.21
   60 auh-0059.png 1000x1608 0.62 -0.08
   61 auh-0060.png 1000x1598 0.63 -0.03
   62 auh-0061.png 1000x1606 0.62 -0.07
   63 auh-0062.png 1000x1602 0.62 -0.05
   64 auh-0063.png 1000x1611 0.62 -0.10
   65 auh-0064.png 1000x1590 0.63 0.01
   66 auh-0065.png 1000x1599 0.63 -0.04
   67 auh-0066.png 1000x1589 0.63 0.01
   68 auh-0067.png 1000x1603 0.62 -0.06
   69 auh-0068.png 1000x1591 0.63 0.00
   70 auh-0069.png 1000x1612 0.62 -0.10
   71 auh-0070.png 1000x1612 0.62 -0.10
   72 auh-0071.png 1000x1615 0.62 -0.12
   73 auh-0072.png 1000x1604 0.62 -0.06
   74 auh-0073.png 1000x1583 0.63 0.04
   75 auh-0074.png 1000x1606 0.62 -0.07
   76 auh-0075.png 1000x1604 0.62 -0.06
   77 auh-0076.png 1000x1598 0.63 -0.03
   78 auh-0077.png 1000x1601 0.62 -0.05
   79 auh-0078.png 1000x1594 0.63 -0.01
   80 auh-0079.png 1000x1603 0.62 -0.06
   81 auh-0080.png 1000x1613 0.62 -0.11
   82 auh-0081.png 1000x1580 0.63 0.06
   83 auh-0082.png 1000x1588 0.63 0.02
   84 auh-0083.png 1000x1599 0.63 -0.04
   85 auh-0084.png 1000x1607 0.62 -0.08
   86 auh-0085.png 1000x1595 0.63 -0.02
   87 auh-0086.png 1000x1598 0.63 -0.03
   88 auh-0087.png 1000x1598 0.63 -0.03
   89 auh-0088.png 1000x1592 0.63 -0.00
   90 auh-0089.png 1000x1600 0.62 -0.04
   91 auh-0090.png 1000x1607 0.62 -0.08
   92 auh-0091.png 1000x1595 0.63 -0.02
   93 auh-0092.png 1000x1599 0.63 -0.04
   94 auh-0093.png 1000x1603 0.62 -0.06
   95 auh-0094.png 1000x1597 0.63 -0.03
   96 auh-0095.png 1000x1598 0.63 -0.03
   97 auh-0096.png 1000x1598 0.63 -0.03
   98 auh-0097.png 1000x1603 0.62 -0.06
   99 auh-0098.png 1000x1597 0.63 -0.03
  100 auh-0099.png 1000x1611 0.62 -0.10
  101 auh-1000.png 1000x1600 0.62 -0.04
  102 auh-1001.png 1000x1618 0.62 -0.13
  103 auh-1002.png 1000x1620 0.62 -0.14
  104 auh-1003.png 1000x1603 0.62 -0.06
  105 auh-1004.png 1000x1567 0.64 0.13
  106 auh-1005.png 1000x1598 0.63 -0.03
  107 auh-1006.png 1000x1587 0.63 0.02
  108 auh-1007.png 1000x1586 0.63 0.03
  109 auh-1008.png 1000x1580 0.63 0.06
  110 auh-1009.png 1000x1595 0.63 -0.02
  111 auh-1010.png 1000x1580 0.63 0.06
  112 auh-1011.png 1000x1605 0.62 -0.07
  113 auh-1012.png 1000x1598 0.63 -0.03
  114 auh-1013.png 1000x1602 0.62 -0.05
  115 auh-1014.png 1000x1601 0.62 -0.05
  116 auh-1015.png 1000x1595 0.63 -0.02
  117 auh-1016.png 1000x1602 0.62 -0.05
  118 auh-1017.png 1000x1616 0.62 -0.12
  119 auh-1018.png 1000x1596 0.63 -0.02
  120 auh-1019.png 1000x1603 0.62 -0.06
  121 auh-1020.png 1000x1598 0.63 -0.03
  122 auh-1021.png 1000x1598 0.63 -0.03
  123 auh-1022.png 1000x1602 0.62 -0.05
  124 auh-1023.png 1000x1608 0.62 -0.08
  125 auh-1024.png 1000x1602 0.62 -0.05
  126 auh-1025.png 1000x1599 0.63 -0.04
  127 auh-1026.png 1000x1608 0.62 -0.08
  128 auh-1027.png 1000x1604 0.62 -0.06
  129 auh-1028.png 1000x1586 0.63 0.03
  130 auh-1029.png 1000x1589 0.63 0.01
