mean 0.697468775551103, prms 0.458645216935319, median 0.649351, min 0.308833, max 12.6582, adev 0.0919205106083921, rms 0.458415377172985
=== Full report: ===
    1 bdw-0000.png 1000x1625 0.62 -0.18
    2 bdw-0001.png 1000x1467 0.68 -0.03
    3 bdw-0002.png 1000x579 1.73 2.24
    4 bdw-0003.png 1000x1402 0.71 0.03
    5 bdw-0004.png 1000x3238 0.31 -0.85
    6 bdw-0005.png 1000x1412 0.71 0.02
    7 bdw-0006.png 1000x256 3.91 7.00
    8 bdw-0007.png 1000x1277 0.78 0.19
    9 bdw-0008.png 1000x1557 0.64 -0.12
   10 bdw-0009.png 1000x1545 0.65 -0.11
   11 bdw-0010.png 1000x1558 0.64 -0.12
   12 bdw-0011.png 1000x1548 0.65 -0.11
   13 bdw-0012.png 1000x1560 0.64 -0.12
   14 bdw-0013.png 1000x1539 0.65 -0.10
   15 bdw-0014.png 1000x1548 0.65 -0.11
   16 bdw-0015.png 1000x1558 0.64 -0.12
   17 bdw-0016.png 1000x1556 0.64 -0.12
   18 bdw-0017.png 1000x1562 0.64 -0.12
   19 bdw-0018.png 1000x932 1.07 0.82
   20 bdw-0019.png 1000x1241 0.81 0.24
   21 bdw-0020.png 1000x1541 0.65 -0.11
   22 bdw-0021.png 1000x1543 0.65 -0.11
   23 bdw-0022.png 1000x1545 0.65 -0.11
   24 bdw-0023.png 1000x1534 0.65 -0.10
   25 bdw-0024.png 1000x1543 0.65 -0.11
   26 bdw-0025.png 1000x1530 0.65 -0.10
   27 bdw-0026.png 1000x1535 0.65 -0.10
   28 bdw-0027.png 1000x1542 0.65 -0.11
   29 bdw-0028.png 1000x1531 0.65 -0.10
   30 bdw-0029.png 1000x1536 0.65 -0.10
   31 bdw-0030.png 1000x1539 0.65 -0.10
   32 bdw-0031.png 1000x1531 0.65 -0.10
   33 bdw-0032.png 1000x1534 0.65 -0.10
   34 bdw-0033.png 1000x1537 0.65 -0.10
   35 bdw-0034.png 1000x1540 0.65 -0.10
   36 bdw-0035.png 1000x1540 0.65 -0.10
   37 bdw-0036.png 1000x1540 0.65 -0.10
   38 bdw-0037.png 1000x1580 0.63 -0.14
   39 bdw-0038.png 1000x1548 0.65 -0.11
   40 bdw-0039.png 1000x1561 0.64 -0.12
   41 bdw-0040.png 1000x1548 0.65 -0.11
   42 bdw-0041.png 1000x1542 0.65 -0.11
   43 bdw-0042.png 1000x1542 0.65 -0.11
   44 bdw-0043.png 1000x1541 0.65 -0.11
   45 bdw-0044.png 1000x1536 0.65 -0.10
   46 bdw-0045.png 1000x1545 0.65 -0.11
   47 bdw-0046.png 1000x1546 0.65 -0.11
   48 bdw-0047.png 1000x1531 0.65 -0.10
   49 bdw-0048.png 1000x1547 0.65 -0.11
   50 bdw-0049.png 1000x1572 0.64 -0.13
   51 bdw-0050.png 1000x1545 0.65 -0.11
   52 bdw-0051.png 1000x1551 0.64 -0.11
   53 bdw-0052.png 1000x1533 0.65 -0.10
   54 bdw-0053.png 1000x1537 0.65 -0.10
   55 bdw-0054.png 1000x1539 0.65 -0.10
   56 bdw-0055.png 1000x1546 0.65 -0.11
   57 bdw-0056.png 1000x1536 0.65 -0.10
   58 bdw-0057.png 1000x1570 0.64 -0.13
   59 bdw-0058.png 1000x1539 0.65 -0.10
   60 bdw-0059.png 1000x1538 0.65 -0.10
   61 bdw-0060.png 1000x1539 0.65 -0.10
   62 bdw-0061.png 1000x1532 0.65 -0.10
   63 bdw-0062.png 1000x1555 0.64 -0.12
   64 bdw-0063.png 1000x1537 0.65 -0.10
   65 bdw-0064.png 1000x1540 0.65 -0.10
   66 bdw-0065.png 1000x619 1.62 2.00
   67 bdw-0066.png 1000x1528 0.65 -0.09
   68 bdw-0067.png 1000x1536 0.65 -0.10
   69 bdw-0068.png 1000x1543 0.65 -0.11
   70 bdw-0069.png 1000x1544 0.65 -0.11
   71 bdw-0070.png 1000x1534 0.65 -0.10
   72 bdw-0071.png 1000x1540 0.65 -0.10
   73 bdw-0072.png 1000x1539 0.65 -0.10
   74 bdw-0073.png 1000x1539 0.65 -0.10
   75 bdw-0074.png 1000x1540 0.65 -0.10
   76 bdw-0075.png 1000x1577 0.63 -0.14
   77 bdw-0076.png 1000x1540 0.65 -0.10
   78 bdw-0077.png 1000x1540 0.65 -0.10
   79 bdw-0078.png 1000x1542 0.65 -0.11
   80 bdw-0079.png 1000x1535 0.65 -0.10
   81 bdw-0080.png 1000x1535 0.65 -0.10
   82 bdw-0081.png 1000x1577 0.63 -0.14
   83 bdw-0082.png 1000x1593 0.63 -0.15
   84 bdw-0083.png 1000x1531 0.65 -0.10
   85 bdw-0084.png 1000x1537 0.65 -0.10
   86 bdw-0085.png 1000x1547 0.65 -0.11
   87 bdw-0086.png 1000x1542 0.65 -0.11
   88 bdw-0087.png 1000x1551 0.64 -0.11
   89 bdw-0088.png 1000x1537 0.65 -0.10
   90 bdw-0089.png 1000x1544 0.65 -0.11
   91 bdw-0090.png 1000x1538 0.65 -0.10
   92 bdw-0091.png 1000x1605 0.62 -0.16
   93 bdw-0092.png 1000x1544 0.65 -0.11
   94 bdw-0093.png 1000x1549 0.65 -0.11
   95 bdw-0094.png 1000x1544 0.65 -0.11
   96 bdw-0095.png 1000x1547 0.65 -0.11
   97 bdw-0096.png 1000x1546 0.65 -0.11
   98 bdw-0097.png 1000x1532 0.65 -0.10
   99 bdw-0098.png 1000x1538 0.65 -0.10
  100 bdw-0099.png 1000x1557 0.64 -0.12
  101 bdw-0100.png 1000x1533 0.65 -0.10
  102 bdw-0101.png 1000x1542 0.65 -0.11
  103 bdw-0102.png 1000x1540 0.65 -0.10
  104 bdw-0103.png 1000x1542 0.65 -0.11
  105 bdw-0104.png 1000x1542 0.65 -0.11
  106 bdw-0105.png 1000x1591 0.63 -0.15
  107 bdw-0106.png 1000x1516 0.66 -0.08
  108 bdw-0107.png 1000x1536 0.65 -0.10
  109 bdw-0108.png 1000x1547 0.65 -0.11
  110 bdw-0109.png 1000x1542 0.65 -0.11
  111 bdw-0110.png 1000x1541 0.65 -0.11
  112 bdw-0111.png 1000x1527 0.65 -0.09
  113 bdw-0112.png 1000x1546 0.65 -0.11
  114 bdw-0113.png 1000x1550 0.65 -0.11
  115 bdw-0114.png 1000x1516 0.66 -0.08
  116 bdw-0115.png 1000x1551 0.64 -0.11
  117 bdw-0116.png 1000x1538 0.65 -0.10
  118 bdw-0117.png 1000x1541 0.65 -0.11
  119 bdw-0118.png 1000x1529 0.65 -0.09
  120 bdw-0119.png 1000x1544 0.65 -0.11
  121 bdw-0120.png 1000x1541 0.65 -0.11
  122 bdw-0121.png 1000x1524 0.66 -0.09
  123 bdw-0122.png 1000x1542 0.65 -0.11
  124 bdw-0123.png 1000x1570 0.64 -0.13
  125 bdw-0124.png 1000x1533 0.65 -0.10
  126 bdw-0125.png 1000x1541 0.65 -0.11
  127 bdw-0126.png 1000x1545 0.65 -0.11
  128 bdw-0127.png 1000x1538 0.65 -0.10
  129 bdw-0128.png 1000x1539 0.65 -0.10
  130 bdw-0129.png 1000x1539 0.65 -0.10
  131 bdw-0130.png 1000x1517 0.66 -0.08
  132 bdw-0131.png 1000x1544 0.65 -0.11
  133 bdw-0132.png 1000x1541 0.65 -0.11
