mean 0.729978779675492, prms 0.163998800452902, median 0.721256, min 0.291339, max 3.35561, adev 0.036011731036339, rms 0.163928760389723
=== Full report: ===
    1 ens-0001.png 1276x1296 0.98 1.55
    2 ens-0002.png 1320x1788 0.74 0.05
    3 ens-0003.png 1310x1920 0.68 -0.29
    4 ens-0004.png 1319x1792 0.74 0.04
    5 ens-0005.png 1300x1884 0.69 -0.24
    6 ens-0006.png 1303x1780 0.73 0.01
    7 ens-0007.png 1347x1918 0.70 -0.17
    8 ens-0008.png 1270x1743 0.73 -0.01
    9 ens-0009.png 1296x1893 0.68 -0.28
   10 ens-0010.png 1268x1751 0.72 -0.04
   11 ens-0011.png 1296x1892 0.68 -0.27
   12 ens-0012.png 1284x1766 0.73 -0.02
   13 ens-0013.png 1311x1868 0.70 -0.17
   14 ens-0014.png 1263x1870 0.68 -0.33
   15 ens-0015.png 1307x1866 0.70 -0.18
   16 ens-0016.png 1288x1751 0.74 0.03
   17 ens-0017.png 1287x1765 0.73 -0.00
   18 ens-0018.png 1268x1756 0.72 -0.05
   19 ens-0019.png 1312x1879 0.70 -0.19
   20 ens-0020.png 1271x1750 0.73 -0.02
   21 ens-0021.png 1293x1779 0.73 -0.02
   22 ens-0022.png 1280x1759 0.73 -0.01
   23 ens-0023.png 1280x1766 0.72 -0.03
   24 ens-0024.png 1270x1755 0.72 -0.04
   25 ens-0025.png 1304x1884 0.69 -0.23
   26 ens-0026.png 1264x1732 0.73 -0.00
   27 ens-0027.png 1294x1855 0.70 -0.20
   28 ens-0028.png 1268x1741 0.73 -0.01
   29 ens-0029.png 1284x1878 0.68 -0.28
   30 ens-0030.png 1280x1756 0.73 -0.01
   31 ens-0031.png 1283x1870 0.69 -0.27
   32 ens-0032.png 1252x1707 0.73 0.02
   33 ens-0033.png 1288x1772 0.73 -0.02
   34 ens-0034.png 1243x1716 0.72 -0.03
   35 ens-0035.png 1274x1742 0.73 0.01
   36 ens-0036.png 1299x1809 0.72 -0.07
   37 ens-0037.png 1278x1854 0.69 -0.25
   38 ens-0038.png 1304x1791 0.73 -0.01
   39 ens-0039.png 1288x1876 0.69 -0.26
   40 ens-0040.png 1295x1766 0.73 0.02
   41 ens-0041.png 1300x1788 0.73 -0.02
   42 ens-0042.png 1270x1723 0.74 0.04
   43 ens-0043.png 1304x1888 0.69 -0.24
   44 ens-0044.png 1268x1764 0.72 -0.07
   45 ens-0045.png 1287x1790 0.72 -0.07
   46 ens-0046.png 1280x1755 0.73 -0.00
   47 ens-0047.png 1292x1818 0.71 -0.12
   48 ens-0048.png 1270x1763 0.72 -0.06
   49 ens-0049.png 1308x1867 0.70 -0.18
   50 ens-0050.png 1298x1800 0.72 -0.05
   51 ens-0051.png 1292x1860 0.69 -0.22
   52 ens-0052.png 1284x1762 0.73 -0.01
   53 ens-0053.png 1304x1891 0.69 -0.25
   54 ens-0054.png 1274x1760 0.72 -0.04
   55 ens-0055.png 1302x1779 0.73 0.01
   56 ens-0056.png 1276x1854 0.69 -0.25
   57 ens-0057.png 1307x1894 0.69 -0.24
   58 ens-0058.png 1266x1752 0.72 -0.04
   59 ens-0059.png 1288x1861 0.69 -0.23
   60 ens-0060.png 1283x1780 0.72 -0.06
   61 ens-0061.png 1280x1870 0.68 -0.28
   62 ens-0062.png 1275x1764 0.72 -0.04
   63 ens-0063.png 1310x1808 0.72 -0.03
   64 ens-0064.png 1284x1766 0.73 -0.02
   65 ens-0065.png 1281x1860 0.69 -0.25
   66 ens-0066.png 1260x1736 0.73 -0.03
   67 ens-0067.png 1284x1859 0.69 -0.24
   68 ens-0068.png 1280x1772 0.72 -0.05
   69 ens-0069.png 1287x1878 0.69 -0.27
   70 ens-0070.png 1271x1763 0.72 -0.06
   71 ens-0071.png 1281x1772 0.72 -0.04
   72 ens-0072.png 1272x1764 0.72 -0.05
   73 ens-0073.png 1290x1876 0.69 -0.26
   74 ens-0074.png 1264x1746 0.72 -0.04
   75 ens-0075.png 1278x1780 0.72 -0.07
   76 ens-0076.png 1258x1747 0.72 -0.06
   77 ens-0077.png 1294x1875 0.69 -0.24
   78 ens-0078.png 1274x1758 0.72 -0.03
   79 ens-0079.png 1310x1812 0.72 -0.04
   80 ens-0080.png 1282x1955 0.66 -0.45
   81 ens-0081.png 1291x1784 0.72 -0.04
   82 ens-0082.png 1271x1860 0.68 -0.28
   83 ens-0083.png 1296x1776 0.73 -0.00
   84 ens-0084.png 1266x1750 0.72 -0.04
   85 ens-0085.png 1296x1888 0.69 -0.27
   86 ens-0086.png 1275x1858 0.69 -0.27
   87 ens-0087.png 1275x1771 0.72 -0.06
   88 ens-0088.png 1256x1727 0.73 -0.02
   89 ens-0089.png 1299x1800 0.72 -0.05
   90 ens-0090.png 1268x1758 0.72 -0.05
   91 ens-0091.png 1292x1300 0.99 1.61
   92 ens-0092.png 1276x1752 0.73 -0.01
   93 ens-0093.png 1273x1860 0.68 -0.28
   94 ens-0094.png 1272x1754 0.73 -0.03
   95 ens-0095.png 1284x1862 0.69 -0.25
   96 ens-0096.png 1283x1843 0.70 -0.21
   97 ens-0097.png 1299x1779 0.73 0.00
   98 ens-0098.png 1290x1784 0.72 -0.04
   99 ens-0099.png 1293x1799 0.72 -0.07
  100 ens-1000.png 1276x1861 0.69 -0.27
  101 ens-1001.png 1286x1866 0.69 -0.25
  102 ens-1002.png 1256x1760 0.71 -0.10
  103 ens-1003.png 1298x1788 0.73 -0.02
  104 ens-1004.png 1259x1750 0.72 -0.06
  105 ens-1005.png 1286x1780 0.72 -0.05
  106 ens-1006.png 1279x1860 0.69 -0.26
  107 ens-1007.png 1288x1866 0.69 -0.24
  108 ens-1008.png 1260x1747 0.72 -0.05
  109 ens-1009.png 1278x1776 0.72 -0.06
  110 ens-1010.png 1285x1845 0.70 -0.20
  111 ens-1011.png 1298x1859 0.70 -0.19
  112 ens-1012.png 1242x716 1.73 6.13
  113 ens-1013.png 1268x1256 1.01 1.70
  114 ens-1014.png 1267x1771 0.72 -0.09
  115 ens-1015.png 1287x1772 0.73 -0.02
  116 ens-1016.png 1271x1806 0.70 -0.16
  117 ens-1017.png 1300x1872 0.69 -0.22
  118 ens-1018.png 1272x1759 0.72 -0.04
  119 ens-1019.png 1306x1896 0.69 -0.25
  120 ens-1020.png 1269x1759 0.72 -0.05
  121 ens-1021.png 1300x1897 0.69 -0.27
  122 ens-1022.png 1276x1769 0.72 -0.05
  123 ens-1023.png 1292x1767 0.73 0.01
  124 ens-1024.png 1276x1764 0.72 -0.04
  125 ens-1025.png 1295x1892 0.68 -0.28
  126 ens-1026.png 1267x1754 0.72 -0.05
  127 ens-1027.png 1290x1795 0.72 -0.07
  128 ens-1028.png 1280x1748 0.73 0.01
  129 ens-1029.png 1290x1882 0.69 -0.27
  130 ens-1030.png 1247x1723 0.72 -0.04
  131 ens-1031.png 1285x1778 0.72 -0.04
  132 ens-1032.png 1267x1752 0.72 -0.04
  133 ens-1033.png 1304x1862 0.70 -0.18
  134 ens-1034.png 1279x1764 0.73 -0.03
  135 ens-1035.png 1284x1775 0.72 -0.04
  136 ens-1036.png 1268x1773 0.72 -0.09
  137 ens-1037.png 1283x1760 0.73 -0.01
  138 ens-1038.png 1283x1778 0.72 -0.05
  139 ens-1039.png 1296x1787 0.73 -0.03
  140 ens-1040.png 1260x1742 0.72 -0.04
  141 ens-1041.png 1295x1886 0.69 -0.26
  142 ens-1042.png 1250x1728 0.72 -0.04
  143 ens-1043.png 1296x1795 0.72 -0.05
  144 ens-1044.png 1280x1944 0.66 -0.44
  145 ens-1045.png 1286x1768 0.73 -0.02
  146 ens-1046.png 1255x1680 0.75 0.10
  147 ens-1047.png 1283x1724 0.74 0.09
  148 ens-1048.png 1269x1782 0.71 -0.11
  149 ens-1049.png 1294x1884 0.69 -0.26
  150 ens-1050.png 1256x1756 0.72 -0.09
  151 ens-1051.png 1284x1871 0.69 -0.27
  152 ens-1052.png 1244x1744 0.71 -0.10
  153 ens-1053.png 1295x1782 0.73 -0.02
  154 ens-1054.png 1282x1847 0.69 -0.22
  155 ens-1055.png 1298x1875 0.69 -0.23
  156 ens-1056.png 1248x1823 0.68 -0.28
  157 ens-1057.png 1280x1790 0.72 -0.09
  158 ens-1058.png 1260x1760 0.72 -0.09
  159 ens-1059.png 1276x1760 0.72 -0.03
  160 ens-1060.png 1248x1759 0.71 -0.12
  161 ens-1061.png 1286x1768 0.73 -0.02
  162 ens-1062.png 540x568 0.95 1.35
  163 ens-1063.png 1276x1864 0.68 -0.28
  164 ens-1064.png 1259x1750 0.72 -0.06
  165 ens-1065.png 1290x1792 0.72 -0.06
  166 ens-1066.png 1268x1772 0.72 -0.09
  167 ens-1067.png 1289x1774 0.73 -0.02
  168 ens-1068.png 1272x1769 0.72 -0.07
  169 ens-1069.png 1283x1871 0.69 -0.27
  170 ens-1070.png 1278x1849 0.69 -0.24
  171 ens-1071.png 1276x1752 0.73 -0.01
  172 ens-1072.png 1274x1791 0.71 -0.11
  173 ens-1073.png 1298x1868 0.69 -0.21
  174 ens-1074.png 1270x1774 0.72 -0.09
  175 ens-1075.png 1315x1884 0.70 -0.20
  176 ens-1076.png 1299x1930 0.67 -0.35
  177 ens-1077.png 1268x1759 0.72 -0.06
  178 ens-1078.png 1252x1747 0.72 -0.08
  179 ens-1079.png 1296x1907 0.68 -0.31
  180 ens-1080.png 1257x1702 0.74 0.05
  181 ens-1081.png 1272x425 2.99 13.80
  182 ens-1082.png 1246x1903 0.65 -0.46
  183 ens-1083.png 1284x1775 0.72 -0.04
  184 ens-1084.png 1253x1736 0.72 -0.05
  185 ens-1085.png 1283x1767 0.73 -0.02
  186 ens-1086.png 1266x1747 0.72 -0.03
  187 ens-1087.png 1275x1859 0.69 -0.27
  188 ens-1088.png 1277x1930 0.66 -0.42
  189 ens-1089.png 1290x1853 0.70 -0.21
  190 ens-1090.png 1269x1764 0.72 -0.06
  191 ens-1091.png 1279x1856 0.69 -0.25
  192 ens-1092.png 1252x1727 0.72 -0.03
  193 ens-1093.png 1276x1744 0.73 0.01
  194 ens-1094.png 1275x1750 0.73 -0.01
  195 ens-1095.png 1298x1871 0.69 -0.22
  196 ens-1096.png 1286x1763 0.73 -0.00
  197 ens-1097.png 1273x1764 0.72 -0.05
