mean 0.635704281700835, prms 0.818670017809954, median 0.616523, min 0.539084, max 30.303, adev 0.048437075854618, rms 0.818359150125379
=== Full report: ===
    1 hw4-0001.png 1000x853 1.17 0.66
    2 hw4-0002.png 1000x33 30.30 36.24
    3 hw4-0003.png 1000x1768 0.57 -0.09
    4 hw4-0004.png 1000x1613 0.62 -0.02
    5 hw4-0005.png 1000x1628 0.61 -0.03
    6 hw4-0006.png 1000x1625 0.62 -0.02
    7 hw4-0007.png 1000x1633 0.61 -0.03
    8 hw4-0008.png 1000x1634 0.61 -0.03
    9 hw4-0009.png 1000x1632 0.61 -0.03
   10 hw4-0010.png 1000x1631 0.61 -0.03
   11 hw4-0011.png 1000x1633 0.61 -0.03
   12 hw4-0012.png 1000x1632 0.61 -0.03
   13 hw4-0013.png 1000x1000 1.00 0.44
   14 hw4-0014.png 1000x1357 0.74 0.12
   15 hw4-0015.png 1000x1548 0.65 0.01
   16 hw4-0016.png 1000x1630 0.61 -0.03
   17 hw4-0017.png 1000x1548 0.65 0.01
   18 hw4-0018.png 1000x1633 0.61 -0.03
   19 hw4-0019.png 1000x1612 0.62 -0.02
   20 hw4-0020.png 1000x1624 0.62 -0.02
   21 hw4-0021.png 1000x1626 0.62 -0.03
   22 hw4-0022.png 1000x1625 0.62 -0.02
   23 hw4-0023.png 1000x1622 0.62 -0.02
   24 hw4-0024.png 1000x1623 0.62 -0.02
   25 hw4-0025.png 1000x1631 0.61 -0.03
   26 hw4-0026.png 1000x1626 0.62 -0.03
   27 hw4-0027.png 1000x1626 0.62 -0.03
   28 hw4-0028.png 1000x1621 0.62 -0.02
   29 hw4-0029.png 1000x1625 0.62 -0.02
   30 hw4-0030.png 1000x1747 0.57 -0.08
   31 hw4-0031.png 1000x1627 0.61 -0.03
   32 hw4-0032.png 1000x1625 0.62 -0.02
   33 hw4-0033.png 1000x1626 0.62 -0.03
   34 hw4-0034.png 1000x1624 0.62 -0.02
   35 hw4-0035.png 1000x1619 0.62 -0.02
   36 hw4-0036.png 1000x1627 0.61 -0.03
   37 hw4-0037.png 1000x1628 0.61 -0.03
   38 hw4-0038.png 1000x1623 0.62 -0.02
   39 hw4-0039.png 1000x1628 0.61 -0.03
   40 hw4-0040.png 1000x1625 0.62 -0.02
   41 hw4-0041.png 1000x1621 0.62 -0.02
   42 hw4-0042.png 1000x1625 0.62 -0.02
   43 hw4-0043.png 1000x1638 0.61 -0.03
   44 hw4-0044.png 1000x1633 0.61 -0.03
   45 hw4-0045.png 1000x1638 0.61 -0.03
   46 hw4-0046.png 1000x1632 0.61 -0.03
   47 hw4-0047.png 1000x1626 0.62 -0.03
   48 hw4-0048.png 1000x1633 0.61 -0.03
   49 hw4-0049.png 1000x1632 0.61 -0.03
   50 hw4-0050.png 1000x1732 0.58 -0.07
   51 hw4-0051.png 1000x1634 0.61 -0.03
   52 hw4-0052.png 1000x1620 0.62 -0.02
   53 hw4-0053.png 1000x1623 0.62 -0.02
   54 hw4-0054.png 1000x1624 0.62 -0.02
   55 hw4-0055.png 1000x1629 0.61 -0.03
   56 hw4-0056.png 1000x1630 0.61 -0.03
   57 hw4-0057.png 1000x1622 0.62 -0.02
   58 hw4-0058.png 1000x1623 0.62 -0.02
   59 hw4-0059.png 1000x1620 0.62 -0.02
   60 hw4-0060.png 1000x1683 0.59 -0.05
   61 hw4-0061.png 1000x1627 0.61 -0.03
   62 hw4-0062.png 1000x1747 0.57 -0.08
   63 hw4-0063.png 1000x1629 0.61 -0.03
   64 hw4-0064.png 1000x1621 0.62 -0.02
   65 hw4-0065.png 1000x1617 0.62 -0.02
   66 hw4-0066.png 1000x1759 0.57 -0.08
   67 hw4-0067.png 1000x1616 0.62 -0.02
   68 hw4-0068.png 1000x1623 0.62 -0.02
   69 hw4-0069.png 1000x1617 0.62 -0.02
   70 hw4-0070.png 1000x1620 0.62 -0.02
   71 hw4-0071.png 1000x1622 0.62 -0.02
   72 hw4-0072.png 1000x1623 0.62 -0.02
   73 hw4-0073.png 1000x1622 0.62 -0.02
   74 hw4-0074.png 1000x1591 0.63 -0.01
   75 hw4-0075.png 1000x1630 0.61 -0.03
   76 hw4-0076.png 1000x1622 0.62 -0.02
   77 hw4-0077.png 1000x1622 0.62 -0.02
   78 hw4-0078.png 1000x1615 0.62 -0.02
   79 hw4-0079.png 1000x1625 0.62 -0.02
   80 hw4-0080.png 1000x1775 0.56 -0.09
   81 hw4-0081.png 1000x1621 0.62 -0.02
   82 hw4-0082.png 1000x1764 0.57 -0.08
   83 hw4-0083.png 1000x1622 0.62 -0.02
   84 hw4-0084.png 1000x1659 0.60 -0.04
   85 hw4-0085.png 1000x1601 0.62 -0.01
   86 hw4-0086.png 1000x1621 0.62 -0.02
   87 hw4-0087.png 1000x1620 0.62 -0.02
   88 hw4-0088.png 1000x1624 0.62 -0.02
   89 hw4-0089.png 1000x1630 0.61 -0.03
   90 hw4-0090.png 1000x1622 0.62 -0.02
   91 hw4-0091.png 1000x1632 0.61 -0.03
   92 hw4-0092.png 1000x1629 0.61 -0.03
   93 hw4-0093.png 1000x1628 0.61 -0.03
   94 hw4-0094.png 1000x1734 0.58 -0.07
   95 hw4-0095.png 1000x1553 0.64 0.01
   96 hw4-0096.png 1000x1614 0.62 -0.02
