mean 0.622781900695763, prms 0.0868774860005853, median 0.614251, min 0.591483, max 2.29358, adev 0.0176387984362059, rms 0.0868500061688049
=== Full report: ===
    1 imn-0000.png 750x1169 0.64 0.22
    2 imn-0001.png 750x1169 0.64 0.22
    3 imn-0002.png 750x1226 0.61 -0.13
    4 imn-0003.png 750x1243 0.60 -0.22
    5 imn-0004.png 750x1247 0.60 -0.25
    6 imn-0005.png 750x1246 0.60 -0.24
    7 imn-0006.png 750x1250 0.60 -0.26
    8 imn-0007.png 750x1236 0.61 -0.18
    9 imn-0008.png 750x1247 0.60 -0.25
   10 imn-0009.png 750x1245 0.60 -0.23
   11 imn-0010.png 750x1252 0.60 -0.27
   12 imn-0011.png 750x1254 0.60 -0.28
   13 imn-0012.png 750x1256 0.60 -0.30
   14 imn-0013.png 750x1224 0.61 -0.12
   15 imn-0014.png 750x1209 0.62 -0.03
   16 imn-0015.png 750x1253 0.60 -0.28
   17 imn-0016.png 750x1254 0.60 -0.28
   18 imn-0017.png 750x1268 0.59 -0.36
   19 imn-0018.png 750x1255 0.60 -0.29
   20 imn-0019.png 750x1253 0.60 -0.28
   21 imn-0020.png 750x1253 0.60 -0.28
   22 imn-0021.png 750x1253 0.60 -0.28
   23 imn-0022.png 750x1253 0.60 -0.28
   24 imn-0023.png 750x1243 0.60 -0.22
   25 imn-0024.png 750x1248 0.60 -0.25
   26 imn-0025.png 750x1252 0.60 -0.27
   27 imn-0026.png 750x1252 0.60 -0.27
   28 imn-0027.png 750x1253 0.60 -0.28
   29 imn-0028.png 750x1252 0.60 -0.27
   30 imn-0029.png 750x1250 0.60 -0.26
   31 imn-0030.png 750x1253 0.60 -0.28
   32 imn-0031.png 750x1253 0.60 -0.28
   33 imn-0032.png 750x1252 0.60 -0.27
   34 imn-0033.png 750x1245 0.60 -0.23
   35 imn-0034.png 750x1253 0.60 -0.28
   36 imn-0035.png 750x1253 0.60 -0.28
   37 imn-0036.png 750x1254 0.60 -0.28
   38 imn-0037.png 750x1256 0.60 -0.30
   39 imn-0038.png 750x1257 0.60 -0.30
   40 imn-0039.png 750x1243 0.60 -0.22
   41 imn-0040.png 750x1253 0.60 -0.28
   42 imn-0041.png 750x1253 0.60 -0.28
   43 imn-0042.png 750x1244 0.60 -0.23
   44 imn-0043.png 750x1254 0.60 -0.28
   45 imn-0044.png 750x1257 0.60 -0.30
   46 imn-0045.png 750x1246 0.60 -0.24
   47 imn-0046.png 750x1250 0.60 -0.26
   48 imn-0047.png 750x1253 0.60 -0.28
   49 imn-0048.png 750x1252 0.60 -0.27
   50 imn-0049.png 750x1254 0.60 -0.28
   51 imn-0050.png 750x1254 0.60 -0.28
   52 imn-0051.png 750x1252 0.60 -0.27
   53 imn-0052.png 750x554 1.35 8.41
   54 imn-0053.png 750x1234 0.61 -0.17
   55 imn-0054.png 750x1234 0.61 -0.17
   56 imn-0055.png 750x1221 0.61 -0.10
