mean 0.592670918405518, prms 0.186149297607067, median 0.587774, min 0.0323373, max 9.86842, adev 0.0140099001892973, rms 0.186118758799937
=== Full report: ===
    1 kaz-0001.png 750x2673 0.28 -1.68
    2 kaz-0002.png 750x721 1.04 2.40
    3 kaz-0003.png 750x750 1.00 2.19
    4 kaz-0004.png 750x750 1.00 2.19
    5 kaz-0005.png 750x1500 0.50 -0.50
    6 kaz-0006.png 750x750 1.00 2.19
    7 kaz-0007.png 750x1052 0.71 0.65
    8 kaz-0008.png 750x158 4.75 22.32
    9 kaz-0009.png 750x1255 0.60 0.03
   10 kaz-0010.png 750x1117 0.67 0.42
   11 kaz-0011.png 750x1283 0.58 -0.04
   12 kaz-0012.png 750x1285 0.58 -0.05
   13 kaz-0013.png 750x1266 0.59 -0.00
   14 kaz-0014.png 750x1276 0.59 -0.03
   15 kaz-0015.png 750x1284 0.58 -0.05
   16 kaz-0016.png 750x1271 0.59 -0.01
   17 kaz-0017.png 750x1282 0.59 -0.04
   18 kaz-0018.png 750x1263 0.59 0.01
   19 kaz-0019.png 750x1301 0.58 -0.09
   20 kaz-0020.png 750x1260 0.60 0.01
   21 kaz-0021.png 750x1198 0.63 0.18
   22 kaz-0022.png 750x1274 0.59 -0.02
   23 kaz-0023.png 750x1264 0.59 0.00
   24 kaz-0024.png 750x1296 0.58 -0.08
   25 kaz-0025.png 750x1273 0.59 -0.02
   26 kaz-0026.png 750x1260 0.60 0.01
   27 kaz-0027.png 750x1319 0.57 -0.13
   28 kaz-0028.png 750x1270 0.59 -0.01
   29 kaz-0029.png 750x1264 0.59 0.00
   30 kaz-0030.png 750x1284 0.58 -0.05
   31 kaz-0031.png 750x1195 0.63 0.19
   32 kaz-0032.png 750x1278 0.59 -0.03
   33 kaz-0033.png 750x1289 0.58 -0.06
   34 kaz-0034.png 750x1260 0.60 0.01
   35 kaz-0035.png 750x1327 0.57 -0.15
   36 kaz-0036.png 750x1285 0.58 -0.05
   37 kaz-0037.png 750x1272 0.59 -0.02
   38 kaz-0038.png 750x1284 0.58 -0.05
   39 kaz-0039.png 750x1237 0.61 0.07
   40 kaz-0040.png 750x1292 0.58 -0.07
   41 kaz-0041.png 750x1277 0.59 -0.03
   42 kaz-0042.png 750x1291 0.58 -0.06
   43 kaz-0043.png 750x1317 0.57 -0.12
   44 kaz-0044.png 750x1295 0.58 -0.07
   45 kaz-0045.png 750x1285 0.58 -0.05
   46 kaz-0046.png 750x1279 0.59 -0.03
   47 kaz-0047.png 750x1288 0.58 -0.06
   48 kaz-0048.png 750x1283 0.58 -0.04
   49 kaz-0049.png 750x1279 0.59 -0.03
   50 kaz-0050.png 750x1273 0.59 -0.02
   51 kaz-0051.png 750x1323 0.57 -0.14
   52 kaz-0052.png 750x1290 0.58 -0.06
   53 kaz-0053.png 750x1298 0.58 -0.08
   54 kaz-0054.png 750x1286 0.58 -0.05
   55 kaz-0055.png 750x1289 0.58 -0.06
   56 kaz-0056.png 750x1280 0.59 -0.04
   57 kaz-0057.png 750x1272 0.59 -0.02
   58 kaz-0058.png 750x1290 0.58 -0.06
   59 kaz-0059.png 750x1317 0.57 -0.12
   60 kaz-0060.png 750x1266 0.59 -0.00
   61 kaz-0061.png 750x1265 0.59 0.00
   62 kaz-0062.png 750x1279 0.59 -0.03
   63 kaz-0063.png 750x1261 0.59 0.01
   64 kaz-0064.png 750x1275 0.59 -0.02
   65 kaz-0065.png 750x1291 0.58 -0.06
   66 kaz-0066.png 750x1284 0.58 -0.05
   67 kaz-0067.png 750x1334 0.56 -0.16
   68 kaz-0068.png 750x1268 0.59 -0.01
   69 kaz-0069.png 750x1274 0.59 -0.02
   70 kaz-0070.png 750x1270 0.59 -0.01
   71 kaz-0071.png 750x1286 0.58 -0.05
   72 kaz-0072.png 750x1288 0.58 -0.06
   73 kaz-0073.png 750x1294 0.58 -0.07
   74 kaz-0074.png 750x1263 0.59 0.01
   75 kaz-0075.png 750x1311 0.57 -0.11
   76 kaz-0076.png 750x1296 0.58 -0.08
   77 kaz-0077.png 750x1269 0.59 -0.01
   78 kaz-0078.png 750x1263 0.59 0.01
   79 kaz-0079.png 750x1285 0.58 -0.05
   80 kaz-0080.png 750x1287 0.58 -0.05
   81 kaz-0081.png 750x1281 0.59 -0.04
   82 kaz-0082.png 750x1286 0.58 -0.05
   83 kaz-0083.png 750x1302 0.58 -0.09
   84 kaz-0084.png 750x1259 0.60 0.02
   85 kaz-0085.png 750x1281 0.59 -0.04
   86 kaz-0086.png 750x1259 0.60 0.02
   87 kaz-0087.png 750x1269 0.59 -0.01
   88 kaz-0088.png 750x1258 0.60 0.02
   89 kaz-0089.png 750x1261 0.59 0.01
   90 kaz-0090.png 750x1267 0.59 -0.00
   91 kaz-0091.png 750x1291 0.58 -0.06
   92 kaz-0092.png 750x1259 0.60 0.02
   93 kaz-0093.png 750x1285 0.58 -0.05
   94 kaz-0094.png 750x1251 0.60 0.04
   95 kaz-0095.png 750x1265 0.59 0.00
   96 kaz-0096.png 750x1269 0.59 -0.01
   97 kaz-0097.png 750x1272 0.59 -0.02
   98 kaz-0098.png 750x1265 0.59 0.00
   99 kaz-0099.png 750x1294 0.58 -0.07
  100 kaz-1000.png 750x1250 0.60 0.04
  101 kaz-1001.png 750x1279 0.59 -0.03
  102 kaz-1002.png 750x1271 0.59 -0.01
  103 kaz-1003.png 750x1299 0.58 -0.08
  104 kaz-1004.png 750x1257 0.60 0.02
  105 kaz-1005.png 750x1275 0.59 -0.02
  106 kaz-1006.png 750x1257 0.60 0.02
  107 kaz-1007.png 750x1289 0.58 -0.06
  108 kaz-1008.png 750x1264 0.59 0.00
  109 kaz-1009.png 750x1262 0.59 0.01
  110 kaz-1010.png 750x1276 0.59 -0.03
  111 kaz-1011.png 750x1312 0.57 -0.11
  112 kaz-1012.png 750x1278 0.59 -0.03
  113 kaz-1013.png 750x1300 0.58 -0.08
  114 kaz-1014.png 750x1289 0.58 -0.06
  115 kaz-1015.png 750x1285 0.58 -0.05
  116 kaz-1016.png 750x1284 0.58 -0.05
  117 kaz-1017.png 750x1279 0.59 -0.03
  118 kaz-1018.png 750x1277 0.59 -0.03
  119 kaz-1019.png 750x1294 0.58 -0.07
  120 kaz-1020.png 750x1248 0.60 0.04
  121 kaz-1021.png 750x1240 0.60 0.07
  122 kaz-1022.png 750x1268 0.59 -0.01
  123 kaz-1023.png 750x1276 0.59 -0.03
  124 kaz-1024.png 750x1262 0.59 0.01
  125 kaz-1025.png 750x1276 0.59 -0.03
  126 kaz-1026.png 750x1261 0.59 0.01
  127 kaz-1027.png 750x1295 0.58 -0.07
  128 kaz-1028.png 750x1262 0.59 0.01
  129 kaz-1029.png 750x1277 0.59 -0.03
  130 kaz-1030.png 750x1270 0.59 -0.01
  131 kaz-1031.png 750x1280 0.59 -0.04
  132 kaz-1032.png 750x1262 0.59 0.01
  133 kaz-1033.png 750x1249 0.60 0.04
