mean 0.706129148393594, prms 0.0351207875119166, median 0.705467, min 0.444774, max 2.35294, adev 0.010478745684104, rms 0.0351172611513965
=== Full report: ===
    1 la-0001.png 1200x1478 0.81 3.01
    2 la-0002.png 1200x1680 0.71 0.23
    3 la-0003.png 1200x1687 0.71 0.15
    4 la-0004.png 1200x1706 0.70 -0.08
    5 la-0005.png 1200x1693 0.71 0.08
    6 la-0006.png 1200x1679 0.71 0.24
    7 la-0007.png 1200x1700 0.71 -0.01
    8 la-0008.png 1200x1682 0.71 0.21
    9 la-0009.png 1200x1689 0.71 0.12
   10 la-0010.png 1200x1870 0.64 -1.83
   11 la-0011.png 1200x1693 0.71 0.08
   12 la-0012.png 1200x1683 0.71 0.20
   13 la-0013.png 1200x1689 0.71 0.12
   14 la-0014.png 1200x1680 0.71 0.23
   15 la-0015.png 1200x1685 0.71 0.17
   16 la-0016.png 1200x1611 0.74 1.10
   17 la-0017.png 1200x1637 0.73 0.77
   18 la-0018.png 1200x1682 0.71 0.21
   19 la-0019.png 1200x1691 0.71 0.10
   20 la-0020.png 1200x1689 0.71 0.12
   21 la-0021.png 1200x1688 0.71 0.14
   22 la-0022.png 1200x1681 0.71 0.22
   23 la-0023.png 1200x1689 0.71 0.12
   24 la-0024.png 1200x1678 0.72 0.26
   25 la-0025.png 1200x1698 0.71 0.02
   26 la-0026.png 1200x1688 0.71 0.14
   27 la-0027.png 1200x1688 0.71 0.14
   28 la-0028.png 1200x1688 0.71 0.14
   29 la-0029.png 1200x1689 0.71 0.12
   30 la-0030.png 1200x1678 0.72 0.26
   31 la-0031.png 1200x1689 0.71 0.12
   32 la-0032.png 1200x1683 0.71 0.20
   33 la-0033.png 1200x1682 0.71 0.21
   34 la-0034.png 1200x1560 0.77 1.80
   35 la-0035.png 1200x1684 0.71 0.18
   36 la-0036.png 1200x1678 0.72 0.26
   37 la-0037.png 1200x1684 0.71 0.18
   38 la-0038.png 1200x1676 0.72 0.28
   39 la-0039.png 1200x1684 0.71 0.18
   40 la-0040.png 1200x1675 0.72 0.29
