mean 0.599701349382716, prms 0.025050252526456, median 0.598563, min 0.499667, max 0.712928, adev 0.0173305641670477, rms 0.0250347846320966
=== Full report: ===
    1 mar-0001.png 750x1482 0.51 -3.74
    2 mar-0002.png 750x1447 0.52 -3.25
    3 mar-0003.png 750x1113 0.67 2.96
    4 mar-0004.png 750x1231 0.61 0.38
    5 mar-0005.png 750x1286 0.58 -0.66
    6 mar-0006.png 750x1304 0.58 -0.98
    7 mar-0007.png 750x1250 0.60 0.01
    8 mar-0008.png 750x1326 0.57 -1.36
    9 mar-0009.png 750x1164 0.64 1.78
   10 mar-0010.png 750x1328 0.56 -1.39
   11 mar-0011.png 750x1231 0.61 0.38
   12 mar-0012.png 750x1312 0.57 -1.12
   13 mar-0013.png 750x1214 0.62 0.72
   14 mar-0014.png 750x1325 0.57 -1.34
   15 mar-0015.png 750x1228 0.61 0.44
   16 mar-0016.png 750x1366 0.55 -2.02
   17 mar-0017.png 750x1358 0.55 -1.89
   18 mar-0018.png 750x1245 0.60 0.11
   19 mar-0019.png 750x1282 0.59 -0.59
   20 mar-0020.png 750x1320 0.57 -1.26
   21 mar-0021.png 750x1319 0.57 -1.24
   22 mar-0022.png 750x1302 0.58 -0.94
   23 mar-0023.png 750x1228 0.61 0.44
   24 mar-0024.png 750x1165 0.64 1.76
   25 mar-0025.png 750x1121 0.67 2.77
   26 mar-0026.png 750x1244 0.60 0.13
   27 mar-0027.png 750x1256 0.60 -0.10
   28 mar-0028.png 750x1228 0.61 0.44
   29 mar-0029.png 750x1154 0.65 2.00
   30 mar-0030.png 750x1206 0.62 0.89
   31 mar-0031.png 750x1252 0.60 -0.03
   32 mar-0032.png 750x1254 0.60 -0.06
   33 mar-0033.png 750x1268 0.59 -0.33
   34 mar-0034.png 750x1224 0.61 0.52
   35 mar-0035.png 750x1184 0.63 1.35
   36 mar-0036.png 750x1253 0.60 -0.05
   37 mar-0037.png 750x1197 0.63 1.07
   38 mar-0038.png 750x1225 0.61 0.50
   39 mar-0039.png 750x1263 0.59 -0.23
   40 mar-0040.png 750x1253 0.60 -0.05
   41 mar-0041.png 750x1233 0.61 0.34
   42 mar-0042.png 750x1213 0.62 0.74
   43 mar-0043.png 750x1234 0.61 0.32
   44 mar-0044.png 750x1237 0.61 0.26
   45 mar-0045.png 750x1270 0.59 -0.37
   46 mar-0046.png 750x1253 0.60 -0.05
   47 mar-0047.png 750x1219 0.62 0.62
   48 mar-0048.png 750x1236 0.61 0.28
   49 mar-0049.png 750x1287 0.58 -0.68
   50 mar-0050.png 750x1229 0.61 0.42
   51 mar-0051.png 750x1241 0.60 0.19
   52 mar-0052.png 750x1244 0.60 0.13
   53 mar-0053.png 750x1254 0.60 -0.06
   54 mar-0054.png 750x1226 0.61 0.48
   55 mar-0055.png 750x1240 0.60 0.21
   56 mar-0056.png 750x1249 0.60 0.03
   57 mar-0057.png 750x1120 0.67 2.79
   58 mar-0058.png 750x1249 0.60 0.03
   59 mar-0059.png 750x1243 0.60 0.15
   60 mar-0060.png 750x1145 0.66 2.21
   61 mar-0061.png 750x1200 0.62 1.01
   62 mar-0062.png 750x1226 0.61 0.48
   63 mar-0063.png 750x1231 0.61 0.38
   64 mar-0064.png 750x1262 0.59 -0.22
   65 mar-0065.png 750x1234 0.61 0.32
   66 mar-0066.png 750x1205 0.62 0.91
   67 mar-0067.png 750x1174 0.64 1.56
   68 mar-0068.png 750x1258 0.60 -0.14
   69 mar-0069.png 750x1248 0.60 0.05
