mean 0.623475664018164, prms 0.169851710905206, median 0.594699, min 0.57284, max 4.04858, adev 0.0529264399525382, rms 0.169755286423461
=== Full report: ===
    1 mgf-0000.png 744x1295 0.57 -0.29
    2 mgf-0001.png 464x810 0.57 -0.30
    3 mgf-0002.png 826x1317 0.63 0.02
    4 mgf-0003.png 920x1424 0.65 0.13
    5 mgf-0004.png 1x1 1.00 2.22
    6 mgf-0005.png 1x1 1.00 2.22
    7 mgf-0006.png 1x1 1.00 2.22
    8 mgf-0007.png 920x1511 0.61 -0.09
    9 mgf-0008.png 917x1511 0.61 -0.10
   10 mgf-0009.png 917x1511 0.61 -0.10
   11 mgf-0010.png 917x1511 0.61 -0.10
   12 mgf-0011.png 917x1511 0.61 -0.10
   13 mgf-0012.png 917x1511 0.61 -0.10
   14 mgf-0013.png 917x1511 0.61 -0.10
   15 mgf-0014.png 917x1511 0.61 -0.10
   16 mgf-0015.png 917x1511 0.61 -0.10
   17 mgf-0016.png 917x1511 0.61 -0.10
   18 mgf-0017.png 917x1511 0.61 -0.10
   19 mgf-0018.png 917x1511 0.61 -0.10
   20 mgf-0019.png 917x1511 0.61 -0.10
   21 mgf-0020.png 917x1511 0.61 -0.10
   22 mgf-0021.png 917x1511 0.61 -0.10
   23 mgf-0022.png 917x1511 0.61 -0.10
   24 mgf-0023.png 917x1511 0.61 -0.10
   25 mgf-0024.png 917x1511 0.61 -0.10
   26 mgf-0025.png 917x1511 0.61 -0.10
   27 mgf-0026.png 917x1511 0.61 -0.10
   28 mgf-0027.png 917x1511 0.61 -0.10
   29 mgf-0028.png 917x1511 0.61 -0.10
   30 mgf-0029.png 917x1511 0.61 -0.10
   31 mgf-0030.png 920x1511 0.61 -0.09
   32 mgf-0031.png 858x271 3.17 14.97
   33 mgf-0032.png 1x1 1.00 2.22
   34 mgf-0033.png 920x1502 0.61 -0.06
   35 mgf-0034.png 1x1 1.00 2.22
   36 mgf-0035.png 925x1551 0.60 -0.16
   37 mgf-0036.png 921x1548 0.59 -0.17
   38 mgf-0037.png 921x1546 0.60 -0.16
   39 mgf-0038.png 920x1548 0.59 -0.17
   40 mgf-0039.png 920x1547 0.59 -0.17
   41 mgf-0040.png 922x1550 0.59 -0.17
   42 mgf-0041.png 921x1551 0.59 -0.17
