mean 0.665964128902316, prms 0.214999855195229, median 0.661978, min 0.236571, max 6.18321, adev 0.0396887888918299, rms 0.214891570194557
=== Full report: ===
    1 mht-0001.png 1028x1819 0.57 -0.47
    2 mht-0002.png 436x1843 0.24 -2.00
    3 mht-0003.png 810x131 6.18 25.66
    4 mht-0004.png 1193x1778 0.67 0.02
    5 mht-0005.png 1169x1752 0.67 0.01
    6 mht-0006.png 1320x1972 0.67 0.02
    7 mht-0007.png 1420x2142 0.66 -0.01
    8 mht-0008.png 1416x2151 0.66 -0.04
    9 mht-0009.png 1426x2154 0.66 -0.02
   10 mht-0010.png 1432x2140 0.67 0.01
   11 mht-0011.png 1312x2102 0.62 -0.19
   12 mht-0012.png 1422x2156 0.66 -0.03
   13 mht-0013.png 1428x2134 0.67 0.01
   14 mht-0014.png 1311x2118 0.62 -0.22
   15 mht-0015.png 1419x2150 0.66 -0.03
   16 mht-0016.png 1322x2126 0.62 -0.21
   17 mht-0017.png 1414x2142 0.66 -0.03
   18 mht-0018.png 1436x2154 0.67 0.00
   19 mht-0019.png 1423x2140 0.66 -0.00
   20 mht-0020.png 1314x2122 0.62 -0.22
   21 mht-0021.png 1314x2120 0.62 -0.21
   22 mht-0022.png 1420x2160 0.66 -0.04
   23 mht-0023.png 1314x2118 0.62 -0.21
   24 mht-0024.png 1420x2154 0.66 -0.03
   25 mht-0025.png 1314x2114 0.62 -0.21
   26 mht-0026.png 1313x2124 0.62 -0.22
   27 mht-0027.png 1418x2140 0.66 -0.02
   28 mht-0028.png 1431x2155 0.66 -0.01
   29 mht-0029.png 1424x884 1.61 4.39
   30 mht-0030.png 1305x1951 0.67 0.01
   31 mht-0031.png 1426x2143 0.67 -0.00
   32 mht-0032.png 1308x2121 0.62 -0.23
   33 mht-0033.png 1428x2138 0.67 0.01
   34 mht-0034.png 1428x2155 0.66 -0.02
   35 mht-0035.png 1424x2133 0.67 0.01
   36 mht-0036.png 1310x2122 0.62 -0.23
   37 mht-0037.png 1309x2114 0.62 -0.22
   38 mht-0038.png 1420x2134 0.67 -0.00
   39 mht-0039.png 1419x2139 0.66 -0.01
   40 mht-0040.png 1421x2148 0.66 -0.02
   41 mht-0041.png 1426x2131 0.67 0.01
   42 mht-0042.png 1436x2138 0.67 0.03
   43 mht-0043.png 1308x2109 0.62 -0.21
   44 mht-0044.png 1309x2114 0.62 -0.22
   45 mht-0045.png 1418x2124 0.67 0.01
   46 mht-0046.png 1427x2144 0.67 -0.00
   47 mht-0047.png 1309x2116 0.62 -0.22
   48 mht-0048.png 1310x2122 0.62 -0.23
   49 mht-0049.png 1419x2150 0.66 -0.03
   50 mht-0050.png 1308x2112 0.62 -0.22
   51 mht-0051.png 1308x2116 0.62 -0.22
   52 mht-0052.png 1312x2118 0.62 -0.22
   53 mht-0053.png 1308x2113 0.62 -0.22
   54 mht-0054.png 1311x2120 0.62 -0.22
   55 mht-0055.png 1316x2108 0.62 -0.19
   56 mht-0056.png 1306x2117 0.62 -0.23
   57 mht-0057.png 1314x2112 0.62 -0.20
   58 mht-0058.png 1416x2153 0.66 -0.04
   59 mht-0059.png 1309x2116 0.62 -0.22
   60 mht-0060.png 1310x2116 0.62 -0.22
   61 mht-0061.png 1316x2102 0.63 -0.19
   62 mht-0062.png 1318x2124 0.62 -0.21
   63 mht-0063.png 1418x2135 0.66 -0.01
   64 mht-0064.png 1312x2117 0.62 -0.21
   65 mht-0065.png 1307x2120 0.62 -0.23
   66 mht-0066.png 1421x2151 0.66 -0.02
   67 mht-0067.png 1320x2112 0.62 -0.19
   68 mht-0068.png 1311x2120 0.62 -0.22
   69 mht-0069.png 1416x2130 0.66 -0.01
   70 mht-0070.png 1308x2084 0.63 -0.18
   71 mht-0071.png 1309x1940 0.67 0.04
   72 mht-0072.png 1310x2114 0.62 -0.22
   73 mht-0073.png 1420x2137 0.66 -0.01
   74 mht-0074.png 1308x2116 0.62 -0.22
   75 mht-0075.png 1308x2110 0.62 -0.21
   76 mht-0076.png 1313x2116 0.62 -0.21
   77 mht-0077.png 1423x2130 0.67 0.01
   78 mht-0078.png 1422x2144 0.66 -0.01
   79 mht-0079.png 1318x2110 0.62 -0.19
   80 mht-0080.png 1310x2116 0.62 -0.22
   81 mht-0081.png 1300x2052 0.63 -0.15
   82 mht-0082.png 1312x1957 0.67 0.02
   83 mht-0083.png 1308x2106 0.62 -0.21
   84 mht-0084.png 1418x2150 0.66 -0.03
   85 mht-0085.png 1428x2128 0.67 0.02
   86 mht-0086.png 1428x2144 0.67 0.00
   87 mht-0087.png 1418x2131 0.67 -0.00
   88 mht-0088.png 1310x2114 0.62 -0.22
   89 mht-0089.png 1307x2110 0.62 -0.22
   90 mht-0090.png 1427x2154 0.66 -0.02
   91 mht-0091.png 1315x2104 0.62 -0.19
   92 mht-0092.png 1312x2118 0.62 -0.22
   93 mht-0093.png 1264x510 2.48 8.43
   94 mht-0094.png 1304x1964 0.66 -0.01
   95 mht-0095.png 1313x2108 0.62 -0.20
   96 mht-0096.png 1308x2118 0.62 -0.23
   97 mht-0097.png 1420x2134 0.67 -0.00
   98 mht-0098.png 1426x2148 0.66 -0.01
   99 mht-0099.png 1424x2140 0.67 -0.00
  100 mht-0100.png 1423x2141 0.66 -0.01
  101 mht-0101.png 1304x2103 0.62 -0.21
  102 mht-0102.png 1434x2142 0.67 0.02
  103 mht-0103.png 1304x2104 0.62 -0.21
  104 mht-0104.png 1426x2140 0.67 0.00
  105 mht-0105.png 1418x2131 0.67 -0.00
  106 mht-0106.png 1308x2112 0.62 -0.22
  107 mht-0107.png 1420x2128 0.67 0.01
  108 mht-0108.png 1312x2111 0.62 -0.21
  109 mht-0109.png 1416x2134 0.66 -0.01
  110 mht-0110.png 1418x2142 0.66 -0.02
  111 mht-0111.png 1306x2106 0.62 -0.21
  112 mht-0112.png 1423x2144 0.66 -0.01
