mean 0.684203790100828, prms 0.117989093842068, median 0.671592, min 0.548546, max 2.71739, adev 0.023757141486761, rms 0.117935007616975
=== Full report: ===
    1 mih-0001.png 1000x1821 0.55 -1.14
    2 mih-0002.png 1000x1818 0.55 -1.14
    3 mih-0003.png 1000x1196 0.84 1.29
    4 mih-0004.png 1000x396 2.53 15.60
    5 mih-0005.png 1000x946 1.06 3.16
    6 mih-0006.png 1000x1165 0.86 1.48
    7 mih-0007.png 1000x1000 1.00 2.68
    8 mih-0008.png 1000x1490 0.67 -0.11
    9 mih-0009.png 1000x1314 0.76 0.65
   10 mih-0010.png 1000x1343 0.74 0.51
   11 mih-0011.png 1000x1242 0.81 1.03
   12 mih-0012.png 1000x1550 0.65 -0.33
   13 mih-0013.png 1000x1478 0.68 -0.06
   14 mih-0014.png 1000x1480 0.68 -0.07
   15 mih-0015.png 1000x1486 0.67 -0.10
   16 mih-0016.png 1000x1489 0.67 -0.11
   17 mih-0017.png 1000x1479 0.68 -0.07
   18 mih-0018.png 1000x1490 0.67 -0.11
   19 mih-0019.png 1000x1490 0.67 -0.11
   20 mih-0020.png 1000x1493 0.67 -0.12
   21 mih-0021.png 1000x1487 0.67 -0.10
   22 mih-0022.png 1000x1491 0.67 -0.11
   23 mih-0023.png 1000x1490 0.67 -0.11
   24 mih-0024.png 1000x1492 0.67 -0.12
   25 mih-0025.png 1000x1478 0.68 -0.06
   26 mih-0026.png 1000x1450 0.69 0.05
   27 mih-0027.png 1000x1480 0.68 -0.07
   28 mih-0028.png 1000x1495 0.67 -0.13
   29 mih-0029.png 1000x1481 0.68 -0.08
   30 mih-0030.png 1000x1501 0.67 -0.15
   31 mih-0031.png 1000x1490 0.67 -0.11
   32 mih-0032.png 1000x1488 0.67 -0.10
   33 mih-0033.png 1000x1467 0.68 -0.02
   34 mih-0034.png 1000x1493 0.67 -0.12
   35 mih-0035.png 1000x1488 0.67 -0.10
   36 mih-0036.png 1000x1498 0.67 -0.14
   37 mih-0037.png 1000x1495 0.67 -0.13
   38 mih-0038.png 1000x1492 0.67 -0.12
   39 mih-0039.png 1000x1496 0.67 -0.13
   40 mih-0040.png 1000x1496 0.67 -0.13
