mean 0.705894035714287, prms 0.135023090769619, median 0.70028, min 0.283382, max 2.55102, adev 0.02485614744898, rms 0.134781762443081
=== Full report: ===
    1 msb-0001.png 1250x490 2.55 13.67
    2 msb-0002.png 1250x3832 0.33 -2.81
    3 msb-0003.png 1250x2645 0.47 -1.73
    4 msb-0004.png 1250x4411 0.28 -3.13
    5 msb-0005.png 1250x1626 0.77 0.47
    6 msb-0006.png 1250x731 1.71 7.44
    7 msb-0007.png 1250x1774 0.70 -0.01
    8 msb-0008.png 1250x1796 0.70 -0.07
    9 msb-0009.png 1250x1793 0.70 -0.06
   10 msb-0010.png 1250x1789 0.70 -0.05
   11 msb-0011.png 1250x1783 0.70 -0.04
   12 msb-0012.png 1250x1752 0.71 0.06
   13 msb-0013.png 1250x1768 0.71 0.01
   14 msb-0014.png 1250x1789 0.70 -0.05
   15 msb-0015.png 1250x1818 0.69 -0.14
   16 msb-0016.png 1250x1848 0.68 -0.22
   17 msb-0017.png 1250x1800 0.69 -0.08
   18 msb-0018.png 1250x1796 0.70 -0.07
   19 msb-0019.png 1250x1811 0.69 -0.12
   20 msb-0020.png 1250x1795 0.70 -0.07
   21 msb-0021.png 1250x1785 0.70 -0.04
   22 msb-0022.png 1250x1772 0.71 -0.00
   23 msb-0023.png 1250x1766 0.71 0.01
   24 msb-0024.png 1250x1776 0.70 -0.02
   25 msb-0025.png 1250x1784 0.70 -0.04
   26 msb-0026.png 1250x1775 0.70 -0.01
   27 msb-0027.png 1250x1807 0.69 -0.10
   28 msb-0028.png 1250x1814 0.69 -0.12
   29 msb-0029.png 1250x1872 0.67 -0.28
   30 msb-0030.png 1250x1808 0.69 -0.11
   31 msb-0031.png 1250x1820 0.69 -0.14
   32 msb-0032.png 1250x1802 0.69 -0.09
   33 msb-0033.png 1250x1763 0.71 0.02
   34 msb-0034.png 1250x1785 0.70 -0.04
   35 msb-0035.png 1250x1768 0.71 0.01
   36 msb-0036.png 1250x1774 0.70 -0.01
   37 msb-0037.png 1250x1792 0.70 -0.06
   38 msb-0038.png 1250x1858 0.67 -0.25
   39 msb-0039.png 1250x1787 0.70 -0.05
   40 msb-0040.png 1250x1806 0.69 -0.10
   41 msb-0041.png 1250x1768 0.71 0.01
   42 msb-0042.png 1250x1765 0.71 0.02
   43 msb-0043.png 1250x1789 0.70 -0.05
   44 msb-0044.png 1250x1771 0.71 -0.00
   45 msb-0045.png 1250x1767 0.71 0.01
   46 msb-0046.png 1250x1762 0.71 0.03
   47 msb-0047.png 1250x1746 0.72 0.07
   48 msb-0048.png 1250x1787 0.70 -0.05
   49 msb-0049.png 1250x1802 0.69 -0.09
   50 msb-0050.png 1250x1783 0.70 -0.04
   51 msb-0051.png 1250x1766 0.71 0.01
   52 msb-0052.png 1250x1802 0.69 -0.09
   53 msb-0053.png 1250x1806 0.69 -0.10
   54 msb-0054.png 1250x1784 0.70 -0.04
   55 msb-0055.png 1250x1765 0.71 0.02
   56 msb-0056.png 1250x1748 0.72 0.07
   57 msb-0057.png 1250x1772 0.71 -0.00
   58 msb-0058.png 1250x1796 0.70 -0.07
   59 msb-0059.png 1250x1829 0.68 -0.17
   60 msb-0060.png 1250x1826 0.68 -0.16
   61 msb-0061.png 1250x1778 0.70 -0.02
   62 msb-0062.png 1250x1762 0.71 0.03
   63 msb-0063.png 1250x1771 0.71 -0.00
   64 msb-0064.png 1250x1811 0.69 -0.12
   65 msb-0065.png 1250x1796 0.70 -0.07
   66 msb-0066.png 1250x1758 0.71 0.04
   67 msb-0067.png 1250x1788 0.70 -0.05
   68 msb-0068.png 1250x1765 0.71 0.02
   69 msb-0069.png 1250x1768 0.71 0.01
