mean 0.779547167597765, prms 0.153827269515741, median 0.759878, min 0.598444, max 2.39234, adev 0.0413522233388468, rms 0.153396982604307
=== Full report: ===
    1 pr-0000.png 1000x1171 0.85 0.48
    2 pr-0001.png 1000x1671 0.60 -1.18
    3 pr-0002.png 1000x1222 0.82 0.25
    4 pr-0003.png 1000x1358 0.74 -0.28
    5 pr-0004.png 1000x549 1.82 6.77
    6 pr-0005.png 1000x1236 0.81 0.19
    7 pr-0006.png 1000x1000 1.00 1.43
    8 pr-0007.png 1000x1343 0.74 -0.23
    9 pr-0008.png 1000x1393 0.72 -0.40
   10 pr-0009.png 1000x1271 0.79 0.05
   11 pr-0010.png 1000x1328 0.75 -0.17
   12 pr-0011.png 1000x1327 0.75 -0.17
   13 pr-0012.png 1000x1324 0.76 -0.16
   14 pr-0013.png 1000x1318 0.76 -0.14
   15 pr-0014.png 1000x1314 0.76 -0.12
   16 pr-0015.png 1000x1261 0.79 0.09
   17 pr-0016.png 1000x1324 0.76 -0.16
   18 pr-0017.png 1000x1324 0.76 -0.16
   19 pr-0018.png 1000x1328 0.75 -0.17
   20 pr-0019.png 1000x1317 0.76 -0.13
   21 pr-0020.png 1000x1297 0.77 -0.06
   22 pr-0021.png 1000x1327 0.75 -0.17
   23 pr-0022.png 1000x1328 0.75 -0.17
   24 pr-0023.png 1000x1303 0.77 -0.08
   25 pr-0024.png 1000x1288 0.78 -0.02
   26 pr-0025.png 1000x1325 0.75 -0.16
   27 pr-0026.png 1000x1313 0.76 -0.12
   28 pr-0027.png 1000x1311 0.76 -0.11
   29 pr-0028.png 1000x1321 0.76 -0.15
   30 pr-0029.png 1000x1318 0.76 -0.14
   31 pr-0030.png 1000x1313 0.76 -0.12
   32 pr-0031.png 1000x1317 0.76 -0.13
   33 pr-0032.png 1000x1299 0.77 -0.06
   34 pr-0033.png 1000x1340 0.75 -0.22
   35 pr-0034.png 1000x1301 0.77 -0.07
   36 pr-0035.png 1000x1312 0.76 -0.11
   37 pr-0036.png 1000x1285 0.78 -0.01
   38 pr-0037.png 1000x1307 0.77 -0.09
   39 pr-0038.png 1000x1325 0.75 -0.16
   40 pr-0039.png 1000x1313 0.76 -0.12
   41 pr-0040.png 1000x1313 0.76 -0.12
   42 pr-0041.png 1000x1333 0.75 -0.19
   43 pr-0042.png 1000x1318 0.76 -0.14
   44 pr-0043.png 1000x1317 0.76 -0.13
   45 pr-0044.png 1000x1313 0.76 -0.12
   46 pr-0045.png 1000x1321 0.76 -0.15
   47 pr-0046.png 1000x1317 0.76 -0.13
   48 pr-0047.png 1000x1304 0.77 -0.08
   49 pr-0048.png 1000x1305 0.77 -0.09
   50 pr-0049.png 1000x1323 0.76 -0.15
   51 pr-0050.png 1000x1313 0.76 -0.12
   52 pr-0051.png 1000x1313 0.76 -0.12
   53 pr-0052.png 1000x1320 0.76 -0.14
   54 pr-0053.png 1000x1307 0.77 -0.09
   55 pr-0054.png 1000x1308 0.76 -0.10
   56 pr-0055.png 1000x1313 0.76 -0.12
   57 pr-0056.png 1000x1312 0.76 -0.11
   58 pr-0057.png 1000x1333 0.75 -0.19
   59 pr-0058.png 1000x1312 0.76 -0.11
   60 pr-0059.png 1000x1320 0.76 -0.14
   61 pr-0060.png 1000x1324 0.76 -0.16
   62 pr-0061.png 1000x1322 0.76 -0.15
   63 pr-0062.png 1000x1322 0.76 -0.15
   64 pr-0063.png 1000x1326 0.75 -0.17
   65 pr-0064.png 1000x1314 0.76 -0.12
