mean 0.627836000000002, prms 1.88868755043715e-15, median 0.627836, min 0.627836, max 0.627836, adev 1.88737914186277e-15, rms 1.88737914186277e-15
=== Full report: ===
    1 img/amr.old/0/amr-0001.png 1024x1631 0.63 -1.00
    2 img/amr.old/0/amr-0002.png 1024x1631 0.63 -1.00
    3 img/amr.old/0/amr-0003.png 1024x1631 0.63 -1.00
    4 img/amr.old/0/amr-0004.png 1024x1631 0.63 -1.00
    5 img/amr.old/0/amr-0005.png 1024x1631 0.63 -1.00
    6 img/amr.old/0/amr-0006.png 1024x1631 0.63 -1.00
    7 img/amr.old/0/amr-0007.png 1024x1631 0.63 -1.00
    8 img/amr.old/0/amr-0008.png 1024x1631 0.63 -1.00
    9 img/amr.old/0/amr-0009.png 1024x1631 0.63 -1.00
   10 img/amr.old/0/amr-0010.png 1024x1631 0.63 -1.00
   11 img/amr.old/0/amr-0011.png 1024x1631 0.63 -1.00
   12 img/amr.old/0/amr-0012.png 1024x1631 0.63 -1.00
   13 img/amr.old/0/amr-0013.png 1024x1631 0.63 -1.00
   14 img/amr.old/0/amr-0014.png 1024x1631 0.63 -1.00
   15 img/amr.old/0/amr-0015.png 1024x1631 0.63 -1.00
   16 img/amr.old/0/amr-0016.png 1024x1631 0.63 -1.00
   17 img/amr.old/0/amr-0017.png 1024x1631 0.63 -1.00
   18 img/amr.old/0/amr-0018.png 1024x1631 0.63 -1.00
   19 img/amr.old/0/amr-0019.png 1024x1631 0.63 -1.00
   20 img/amr.old/0/amr-0020.png 1024x1631 0.63 -1.00
   21 img/amr.old/0/amr-0021.png 1024x1631 0.63 -1.00
   22 img/amr.old/0/amr-0022.png 1024x1631 0.63 -1.00
   23 img/amr.old/0/amr-0023.png 1024x1631 0.63 -1.00
   24 img/amr.old/0/amr-0024.png 1024x1631 0.63 -1.00
   25 img/amr.old/0/amr-0025.png 1024x1631 0.63 -1.00
   26 img/amr.old/0/amr-0026.png 1024x1631 0.63 -1.00
   27 img/amr.old/0/amr-0027.png 1024x1631 0.63 -1.00
   28 img/amr.old/0/amr-0028.png 1024x1631 0.63 -1.00
   29 img/amr.old/0/amr-0029.png 1024x1631 0.63 -1.00
   30 img/amr.old/0/amr-0030.png 1024x1631 0.63 -1.00
   31 img/amr.old/0/amr-0031.png 1024x1631 0.63 -1.00
   32 img/amr.old/0/amr-0032.png 1024x1631 0.63 -1.00
   33 img/amr.old/0/amr-0033.png 1024x1631 0.63 -1.00
   34 img/amr.old/0/amr-0034.png 1024x1631 0.63 -1.00
   35 img/amr.old/0/amr-0035.png 1024x1631 0.63 -1.00
   36 img/amr.old/0/amr-0036.png 1024x1631 0.63 -1.00
   37 img/amr.old/0/amr-0037.png 1024x1631 0.63 -1.00
   38 img/amr.old/0/amr-0038.png 1024x1631 0.63 -1.00
   39 img/amr.old/0/amr-0039.png 1024x1631 0.63 -1.00
   40 img/amr.old/0/amr-0040.png 1024x1631 0.63 -1.00
   41 img/amr.old/0/amr-0041.png 1024x1631 0.63 -1.00
   42 img/amr.old/0/amr-0042.png 1024x1631 0.63 -1.00
   43 img/amr.old/0/amr-0043.png 1024x1631 0.63 -1.00
   44 img/amr.old/0/amr-0044.png 1024x1631 0.63 -1.00
   45 img/amr.old/0/amr-0045.png 1024x1631 0.63 -1.00
   46 img/amr.old/0/amr-0046.png 1024x1631 0.63 -1.00
   47 img/amr.old/0/amr-0047.png 1024x1631 0.63 -1.00
   48 img/amr.old/0/amr-0048.png 1024x1631 0.63 -1.00
   49 img/amr.old/0/amr-0049.png 1024x1631 0.63 -1.00
   50 img/amr.old/0/amr-0050.png 1024x1631 0.63 -1.00
   51 img/amr.old/0/amr-0051.png 1024x1631 0.63 -1.00
   52 img/amr.old/0/amr-0052.png 1024x1631 0.63 -1.00
   53 img/amr.old/0/amr-0053.png 1024x1631 0.63 -1.00
   54 img/amr.old/0/amr-0054.png 1024x1631 0.63 -1.00
   55 img/amr.old/0/amr-0055.png 1024x1631 0.63 -1.00
   56 img/amr.old/0/amr-0056.png 1024x1631 0.63 -1.00
   57 img/amr.old/0/amr-0057.png 1024x1631 0.63 -1.00
   58 img/amr.old/0/amr-0058.png 1024x1631 0.63 -1.00
