mean 0.693607108033241, prms 0.0727346861119593, median 0.685871, min 0.506073, max 2.17865, adev 0.0181405541777612, rms 0.0726842983773963
=== Full report: ===
    1 img/amr/0/amr-0000.png 1000x1976 0.51 -2.58
    2 img/amr/0/amr-0001.png 1000x1257 0.80 1.40
    3 img/amr/0/amr-0002.png 1000x1388 0.72 0.37
    4 img/amr/0/amr-0003.png 1000x1409 0.71 0.22
    5 img/amr/0/amr-0004.png 1000x1184 0.84 2.08
    6 img/amr/0/amr-0005.png 1000x1000 1.00 4.21
    7 img/amr/0/amr-0006.png 1000x1474 0.68 -0.21
    8 img/amr/0/amr-0007.png 1000x1447 0.69 -0.03
    9 img/amr/0/amr-0008.png 1000x1452 0.69 -0.07
   10 img/amr/0/amr-0009.png 1000x1450 0.69 -0.05
   11 img/amr/0/amr-0010.png 1000x1459 0.69 -0.11
   12 img/amr/0/amr-0011.png 1000x1449 0.69 -0.05
   13 img/amr/0/amr-0012.png 1000x1457 0.69 -0.10
   14 img/amr/0/amr-0013.png 1000x1444 0.69 -0.01
   15 img/amr/0/amr-0014.png 1000x1460 0.68 -0.12
   16 img/amr/0/amr-0015.png 1000x1457 0.69 -0.10
   17 img/amr/0/amr-0016.png 1000x1456 0.69 -0.09
   18 img/amr/0/amr-0017.png 1000x1453 0.69 -0.07
   19 img/amr/0/amr-0018.png 1000x1452 0.69 -0.07
   20 img/amr/0/amr-0019.png 1000x1455 0.69 -0.09
   21 img/amr/0/amr-0020.png 1000x1455 0.69 -0.09
   22 img/amr/0/amr-0021.png 1000x1454 0.69 -0.08
   23 img/amr/0/amr-0022.png 1000x1453 0.69 -0.07
   24 img/amr/0/amr-0023.png 1000x1454 0.69 -0.08
   25 img/amr/0/amr-0024.png 1000x1458 0.69 -0.11
   26 img/amr/0/amr-0025.png 1000x1451 0.69 -0.06
   27 img/amr/0/amr-0026.png 1000x1459 0.69 -0.11
   28 img/amr/0/amr-0027.png 1000x1458 0.69 -0.11
   29 img/amr/0/amr-0028.png 1000x1464 0.68 -0.15
   30 img/amr/0/amr-0029.png 1000x1454 0.69 -0.08
   31 img/amr/0/amr-0030.png 1000x1458 0.69 -0.11
   32 img/amr/0/amr-0031.png 1000x1455 0.69 -0.09
   33 img/amr/0/amr-0032.png 1000x1441 0.69 0.00
   34 img/amr/0/amr-0033.png 1000x1458 0.69 -0.11
   35 img/amr/0/amr-0034.png 1000x1457 0.69 -0.10
   36 img/amr/0/amr-0035.png 1000x1451 0.69 -0.06
   37 img/amr/0/amr-0036.png 1000x1461 0.68 -0.13
   38 img/amr/0/amr-0037.png 1000x1456 0.69 -0.09
   39 img/amr/0/amr-0038.png 1000x1441 0.69 0.00
   40 img/amr/0/amr-0039.png 1000x1451 0.69 -0.06
   41 img/amr/0/amr-0040.png 1000x1447 0.69 -0.03
   42 img/amr/0/amr-0041.png 1000x1467 0.68 -0.16
   43 img/amr/0/amr-0042.png 1000x1454 0.69 -0.08
   44 img/amr/0/amr-0043.png 1000x1451 0.69 -0.06
   45 img/amr/0/amr-0044.png 1000x1476 0.68 -0.22
   46 img/amr/0/amr-0045.png 1000x1460 0.68 -0.12
   47 img/amr/0/amr-0046.png 1000x1451 0.69 -0.06
   48 img/amr/0/amr-0047.png 1000x1452 0.69 -0.07
   49 img/amr/0/amr-0048.png 1000x1448 0.69 -0.04
   50 img/amr/0/amr-0049.png 1000x1458 0.69 -0.11
   51 img/amr/0/amr-0050.png 1000x1454 0.69 -0.08
   52 img/amr/0/amr-0051.png 1000x1450 0.69 -0.05
   53 img/amr/0/amr-0052.png 1000x1454 0.69 -0.08
   54 img/amr/0/amr-0053.png 1000x1458 0.69 -0.11
   55 img/amr/0/amr-0054.png 1000x1455 0.69 -0.09
   56 img/amr/0/amr-0055.png 1000x1448 0.69 -0.04
   57 img/amr/0/amr-0056.png 1000x1450 0.69 -0.05
   58 img/amr/0/amr-0057.png 1000x1443 0.69 -0.01
   59 img/amr/0/amr-0058.png 1000x1444 0.69 -0.01
   60 img/amr/0/amr-0059.png 1000x1451 0.69 -0.06
   61 img/amr/0/amr-0060.png 1000x1431 0.70 0.07
   62 img/amr/0/amr-0061.png 1000x1453 0.69 -0.07
   63 img/amr/0/amr-0062.png 1000x1457 0.69 -0.10
   64 img/amr/0/amr-0063.png 1000x1433 0.70 0.06
   65 img/amr/0/amr-0064.png 1000x1460 0.68 -0.12
   66 img/amr/0/amr-0065.png 1000x1439 0.69 0.02
   67 img/amr/0/amr-0066.png 1000x1456 0.69 -0.09
   68 img/amr/0/amr-0067.png 1000x1444 0.69 -0.01
   69 img/amr/0/amr-0068.png 1000x1451 0.69 -0.06
   70 img/amr/0/amr-0069.png 1000x1445 0.69 -0.02
   71 img/amr/0/amr-0070.png 1000x1452 0.69 -0.07
   72 img/amr/0/amr-0071.png 1000x1453 0.69 -0.07
   73 img/amr/0/amr-0072.png 1000x1465 0.68 -0.15
   74 img/amr/0/amr-0073.png 1000x1445 0.69 -0.02
   75 img/amr/0/amr-0074.png 1000x1447 0.69 -0.03
   76 img/amr/0/amr-0075.png 1000x1446 0.69 -0.03
   77 img/amr/0/amr-0076.png 1000x1441 0.69 0.00
   78 img/amr/0/amr-0077.png 1000x1449 0.69 -0.05
   79 img/amr/0/amr-0078.png 1000x1453 0.69 -0.07
   80 img/amr/0/amr-0079.png 1000x1449 0.69 -0.05
   81 img/amr/0/amr-0080.png 1000x1462 0.68 -0.13
   82 img/amr/0/amr-0081.png 1000x1443 0.69 -0.01
   83 img/amr/0/amr-0082.png 1000x1466 0.68 -0.16
   84 img/amr/0/amr-0083.png 1000x1447 0.69 -0.03
   85 img/amr/0/amr-0084.png 1000x1460 0.68 -0.12
   86 img/amr/0/amr-0085.png 1000x1452 0.69 -0.07
   87 img/amr/0/amr-0086.png 1000x1456 0.69 -0.09
   88 img/amr/0/amr-0087.png 1000x1454 0.69 -0.08
   89 img/amr/0/amr-0088.png 1000x1424 0.70 0.12
   90 img/amr/0/amr-0089.png 1000x1461 0.68 -0.13
   91 img/amr/0/amr-0090.png 1000x1452 0.69 -0.07
   92 img/amr/0/amr-0091.png 1000x1000 1.00 4.21
   93 img/amr/0/amr-0092.png 1000x1504 0.66 -0.39
   94 img/amr/0/amr-0093.png 1000x1446 0.69 -0.03
   95 img/amr/0/amr-0094.png 1000x1453 0.69 -0.07
   96 img/amr/0/amr-0095.png 1000x1454 0.69 -0.08
