mean 0.700351989984181, prms 0.00374644890251007, median 0.700901, min 0.687947, max 0.71933, adev 0.00299738090356642, rms 0.00374546130557648
=== Full report: ===
    1 img/auh.old/0/auh-0001.png 1178x1667 0.71 1.68
    2 img/auh.old/0/auh-0002.png 1179x1667 0.71 1.84
    3 img/auh.old/0/auh-0003.png 1158x1668 0.69 -1.63
    4 img/auh.old/0/auh-0004.png 1159x1669 0.69 -1.58
    5 img/auh.old/0/auh-0005.png 1159x1668 0.69 -1.47
    6 img/auh.old/0/auh-0006.png 1157x1668 0.69 -1.79
    7 img/auh.old/0/auh-0007.png 1158x1668 0.69 -1.63
    8 img/auh.old/0/auh-0008.png 1161x1668 0.70 -1.15
    9 img/auh.old/0/auh-0009.png 1160x1668 0.70 -1.31
   10 img/auh.old/0/auh-0010.png 1164x1669 0.70 -0.78
   11 img/auh.old/0/auh-0011.png 1165x1669 0.70 -0.62
   12 img/auh.old/0/auh-0012.png 1155x1668 0.69 -2.11
   13 img/auh.old/0/auh-0013.png 1154x1669 0.69 -2.38
   14 img/auh.old/0/auh-0014.png 1156x1668 0.69 -1.95
   15 img/auh.old/0/auh-0015.png 1155x1668 0.69 -2.11
   16 img/auh.old/0/auh-0016.png 1159x1669 0.69 -1.58
   17 img/auh.old/0/auh-0017.png 1158x1669 0.69 -1.74
   18 img/auh.old/0/auh-0018.png 1158x1670 0.69 -1.85
   19 img/auh.old/0/auh-0019.png 1161x1667 0.70 -1.04
   20 img/auh.old/0/auh-0020.png 1162x1668 0.70 -0.99
   21 img/auh.old/0/auh-0021.png 1166x1671 0.70 -0.68
   22 img/auh.old/0/auh-0022.png 1166x1669 0.70 -0.46
   23 img/auh.old/0/auh-0023.png 1159x1669 0.69 -1.58
   24 img/auh.old/0/auh-0024.png 1158x1669 0.69 -1.74
   25 img/auh.old/0/auh-0025.png 1160x1669 0.70 -1.42
   26 img/auh.old/0/auh-0026.png 1159x1669 0.69 -1.58
   27 img/auh.old/0/auh-0027.png 1157x1669 0.69 -1.90
   28 img/auh.old/0/auh-0028.png 1157x1669 0.69 -1.90
   29 img/auh.old/0/auh-0029.png 1152x1669 0.69 -2.70
   30 img/auh.old/0/auh-0030.png 1153x1669 0.69 -2.54
   31 img/auh.old/0/auh-0031.png 1152x1667 0.69 -2.48
   32 img/auh.old/0/auh-0032.png 1151x1667 0.69 -2.64
   33 img/auh.old/0/auh-0033.png 1158x1668 0.69 -1.63
   34 img/auh.old/0/auh-0034.png 1161x1669 0.70 -1.26
   35 img/auh.old/0/auh-0035.png 1160x1669 0.70 -1.42
   36 img/auh.old/0/auh-0036.png 1164x1670 0.70 -0.89
   37 img/auh.old/0/auh-0037.png 1166x1669 0.70 -0.46
   38 img/auh.old/0/auh-0038.png 1162x1670 0.70 -1.21
   39 img/auh.old/0/auh-0039.png 1159x1669 0.69 -1.58
   40 img/auh.old/0/auh-0040.png 1164x1669 0.70 -0.78
   41 img/auh.old/0/auh-0041.png 1165x1669 0.70 -0.62
   42 img/auh.old/0/auh-0042.png 1156x1669 0.69 -2.06
   43 img/auh.old/0/auh-0043.png 1155x1669 0.69 -2.22
   44 img/auh.old/0/auh-0044.png 1157x1668 0.69 -1.79
   45 img/auh.old/0/auh-0045.png 1158x1668 0.69 -1.63
   46 img/auh.old/0/auh-0046.png 1157x1669 0.69 -1.90
   47 img/auh.old/0/auh-0047.png 1157x1669 0.69 -1.90
   48 img/auh.old/0/auh-0048.png 1162x1670 0.70 -1.21
   49 img/auh.old/0/auh-0049.png 1162x1670 0.70 -1.21
   50 img/auh.old/0/auh-0050.png 1157x1669 0.69 -1.90
   51 img/auh.old/0/auh-0051.png 1158x1670 0.69 -1.85
   52 img/auh.old/0/auh-0052.png 1153x1670 0.69 -2.65
   53 img/auh.old/0/auh-0053.png 1154x1669 0.69 -2.38
   54 img/auh.old/0/auh-0054.png 1163x1670 0.70 -1.05
   55 img/auh.old/0/auh-0055.png 1164x1670 0.70 -0.89
   56 img/auh.old/0/auh-0056.png 1155x1670 0.69 -2.33
   57 img/auh.old/0/auh-0057.png 1155x1669 0.69 -2.22
   58 img/auh.old/0/auh-0058.png 1165x1670 0.70 -0.73
   59 img/auh.old/0/auh-0059.png 1165x1670 0.70 -0.73
   60 img/auh.old/0/auh-0060.png 1159x1669 0.69 -1.58
   61 img/auh.old/0/auh-0061.png 1161x1669 0.70 -1.26
   62 img/auh.old/0/auh-0062.png 1165x1669 0.70 -0.62
   63 img/auh.old/0/auh-0063.png 1166x1669 0.70 -0.46
   64 img/auh.old/0/auh-0064.png 1166x1669 0.70 -0.46
   65 img/auh.old/0/auh-0065.png 1166x1669 0.70 -0.46
   66 img/auh.old/0/auh-0066.png 1168x1669 0.70 -0.14
   67 img/auh.old/0/auh-0067.png 1167x1669 0.70 -0.30
