mean 0.697468775551103, prms 0.458645216935319, median 0.649351, min 0.308833, max 12.6582, adev 0.0919205106083921, rms 0.458415377172985
=== Full report: ===
    1 img/bdw/0/bdw-0000.png 1000x1625 0.62 -0.18
    2 img/bdw/0/bdw-0001.png 1000x1467 0.68 -0.03
    3 img/bdw/0/bdw-0002.png 1000x579 1.73 2.24
    4 img/bdw/0/bdw-0003.png 1000x1402 0.71 0.03
    5 img/bdw/0/bdw-0004.png 1000x3238 0.31 -0.85
    6 img/bdw/0/bdw-0005.png 1000x1412 0.71 0.02
    7 img/bdw/0/bdw-0006.png 1000x256 3.91 7.00
    8 img/bdw/0/bdw-0007.png 1000x1277 0.78 0.19
    9 img/bdw/0/bdw-0008.png 1000x1557 0.64 -0.12
   10 img/bdw/0/bdw-0009.png 1000x1545 0.65 -0.11
   11 img/bdw/0/bdw-0010.png 1000x1558 0.64 -0.12
   12 img/bdw/0/bdw-0011.png 1000x1548 0.65 -0.11
   13 img/bdw/0/bdw-0012.png 1000x1560 0.64 -0.12
   14 img/bdw/0/bdw-0013.png 1000x1539 0.65 -0.10
   15 img/bdw/0/bdw-0014.png 1000x1548 0.65 -0.11
   16 img/bdw/0/bdw-0015.png 1000x1558 0.64 -0.12
   17 img/bdw/0/bdw-0016.png 1000x1556 0.64 -0.12
   18 img/bdw/0/bdw-0017.png 1000x1562 0.64 -0.12
   19 img/bdw/0/bdw-0018.png 1000x932 1.07 0.82
   20 img/bdw/0/bdw-0019.png 1000x1241 0.81 0.24
   21 img/bdw/0/bdw-0020.png 1000x1541 0.65 -0.11
   22 img/bdw/0/bdw-0021.png 1000x1543 0.65 -0.11
   23 img/bdw/0/bdw-0022.png 1000x1545 0.65 -0.11
   24 img/bdw/0/bdw-0023.png 1000x1534 0.65 -0.10
   25 img/bdw/0/bdw-0024.png 1000x1543 0.65 -0.11
   26 img/bdw/0/bdw-0025.png 1000x1530 0.65 -0.10
   27 img/bdw/0/bdw-0026.png 1000x1535 0.65 -0.10
   28 img/bdw/0/bdw-0027.png 1000x1542 0.65 -0.11
   29 img/bdw/0/bdw-0028.png 1000x1531 0.65 -0.10
   30 img/bdw/0/bdw-0029.png 1000x1536 0.65 -0.10
   31 img/bdw/0/bdw-0030.png 1000x1539 0.65 -0.10
   32 img/bdw/0/bdw-0031.png 1000x1531 0.65 -0.10
   33 img/bdw/0/bdw-0032.png 1000x1534 0.65 -0.10
   34 img/bdw/0/bdw-0033.png 1000x1537 0.65 -0.10
   35 img/bdw/0/bdw-0034.png 1000x1540 0.65 -0.10
