mean 0.607529607305937, prms 0.397028775558184, median 0.563486, min 0.530786, max 8.24176, adev 0.0853072312920927, rms 0.396847442470142
=== Full report: ===
    1 img/br/0/br-0000.png 750x91 8.24 19.23
    2 img/br/0/br-0001.png 750x466 1.61 2.52
    3 img/br/0/br-0002.png 750x1075 0.70 0.23
    4 img/br/0/br-0003.png 750x1054 0.71 0.26
    5 img/br/0/br-0004.png 750x685 1.09 1.23
    6 img/br/0/br-0005.png 750x750 1.00 0.99
    7 img/br/0/br-0006.png 750x1105 0.68 0.18
    8 img/br/0/br-0007.png 750x1326 0.57 -0.11
    9 img/br/0/br-0008.png 750x1328 0.56 -0.11
   10 img/br/0/br-0009.png 750x1321 0.57 -0.10
   11 img/br/0/br-0010.png 750x1324 0.57 -0.10
   12 img/br/0/br-0011.png 750x1326 0.57 -0.11
   13 img/br/0/br-0012.png 750x1108 0.68 0.17
   14 img/br/0/br-0013.png 750x1331 0.56 -0.11
   15 img/br/0/br-0014.png 750x1324 0.57 -0.10
   16 img/br/0/br-0015.png 750x1327 0.57 -0.11
   17 img/br/0/br-0016.png 750x1326 0.57 -0.11
   18 img/br/0/br-0017.png 750x1331 0.56 -0.11
   19 img/br/0/br-0018.png 750x1330 0.56 -0.11
   20 img/br/0/br-0019.png 750x1324 0.57 -0.10
   21 img/br/0/br-0020.png 750x1330 0.56 -0.11
   22 img/br/0/br-0021.png 750x1324 0.57 -0.10
   23 img/br/0/br-0022.png 750x1323 0.57 -0.10
   24 img/br/0/br-0023.png 750x1330 0.56 -0.11
   25 img/br/0/br-0024.png 750x1338 0.56 -0.12
   26 img/br/0/br-0025.png 750x486 1.54 2.36
   27 img/br/0/br-0026.png 750x1054 0.71 0.26
   28 img/br/0/br-0027.png 750x1324 0.57 -0.10
   29 img/br/0/br-0028.png 750x1293 0.58 -0.07
   30 img/br/0/br-0029.png 750x1334 0.56 -0.11
   31 img/br/0/br-0030.png 750x1330 0.56 -0.11
   32 img/br/0/br-0031.png 750x1347 0.56 -0.13
   33 img/br/0/br-0032.png 750x1350 0.56 -0.13
   34 img/br/0/br-0033.png 750x1349 0.56 -0.13
   35 img/br/0/br-0034.png 750x1406 0.53 -0.19
   36 img/br/0/br-0035.png 750x1339 0.56 -0.12
   37 img/br/0/br-0036.png 750x1296 0.58 -0.07
   38 img/br/0/br-0037.png 750x1331 0.56 -0.11
   39 img/br/0/br-0038.png 750x1347 0.56 -0.13
   40 img/br/0/br-0039.png 750x1344 0.56 -0.12
   41 img/br/0/br-0040.png 750x1368 0.55 -0.15
   42 img/br/0/br-0041.png 750x1347 0.56 -0.13
   43 img/br/0/br-0042.png 750x1381 0.54 -0.16
   44 img/br/0/br-0043.png 750x1324 0.57 -0.10
   45 img/br/0/br-0044.png 750x1344 0.56 -0.12
   46 img/br/0/br-0045.png 750x1345 0.56 -0.13
   47 img/br/0/br-0046.png 750x1328 0.56 -0.11
   48 img/br/0/br-0047.png 750x1324 0.57 -0.10
   49 img/br/0/br-0048.png 750x1391 0.54 -0.17
   50 img/br/0/br-0049.png 750x1341 0.56 -0.12
   51 img/br/0/br-0050.png 750x1336 0.56 -0.12
   52 img/br/0/br-0051.png 750x1353 0.55 -0.13
   53 img/br/0/br-0052.png 750x1306 0.57 -0.08
   54 img/br/0/br-0053.png 750x1330 0.56 -0.11
   55 img/br/0/br-0054.png 750x1295 0.58 -0.07
   56 img/br/0/br-0055.png 750x1330 0.56 -0.11
   57 img/br/0/br-0056.png 750x1331 0.56 -0.11
   58 img/br/0/br-0057.png 750x1325 0.57 -0.10
   59 img/br/0/br-0058.png 750x1411 0.53 -0.19
   60 img/br/0/br-0059.png 750x1328 0.56 -0.11
   61 img/br/0/br-0060.png 750x1351 0.56 -0.13
