mean 0.625, prms 0, median 0.625, min 0.625, max 0.625, adev 0, rms 0
=== Full report: ===
    1 img/dhq.old/0/dhq-0001.png 900x1440 0.62 nan
    2 img/dhq.old/0/dhq-0002.png 900x1440 0.62 nan
    3 img/dhq.old/0/dhq-0003.png 900x1440 0.62 nan
    4 img/dhq.old/0/dhq-0004.png 900x1440 0.62 nan
    5 img/dhq.old/0/dhq-0005.png 900x1440 0.62 nan
    6 img/dhq.old/0/dhq-0006.png 900x1440 0.62 nan
    7 img/dhq.old/0/dhq-0007.png 900x1440 0.62 nan
    8 img/dhq.old/0/dhq-0008.png 900x1440 0.62 nan
    9 img/dhq.old/0/dhq-0009.png 900x1440 0.62 nan
   10 img/dhq.old/0/dhq-0010.png 900x1440 0.62 nan
   11 img/dhq.old/0/dhq-0011.png 900x1440 0.62 nan
   12 img/dhq.old/0/dhq-0012.png 900x1440 0.62 nan
   13 img/dhq.old/0/dhq-0013.png 900x1440 0.62 nan
   14 img/dhq.old/0/dhq-0014.png 900x1440 0.62 nan
   15 img/dhq.old/0/dhq-0015.png 900x1440 0.62 nan
   16 img/dhq.old/0/dhq-0016.png 900x1440 0.62 nan
   17 img/dhq.old/0/dhq-0017.png 900x1440 0.62 nan
   18 img/dhq.old/0/dhq-0018.png 900x1440 0.62 nan
   19 img/dhq.old/0/dhq-0019.png 900x1440 0.62 nan
   20 img/dhq.old/0/dhq-0020.png 900x1440 0.62 nan
   21 img/dhq.old/0/dhq-0021.png 900x1440 0.62 nan
   22 img/dhq.old/0/dhq-0022.png 900x1440 0.62 nan
   23 img/dhq.old/0/dhq-0023.png 900x1440 0.62 nan
   24 img/dhq.old/0/dhq-0024.png 900x1440 0.62 nan
   25 img/dhq.old/0/dhq-0025.png 900x1440 0.62 nan
   26 img/dhq.old/0/dhq-0026.png 900x1440 0.62 nan
   27 img/dhq.old/0/dhq-0027.png 900x1440 0.62 nan
   28 img/dhq.old/0/dhq-0028.png 900x1440 0.62 nan
   29 img/dhq.old/0/dhq-0029.png 900x1440 0.62 nan
   30 img/dhq.old/0/dhq-0030.png 900x1440 0.62 nan
   31 img/dhq.old/0/dhq-0031.png 900x1440 0.62 nan
   32 img/dhq.old/0/dhq-0032.png 900x1440 0.62 nan
   33 img/dhq.old/0/dhq-0033.png 900x1440 0.62 nan
   34 img/dhq.old/0/dhq-0034.png 900x1440 0.62 nan
   35 img/dhq.old/0/dhq-0035.png 900x1440 0.62 nan
   36 img/dhq.old/0/dhq-0036.png 900x1440 0.62 nan
