mean 0.530764427457098, prms 0.0131692253679552, median 0.529661, min 0.496032, max 0.730994, adev 0.00471133133437654, rms 0.0131589489517449
=== Full report: ===
    1 img/dhq/0/dhq-0001.png 1000x2016 0.50 -2.64
    2 img/dhq/0/dhq-0002.png 1000x1893 0.53 -0.19
    3 img/dhq/0/dhq-0003.png 1000x1893 0.53 -0.19
    4 img/dhq/0/dhq-0004.png 1000x1881 0.53 0.07
    5 img/dhq/0/dhq-0005.png 1000x1893 0.53 -0.19
    6 img/dhq/0/dhq-0006.png 1000x1913 0.52 -0.61
    7 img/dhq/0/dhq-0007.png 1000x1907 0.52 -0.48
    8 img/dhq/0/dhq-0008.png 1000x1893 0.53 -0.19
    9 img/dhq/0/dhq-0009.png 1000x1869 0.54 0.33
   10 img/dhq/0/dhq-0010.png 1000x1869 0.54 0.33
   11 img/dhq/0/dhq-0011.png 1000x1907 0.52 -0.48
   12 img/dhq/0/dhq-0012.png 1000x1907 0.52 -0.48
   13 img/dhq/0/dhq-0013.png 1000x1887 0.53 -0.06
   14 img/dhq/0/dhq-0014.png 1000x1893 0.53 -0.19
   15 img/dhq/0/dhq-0015.png 1000x1887 0.53 -0.06
   16 img/dhq/0/dhq-0016.png 1000x1900 0.53 -0.34
   17 img/dhq/0/dhq-0017.png 1000x1894 0.53 -0.21
   18 img/dhq/0/dhq-0018.png 1000x1894 0.53 -0.21
   19 img/dhq/0/dhq-0019.png 1000x1900 0.53 -0.34
   20 img/dhq/0/dhq-0020.png 1000x1881 0.53 0.07
   21 img/dhq/0/dhq-0021.png 1000x1900 0.53 -0.34
   22 img/dhq/0/dhq-0022.png 1000x1907 0.52 -0.48
   23 img/dhq/0/dhq-0023.png 1000x1900 0.53 -0.34
   24 img/dhq/0/dhq-0024.png 1000x1887 0.53 -0.06
   25 img/dhq/0/dhq-0025.png 1000x1900 0.53 -0.34
   26 img/dhq/0/dhq-0026.png 1000x1881 0.53 0.07
   27 img/dhq/0/dhq-0027.png 1000x1900 0.53 -0.34
   28 img/dhq/0/dhq-0028.png 1000x1894 0.53 -0.21
   29 img/dhq/0/dhq-0029.png 1000x1900 0.53 -0.34
   30 img/dhq/0/dhq-0030.png 1000x1893 0.53 -0.19
   31 img/dhq/0/dhq-0031.png 1000x1900 0.53 -0.34
   32 img/dhq/0/dhq-0032.png 1000x1882 0.53 0.04
   33 img/dhq/0/dhq-0033.png 1000x1875 0.53 0.20
   34 img/dhq/0/dhq-0034.png 1000x1907 0.52 -0.48
   35 img/dhq/0/dhq-0035.png 1000x1894 0.53 -0.21
   36 img/dhq/0/dhq-0036.png 1000x1900 0.53 -0.34
   37 img/dhq/0/dhq-0037.png 1000x1900 0.53 -0.34
   38 img/dhq/0/dhq-0038.png 1000x1894 0.53 -0.21
   39 img/dhq/0/dhq-0039.png 1000x1907 0.52 -0.48
   40 img/dhq/0/dhq-0040.png 1000x1900 0.53 -0.34
   41 img/dhq/0/dhq-0041.png 1000x1900 0.53 -0.34
   42 img/dhq/0/dhq-0042.png 1000x1913 0.52 -0.61
   43 img/dhq/0/dhq-0043.png 1000x1887 0.53 -0.06
   44 img/dhq/0/dhq-0044.png 1000x1875 0.53 0.20
   45 img/dhq/0/dhq-0045.png 1000x1913 0.52 -0.61
   46 img/dhq/0/dhq-0046.png 1000x1900 0.53 -0.34
   47 img/dhq/0/dhq-0047.png 1000x1887 0.53 -0.06
   48 img/dhq/0/dhq-0048.png 1000x1882 0.53 0.04
   49 img/dhq/0/dhq-0049.png 1000x1881 0.53 0.07
   50 img/dhq/0/dhq-0050.png 1000x1887 0.53 -0.06
   51 img/dhq/0/dhq-0051.png 1000x1887 0.53 -0.06
   52 img/dhq/0/dhq-0052.png 1000x1887 0.53 -0.06
   53 img/dhq/0/dhq-0053.png 1000x1907 0.52 -0.48
   54 img/dhq/0/dhq-0054.png 1000x1882 0.53 0.04
   55 img/dhq/0/dhq-0055.png 1000x1920 0.52 -0.75
   56 img/dhq/0/dhq-0056.png 1000x1900 0.53 -0.34
   57 img/dhq/0/dhq-0057.png 1000x1894 0.53 -0.21
   58 img/dhq/0/dhq-0058.png 1000x1907 0.52 -0.48
   59 img/dhq/0/dhq-0059.png 1000x1894 0.53 -0.21
   60 img/dhq/0/dhq-0060.png 1000x1894 0.53 -0.21
   61 img/dhq/0/dhq-0061.png 1000x1894 0.53 -0.21
   62 img/dhq/0/dhq-0062.png 1000x1894 0.53 -0.21
   63 img/dhq/0/dhq-0063.png 1000x1900 0.53 -0.34
   64 img/dhq/0/dhq-0064.png 1000x1900 0.53 -0.34
   65 img/dhq/0/dhq-0065.png 1000x1900 0.53 -0.34
   66 img/dhq/0/dhq-0066.png 1000x1907 0.52 -0.48
   67 img/dhq/0/dhq-0067.png 1000x1894 0.53 -0.21
   68 img/dhq/0/dhq-0068.png 1000x1894 0.53 -0.21
   69 img/dhq/0/dhq-0069.png 1000x1900 0.53 -0.34
   70 img/dhq/0/dhq-0070.png 1000x1893 0.53 -0.19
   71 img/dhq/0/dhq-0071.png 1000x1907 0.52 -0.48
   72 img/dhq/0/dhq-0072.png 1000x1893 0.53 -0.19
   73 img/dhq/0/dhq-0073.png 1000x1893 0.53 -0.19
   74 img/dhq/0/dhq-0074.png 1000x1907 0.52 -0.48
   75 img/dhq/0/dhq-0075.png 1000x1900 0.53 -0.34
   76 img/dhq/0/dhq-0076.png 1000x1894 0.53 -0.21
   77 img/dhq/0/dhq-0077.png 1000x1887 0.53 -0.06
   78 img/dhq/0/dhq-0078.png 1000x1882 0.53 0.04
   79 img/dhq/0/dhq-0079.png 1000x1894 0.53 -0.21
   80 img/dhq/0/dhq-0080.png 1000x1900 0.53 -0.34
   81 img/dhq/0/dhq-0081.png 1000x1894 0.53 -0.21
   82 img/dhq/0/dhq-0082.png 1000x1907 0.52 -0.48
   83 img/dhq/0/dhq-0083.png 1000x1894 0.53 -0.21
   84 img/dhq/0/dhq-0084.png 1000x1907 0.52 -0.48
   85 img/dhq/0/dhq-0085.png 1000x1887 0.53 -0.06
   86 img/dhq/0/dhq-0086.png 1000x1893 0.53 -0.19
   87 img/dhq/0/dhq-0087.png 1000x1887 0.53 -0.06
   88 img/dhq/0/dhq-0088.png 1000x1881 0.53 0.07
   89 img/dhq/0/dhq-0089.png 1000x1887 0.53 -0.06
   90 img/dhq/0/dhq-0090.png 1000x1894 0.53 -0.21
   91 img/dhq/0/dhq-0091.png 1000x1887 0.53 -0.06
   92 img/dhq/0/dhq-0092.png 1000x1900 0.53 -0.34
   93 img/dhq/0/dhq-0093.png 1000x1887 0.53 -0.06
   94 img/dhq/0/dhq-0094.png 1000x1887 0.53 -0.06
