mean 0.614841670940171, prms 0.554131014814255, median 0.584454, min 0.382263, max 17.375, adev 0.0580079210132225, rms 0.553834925551964
=== Full report: ===
    1 img/ha/0/ha-0001.png 1x1 1.00 0.70
    2 img/ha/0/ha-0002.png 1000x1826 0.55 -0.12
    3 img/ha/0/ha-0003.png 1x1 1.00 0.70
    4 img/ha/0/ha-0004.png 740x612 1.21 1.07
    5 img/ha/0/ha-0005.png 1000x1000 1.00 0.70
    6 img/ha/0/ha-0006.png 356x392 0.91 0.53
    7 img/ha/0/ha-0007.png 952x1008 0.94 0.59
    8 img/ha/0/ha-0008.png 556x32 17.38 30.25
    9 img/ha/0/ha-0009.png 1000x1907 0.52 -0.16
   10 img/ha/0/ha-0010.png 1x1 1.00 0.70
   11 img/ha/0/ha-0011.png 1000x1736 0.58 -0.07
   12 img/ha/0/ha-0012.png 1000x1671 0.60 -0.03
   13 img/ha/0/ha-0013.png 1000x1733 0.58 -0.07
   14 img/ha/0/ha-0014.png 1000x1730 0.58 -0.07
   15 img/ha/0/ha-0015.png 1000x1701 0.59 -0.05
   16 img/ha/0/ha-0016.png 1000x1255 0.80 0.33
   17 img/ha/0/ha-0017.png 1000x1453 0.69 0.13
   18 img/ha/0/ha-0018.png 1000x1584 0.63 0.03
   19 img/ha/0/ha-0019.png 1000x1362 0.73 0.22
   20 img/ha/0/ha-0020.png 1000x1715 0.58 -0.06
   21 img/ha/0/ha-0021.png 1000x1628 0.61 -0.00
   22 img/ha/0/ha-0022.png 1000x1687 0.59 -0.04
   23 img/ha/0/ha-0023.png 1000x1710 0.58 -0.05
   24 img/ha/0/ha-0024.png 1000x1712 0.58 -0.06
   25 img/ha/0/ha-0025.png 1000x1707 0.59 -0.05
   26 img/ha/0/ha-0026.png 1000x1717 0.58 -0.06
   27 img/ha/0/ha-0027.png 1000x1722 0.58 -0.06
   28 img/ha/0/ha-0028.png 1000x1714 0.58 -0.06
   29 img/ha/0/ha-0029.png 1000x1721 0.58 -0.06
   30 img/ha/0/ha-0030.png 1000x1709 0.59 -0.05
   31 img/ha/0/ha-0031.png 1000x1724 0.58 -0.06
   32 img/ha/0/ha-0032.png 1000x1727 0.58 -0.06
   33 img/ha/0/ha-0033.png 1000x1723 0.58 -0.06
