mean 0.599701349382716, prms 0.025050252526456, median 0.598563, min 0.499667, max 0.712928, adev 0.0173305641670477, rms 0.0250347846320966
=== Full report: ===
    1 img/mar/0/mar-0001.png 750x1482 0.51 -3.74
    2 img/mar/0/mar-0002.png 750x1447 0.52 -3.25
    3 img/mar/0/mar-0003.png 750x1113 0.67 2.96
    4 img/mar/0/mar-0004.png 750x1231 0.61 0.38
    5 img/mar/0/mar-0005.png 750x1286 0.58 -0.66
    6 img/mar/0/mar-0006.png 750x1304 0.58 -0.98
    7 img/mar/0/mar-0007.png 750x1250 0.60 0.01
    8 img/mar/0/mar-0008.png 750x1326 0.57 -1.36
    9 img/mar/0/mar-0009.png 750x1164 0.64 1.78
   10 img/mar/0/mar-0010.png 750x1328 0.56 -1.39
   11 img/mar/0/mar-0011.png 750x1231 0.61 0.38
   12 img/mar/0/mar-0012.png 750x1312 0.57 -1.12
   13 img/mar/0/mar-0013.png 750x1214 0.62 0.72
   14 img/mar/0/mar-0014.png 750x1325 0.57 -1.34
   15 img/mar/0/mar-0015.png 750x1228 0.61 0.44
   16 img/mar/0/mar-0016.png 750x1366 0.55 -2.02
   17 img/mar/0/mar-0017.png 750x1358 0.55 -1.89
   18 img/mar/0/mar-0018.png 750x1245 0.60 0.11
   19 img/mar/0/mar-0019.png 750x1282 0.59 -0.59
   20 img/mar/0/mar-0020.png 750x1320 0.57 -1.26
   21 img/mar/0/mar-0021.png 750x1319 0.57 -1.24
   22 img/mar/0/mar-0022.png 750x1302 0.58 -0.94
   23 img/mar/0/mar-0023.png 750x1228 0.61 0.44
   24 img/mar/0/mar-0024.png 750x1165 0.64 1.76
   25 img/mar/0/mar-0025.png 750x1121 0.67 2.77
   26 img/mar/0/mar-0026.png 750x1244 0.60 0.13
   27 img/mar/0/mar-0027.png 750x1256 0.60 -0.10
   28 img/mar/0/mar-0028.png 750x1228 0.61 0.44
   29 img/mar/0/mar-0029.png 750x1154 0.65 2.00
   30 img/mar/0/mar-0030.png 750x1206 0.62 0.89
   31 img/mar/0/mar-0031.png 750x1252 0.60 -0.03
   32 img/mar/0/mar-0032.png 750x1254 0.60 -0.06
   33 img/mar/0/mar-0033.png 750x1268 0.59 -0.33
   34 img/mar/0/mar-0034.png 750x1224 0.61 0.52
   35 img/mar/0/mar-0035.png 750x1184 0.63 1.35
   36 img/mar/0/mar-0036.png 750x1253 0.60 -0.05
   37 img/mar/0/mar-0037.png 750x1197 0.63 1.07
   38 img/mar/0/mar-0038.png 750x1225 0.61 0.50
   39 img/mar/0/mar-0039.png 750x1263 0.59 -0.23
   40 img/mar/0/mar-0040.png 750x1253 0.60 -0.05
   41 img/mar/0/mar-0041.png 750x1233 0.61 0.34
   42 img/mar/0/mar-0042.png 750x1213 0.62 0.74
   43 img/mar/0/mar-0043.png 750x1234 0.61 0.32
   44 img/mar/0/mar-0044.png 750x1237 0.61 0.26
   45 img/mar/0/mar-0045.png 750x1270 0.59 -0.37
   46 img/mar/0/mar-0046.png 750x1253 0.60 -0.05
   47 img/mar/0/mar-0047.png 750x1219 0.62 0.62
   48 img/mar/0/mar-0048.png 750x1236 0.61 0.28
   49 img/mar/0/mar-0049.png 750x1287 0.58 -0.68
   50 img/mar/0/mar-0050.png 750x1229 0.61 0.42
   51 img/mar/0/mar-0051.png 750x1241 0.60 0.19
   52 img/mar/0/mar-0052.png 750x1244 0.60 0.13
   53 img/mar/0/mar-0053.png 750x1254 0.60 -0.06
   54 img/mar/0/mar-0054.png 750x1226 0.61 0.48
   55 img/mar/0/mar-0055.png 750x1240 0.60 0.21
   56 img/mar/0/mar-0056.png 750x1249 0.60 0.03
   57 img/mar/0/mar-0057.png 750x1120 0.67 2.79
   58 img/mar/0/mar-0058.png 750x1249 0.60 0.03
   59 img/mar/0/mar-0059.png 750x1243 0.60 0.15
   60 img/mar/0/mar-0060.png 750x1145 0.66 2.21
   61 img/mar/0/mar-0061.png 750x1200 0.62 1.01
   62 img/mar/0/mar-0062.png 750x1226 0.61 0.48
   63 img/mar/0/mar-0063.png 750x1231 0.61 0.38
   64 img/mar/0/mar-0064.png 750x1262 0.59 -0.22
   65 img/mar/0/mar-0065.png 750x1234 0.61 0.32
   66 img/mar/0/mar-0066.png 750x1205 0.62 0.91
   67 img/mar/0/mar-0067.png 750x1174 0.64 1.56
   68 img/mar/0/mar-0068.png 750x1258 0.60 -0.14
   69 img/mar/0/mar-0069.png 750x1248 0.60 0.05
   70 img/mar/0/mar-0070.png 750x1052 0.71 4.52
   71 img/mar/0/mar-0071.png 750x1233 0.61 0.34
   72 img/mar/0/mar-0072.png 750x1223 0.61 0.54
   73 img/mar/0/mar-0073.png 750x1246 0.60 0.09
   74 img/mar/0/mar-0074.png 750x1230 0.61 0.40
   75 img/mar/0/mar-0075.png 750x1239 0.61 0.22
   76 img/mar/0/mar-0076.png 750x1386 0.54 -2.34
   77 img/mar/0/mar-0077.png 750x1238 0.61 0.24
   78 img/mar/0/mar-0078.png 750x1220 0.61 0.60
   79 img/mar/0/mar-0079.png 750x1242 0.60 0.17
   80 img/mar/0/mar-0080.png 750x1210 0.62 0.80
   81 img/mar/0/mar-0081.png 750x1284 0.58 -0.62
   82 img/mar/0/mar-0082.png 750x1241 0.60 0.19
   83 img/mar/0/mar-0083.png 750x1250 0.60 0.01
   84 img/mar/0/mar-0084.png 750x1248 0.60 0.05
   85 img/mar/0/mar-0085.png 750x1257 0.60 -0.12
   86 img/mar/0/mar-0086.png 750x1247 0.60 0.07
   87 img/mar/0/mar-0087.png 750x1249 0.60 0.03
   88 img/mar/0/mar-0088.png 750x1261 0.59 -0.20
   89 img/mar/0/mar-0089.png 750x1240 0.60 0.21
   90 img/mar/0/mar-0090.png 750x1220 0.61 0.60
   91 img/mar/0/mar-0091.png 750x1238 0.61 0.24
   92 img/mar/0/mar-0092.png 750x1256 0.60 -0.10
   93 img/mar/0/mar-0093.png 750x1197 0.63 1.07
   94 img/mar/0/mar-0094.png 750x1238 0.61 0.24
   95 img/mar/0/mar-0095.png 750x1251 0.60 -0.01
   96 img/mar/0/mar-0096.png 750x1196 0.63 1.09
   97 img/mar/0/mar-0097.png 750x1244 0.60 0.13
   98 img/mar/0/mar-0098.png 750x1076 0.70 3.89
   99 img/mar/0/mar-0099.png 750x1231 0.61 0.38
  100 img/mar/1/mar-0100.png 750x1192 0.63 1.18
  101 img/mar/1/mar-0101.png 750x1239 0.61 0.22
  102 img/mar/1/mar-0102.png 750x1170 0.64 1.65
  103 img/mar/1/mar-0103.png 750x1241 0.60 0.19
  104 img/mar/1/mar-0104.png 750x1299 0.58 -0.89
  105 img/mar/1/mar-0105.png 750x1244 0.60 0.13
  106 img/mar/1/mar-0106.png 750x1111 0.68 3.01
  107 img/mar/1/mar-0107.png 750x1185 0.63 1.33
  108 img/mar/1/mar-0108.png 750x1221 0.61 0.58
  109 img/mar/1/mar-0109.png 750x1233 0.61 0.34
  110 img/mar/1/mar-0110.png 750x1226 0.61 0.48
  111 img/mar/1/mar-0111.png 750x1177 0.64 1.50
  112 img/mar/1/mar-0112.png 750x1238 0.61 0.24
  113 img/mar/1/mar-0113.png 750x1289 0.58 -0.71
  114 img/mar/1/mar-0114.png 750x1298 0.58 -0.87
  115 img/mar/1/mar-0115.png 750x1243 0.60 0.15
  116 img/mar/1/mar-0116.png 750x1197 0.63 1.07
  117 img/mar/1/mar-0117.png 750x1247 0.60 0.07
  118 img/mar/1/mar-0118.png 750x1233 0.61 0.34
  119 img/mar/1/mar-0119.png 750x1219 0.62 0.62
  120 img/mar/1/mar-0120.png 750x1285 0.58 -0.64
  121 img/mar/1/mar-0121.png 750x1187 0.63 1.28
  122 img/mar/1/mar-0122.png 750x1258 0.60 -0.14
  123 img/mar/1/mar-0123.png 750x1218 0.62 0.64
  124 img/mar/1/mar-0124.png 750x1223 0.61 0.54
  125 img/mar/1/mar-0125.png 750x1213 0.62 0.74
  126 img/mar/1/mar-0126.png 750x1245 0.60 0.11
  127 img/mar/1/mar-0127.png 750x1271 0.59 -0.38
  128 img/mar/1/mar-0128.png 750x1240 0.60 0.21
  129 img/mar/1/mar-0129.png 750x1272 0.59 -0.40
  130 img/mar/1/mar-0130.png 750x1191 0.63 1.20
  131 img/mar/1/mar-0131.png 750x1239 0.61 0.22
  132 img/mar/1/mar-0132.png 750x1250 0.60 0.01
  133 img/mar/1/mar-0133.png 750x1271 0.59 -0.38
  134 img/mar/1/mar-0134.png 750x1196 0.63 1.09
  135 img/mar/1/mar-0135.png 750x1180 0.64 1.43
  136 img/mar/1/mar-0136.png 750x1249 0.60 0.03
  137 img/mar/1/mar-0137.png 750x1230 0.61 0.40
  138 img/mar/1/mar-0138.png 750x1240 0.60 0.21
  139 img/mar/1/mar-0139.png 750x1220 0.61 0.60
  140 img/mar/1/mar-0140.png 750x1250 0.60 0.01
  141 img/mar/1/mar-0141.png 750x1229 0.61 0.42
  142 img/mar/1/mar-0142.png 750x1227 0.61 0.46
  143 img/mar/1/mar-0143.png 750x1205 0.62 0.91
  144 img/mar/1/mar-0144.png 750x1248 0.60 0.05
  145 img/mar/1/mar-0145.png 750x1263 0.59 -0.23
  146 img/mar/1/mar-0146.png 750x1235 0.61 0.30
  147 img/mar/1/mar-0147.png 750x1233 0.61 0.34
  148 img/mar/1/mar-0148.png 750x1224 0.61 0.52
  149 img/mar/1/mar-0149.png 750x1221 0.61 0.58
  150 img/mar/1/mar-0150.png 750x1253 0.60 -0.05
  151 img/mar/1/mar-0151.png 750x1214 0.62 0.72
  152 img/mar/1/mar-0152.png 750x1252 0.60 -0.03
  153 img/mar/1/mar-0153.png 750x1231 0.61 0.38
  154 img/mar/1/mar-0154.png 750x1262 0.59 -0.22
  155 img/mar/1/mar-0155.png 750x1266 0.59 -0.29
  156 img/mar/1/mar-0156.png 750x1253 0.60 -0.05
  157 img/mar/1/mar-0157.png 750x1202 0.62 0.97
  158 img/mar/1/mar-0158.png 750x1218 0.62 0.64
  159 img/mar/1/mar-0159.png 750x1236 0.61 0.28
  160 img/mar/1/mar-0160.png 750x1227 0.61 0.46
  161 img/mar/1/mar-0161.png 750x1287 0.58 -0.68
  162 img/mar/1/mar-0162.png 750x1244 0.60 0.13
  163 img/mar/1/mar-0163.png 750x1216 0.62 0.68
  164 img/mar/1/mar-0164.png 750x1243 0.60 0.15
  165 img/mar/1/mar-0165.png 750x1250 0.60 0.01
  166 img/mar/1/mar-0166.png 750x1255 0.60 -0.08
  167 img/mar/1/mar-0167.png 750x1240 0.60 0.21
  168 img/mar/1/mar-0168.png 750x1258 0.60 -0.14
  169 img/mar/1/mar-0169.png 750x1199 0.63 1.03
  170 img/mar/1/mar-0170.png 750x1238 0.61 0.24
  171 img/mar/1/mar-0171.png 750x1223 0.61 0.54
  172 img/mar/1/mar-0172.png 750x1241 0.60 0.19
  173 img/mar/1/mar-0173.png 750x1266 0.59 -0.29
  174 img/mar/1/mar-0174.png 750x1249 0.60 0.03
  175 img/mar/1/mar-0175.png 750x1261 0.59 -0.20
  176 img/mar/1/mar-0176.png 750x1279 0.59 -0.53
  177 img/mar/1/mar-0177.png 750x1283 0.58 -0.60
  178 img/mar/1/mar-0178.png 750x1247 0.60 0.07
  179 img/mar/1/mar-0179.png 750x1233 0.61 0.34
  180 img/mar/1/mar-0180.png 750x1236 0.61 0.28
  181 img/mar/1/mar-0181.png 750x1236 0.61 0.28
  182 img/mar/1/mar-0182.png 750x1236 0.61 0.28
  183 img/mar/1/mar-0183.png 750x1248 0.60 0.05
  184 img/mar/1/mar-0184.png 750x1224 0.61 0.52
  185 img/mar/1/mar-0185.png 750x1217 0.62 0.66
  186 img/mar/1/mar-0186.png 750x1229 0.61 0.42
  187 img/mar/1/mar-0187.png 750x1253 0.60 -0.05
  188 img/mar/1/mar-0188.png 750x1243 0.60 0.15
  189 img/mar/1/mar-0189.png 750x1245 0.60 0.11
  190 img/mar/1/mar-0190.png 750x1252 0.60 -0.03
  191 img/mar/1/mar-0191.png 750x1223 0.61 0.54
  192 img/mar/1/mar-0192.png 750x1240 0.60 0.21
  193 img/mar/1/mar-0193.png 750x1289 0.58 -0.71
  194 img/mar/1/mar-0194.png 750x1242 0.60 0.17
  195 img/mar/1/mar-0195.png 750x1154 0.65 2.00
  196 img/mar/1/mar-0196.png 750x1224 0.61 0.52
  197 img/mar/1/mar-0197.png 750x1141 0.66 2.30
  198 img/mar/1/mar-0198.png 750x1141 0.66 2.30
  199 img/mar/1/mar-0199.png 750x1251 0.60 -0.01
  200 img/mar/2/mar-0200.png 750x1275 0.59 -0.46
  201 img/mar/2/mar-0201.png 750x1247 0.60 0.07
  202 img/mar/2/mar-0202.png 750x1245 0.60 0.11
  203 img/mar/2/mar-0203.png 750x1229 0.61 0.42
  204 img/mar/2/mar-0204.png 750x1226 0.61 0.48
  205 img/mar/2/mar-0205.png 750x1240 0.60 0.21
  206 img/mar/2/mar-0206.png 750x1262 0.59 -0.22
