mean 0.54747946627566, prms 0.016164319005287, median 0.546716, min 0.386124, max 0.926697, adev 0.0068025540257365, rms 0.0161564166244651
=== Full report: ===
    1 img/ums/0/ums-0001.png 1024x1591 0.64 5.95
    2 img/ums/0/ums-0002.png 1024x2652 0.39 -9.98
    3 img/ums/0/ums-0003.png 1024x1845 0.56 0.47
    4 img/ums/0/ums-0004.png 1024x1729 0.59 2.77
    5 img/ums/0/ums-0005.png 1024x1795 0.57 1.42
    6 img/ums/0/ums-0006.png 1024x1750 0.59 2.33
    7 img/ums/0/ums-0007.png 1024x1859 0.55 0.21
    8 img/ums/0/ums-0008.png 1024x1848 0.55 0.41
    9 img/ums/0/ums-0009.png 1024x1873 0.55 -0.05
   10 img/ums/0/ums-0010.png 1024x1853 0.55 0.32
   11 img/ums/0/ums-0011.png 1024x1105 0.93 23.46
   12 img/ums/0/ums-0012.png 1024x1640 0.62 4.76
   13 img/ums/0/ums-0013.png 1024x1812 0.57 1.09
   14 img/ums/0/ums-0014.png 1024x1819 0.56 0.96
   15 img/ums/0/ums-0015.png 1024x1788 0.57 1.56
   16 img/ums/0/ums-0016.png 1024x1875 0.55 -0.08
   17 img/ums/0/ums-0017.png 1024x1855 0.55 0.28
   18 img/ums/0/ums-0018.png 1024x1728 0.59 2.79
   19 img/ums/0/ums-0019.png 1024x1910 0.54 -0.70
   20 img/ums/0/ums-0020.png 1024x1844 0.56 0.48
   21 img/ums/0/ums-0021.png 1024x1922 0.53 -0.91
   22 img/ums/0/ums-0022.png 1024x1837 0.56 0.62
   23 img/ums/0/ums-0023.png 1024x1856 0.55 0.26
   24 img/ums/0/ums-0024.png 1024x1868 0.55 0.04
   25 img/ums/0/ums-0025.png 1024x1870 0.55 0.01
   26 img/ums/0/ums-0026.png 1024x1848 0.55 0.41
   27 img/ums/0/ums-0027.png 1024x1843 0.56 0.50
   28 img/ums/0/ums-0028.png 1024x1860 0.55 0.19
   29 img/ums/0/ums-0029.png 1024x1920 0.53 -0.88
   30 img/ums/0/ums-0030.png 1024x1761 0.58 2.10
   31 img/ums/0/ums-0031.png 1024x1919 0.53 -0.86
   32 img/ums/0/ums-0032.png 1024x1883 0.54 -0.23
   33 img/ums/0/ums-0033.png 1024x1939 0.53 -1.20
   34 img/ums/0/ums-0034.png 1024x1887 0.54 -0.30
   35 img/ums/0/ums-0035.png 1024x1920 0.53 -0.88
   36 img/ums/0/ums-0036.png 1024x1841 0.56 0.54
   37 img/ums/0/ums-0037.png 1024x1926 0.53 -0.98
   38 img/ums/0/ums-0038.png 1024x1866 0.55 0.08
   39 img/ums/0/ums-0039.png 1024x1878 0.55 -0.14
   40 img/ums/0/ums-0040.png 1024x1918 0.53 -0.84
   41 img/ums/0/ums-0041.png 1024x1881 0.54 -0.19
   42 img/ums/0/ums-0042.png 1024x1877 0.55 -0.12
   43 img/ums/0/ums-0043.png 1024x1872 0.55 -0.03
   44 img/ums/0/ums-0044.png 1024x1863 0.55 0.13
   45 img/ums/0/ums-0045.png 1024x1882 0.54 -0.21
   46 img/ums/0/ums-0046.png 1024x1903 0.54 -0.58
   47 img/ums/0/ums-0047.png 1024x1898 0.54 -0.49
