mean 0.599490483101392, prms 0.0430166281940655, median 0.595238, min 0.362319, max 1.05189, adev 0.0169406504669796, rms 0.0429738468526073
=== Full report: ===
    1 img/uqa/0/uqa-0000.png 750x1399 0.54 -1.47
    2 img/uqa/0/uqa-0001.png 750x1631 0.46 -3.25
    3 img/uqa/0/uqa-0002.png 750x950 0.79 4.42
    4 img/uqa/0/uqa-0003.png 750x713 1.05 10.52
    5 img/uqa/0/uqa-0004.png 750x750 1.00 9.31
    6 img/uqa/0/uqa-0005.png 750x1261 0.59 -0.11
    7 img/uqa/0/uqa-0006.png 750x1277 0.59 -0.28
    8 img/uqa/0/uqa-0007.png 750x1260 0.60 -0.10
    9 img/uqa/0/uqa-0008.png 750x1266 0.59 -0.16
   10 img/uqa/0/uqa-0009.png 750x1243 0.60 0.09
   11 img/uqa/0/uqa-0010.png 750x1266 0.59 -0.16
   12 img/uqa/0/uqa-0011.png 750x1235 0.61 0.18
   13 img/uqa/0/uqa-0012.png 750x1230 0.61 0.24
   14 img/uqa/0/uqa-0013.png 750x1282 0.59 -0.34
   15 img/uqa/0/uqa-0014.png 750x1239 0.61 0.14
   16 img/uqa/0/uqa-0015.png 750x1138 0.66 1.38
   17 img/uqa/0/uqa-0016.png 750x1283 0.58 -0.35
   18 img/uqa/0/uqa-0017.png 750x1274 0.59 -0.25
   19 img/uqa/0/uqa-0018.png 750x1222 0.61 0.33
   20 img/uqa/0/uqa-0019.png 750x1268 0.59 -0.19
   21 img/uqa/0/uqa-0020.png 750x1228 0.61 0.26
   22 img/uqa/0/uqa-0021.png 750x1223 0.61 0.32
   23 img/uqa/0/uqa-0022.png 750x1170 0.64 0.97
   24 img/uqa/0/uqa-0023.png 750x1252 0.60 -0.01
   25 img/uqa/0/uqa-0024.png 750x1233 0.61 0.20
   26 img/uqa/0/uqa-0025.png 750x1297 0.58 -0.49
   27 img/uqa/0/uqa-0026.png 750x1197 0.63 0.63
   28 img/uqa/0/uqa-0027.png 750x1256 0.60 -0.05
   29 img/uqa/0/uqa-0028.png 750x1267 0.59 -0.18
   30 img/uqa/0/uqa-0029.png 750x1253 0.60 -0.02
   31 img/uqa/0/uqa-0030.png 750x1261 0.59 -0.11
   32 img/uqa/0/uqa-0031.png 750x1269 0.59 -0.20
   33 img/uqa/0/uqa-0032.png 750x1254 0.60 -0.03
   34 img/uqa/0/uqa-0033.png 750x1216 0.62 0.40
   35 img/uqa/0/uqa-0034.png 750x1273 0.59 -0.24
   36 img/uqa/0/uqa-0035.png 750x1273 0.59 -0.24
   37 img/uqa/0/uqa-0036.png 750x1277 0.59 -0.28
   38 img/uqa/0/uqa-0037.png 750x1256 0.60 -0.05
   39 img/uqa/0/uqa-0038.png 750x1263 0.59 -0.13
   40 img/uqa/0/uqa-0039.png 750x1210 0.62 0.47
