mean 0.715506148558758, prms 0.0372062773507986, median 0.717131, min 0.315347, max 0.896861, adev 0.0171608608315593, rms 0.0371650058157987
=== Full report: ===
    1 img/uqq/0/uqq-0001.png 1000x1115 0.90 4.87
    2 img/uqq/0/uqq-0002.png 887x1288 0.69 -0.72
    3 img/uqq/0/uqq-0003.png 909x1274 0.71 -0.05
    4 img/uqq/0/uqq-0004.png 881x1247 0.71 -0.24
    5 img/uqq/0/uqq-0005.png 911x1268 0.72 0.08
    6 img/uqq/0/uqq-0006.png 888x1257 0.71 -0.24
    7 img/uqq/0/uqq-0007.png 872x1243 0.70 -0.38
    8 img/uqq/0/uqq-0008.png 878x1283 0.68 -0.84
    9 img/uqq/0/uqq-0009.png 895x1273 0.70 -0.33
   10 img/uqq/0/uqq-0010.png 886x1261 0.70 -0.35
   11 img/uqq/0/uqq-0011.png 900x1268 0.71 -0.15
   12 img/uqq/0/uqq-0012.png 900x1288 0.70 -0.45
   13 img/uqq/0/uqq-0013.png 900x1237 0.73 0.32
   14 img/uqq/0/uqq-0014.png 900x1240 0.73 0.28
   15 img/uqq/0/uqq-0015.png 900x1250 0.72 0.12
   16 img/uqq/0/uqq-0016.png 900x1253 0.72 0.07
   17 img/uqq/0/uqq-0017.png 900x1249 0.72 0.14
   18 img/uqq/0/uqq-0018.png 900x1301 0.69 -0.64
   19 img/uqq/0/uqq-0019.png 900x1240 0.73 0.28
   20 img/uqq/0/uqq-0020.png 900x1258 0.72 -0.00
   21 img/uqq/0/uqq-0021.png 900x1306 0.69 -0.71
   22 img/uqq/0/uqq-0022.png 900x1252 0.72 0.09
   23 img/uqq/0/uqq-0023.png 900x1255 0.72 0.04
   24 img/uqq/0/uqq-0024.png 900x1234 0.73 0.37
   25 img/uqq/0/uqq-0025.png 900x1253 0.72 0.07
   26 img/uqq/0/uqq-0026.png 900x1236 0.73 0.34
   27 img/uqq/0/uqq-0027.png 900x1219 0.74 0.61
   28 img/uqq/0/uqq-0028.png 900x1271 0.71 -0.20
   29 img/uqq/0/uqq-0029.png 900x1253 0.72 0.07
   30 img/uqq/0/uqq-0030.png 900x1275 0.71 -0.26
   31 img/uqq/0/uqq-0031.png 900x1174 0.77 1.37
   32 img/uqq/0/uqq-0032.png 900x1309 0.69 -0.75
   33 img/uqq/0/uqq-0033.png 900x1246 0.72 0.18
   34 img/uqq/0/uqq-0034.png 900x1253 0.72 0.07
   35 img/uqq/0/uqq-0035.png 900x1253 0.72 0.07
   36 img/uqq/0/uqq-0036.png 900x1284 0.70 -0.39
   37 img/uqq/0/uqq-0037.png 900x1254 0.72 0.06
   38 img/uqq/0/uqq-0038.png 900x1250 0.72 0.12
   39 img/uqq/0/uqq-0039.png 900x1251 0.72 0.11
   40 img/uqq/0/uqq-0040.png 900x1228 0.73 0.47
   41 img/uqq/0/uqq-0041.png 900x1257 0.72 0.01
   42 img/uqq/0/uqq-0042.png 900x1154 0.78 1.73
   43 img/uqq/0/uqq-0043.png 900x1202 0.75 0.89
   44 img/uqq/0/uqq-0044.png 900x1239 0.73 0.29
   45 img/uqq/0/uqq-0045.png 900x1251 0.72 0.11
   46 img/uqq/0/uqq-0046.png 900x1274 0.71 -0.24
   47 img/uqq/0/uqq-0047.png 900x1256 0.72 0.03
   48 img/uqq/0/uqq-0048.png 900x1259 0.71 -0.02
   49 img/uqq/0/uqq-0049.png 900x2774 0.32 -10.51
   50 img/uqq/0/uqq-0050.png 900x1209 0.74 0.78
   51 img/uqq/0/uqq-0051.png 900x1220 0.74 0.60
   52 img/uqq/0/uqq-0052.png 900x1250 0.72 0.12
   53 img/uqq/0/uqq-0053.png 900x1251 0.72 0.11
   54 img/uqq/0/uqq-0054.png 900x1292 0.70 -0.51
   55 img/uqq/0/uqq-0055.png 900x1255 0.72 0.04
   56 img/uqq/0/uqq-0056.png 900x1235 0.73 0.36
   57 img/uqq/0/uqq-0057.png 900x1249 0.72 0.14
   58 img/uqq/0/uqq-0058.png 900x1335 0.67 -1.11
   59 img/uqq/0/uqq-0059.png 900x1254 0.72 0.06
   60 img/uqq/0/uqq-0060.png 900x1233 0.73 0.39
   61 img/uqq/0/uqq-0061.png 900x1254 0.72 0.06
   62 img/uqq/0/uqq-0062.png 900x1185 0.76 1.18
   63 img/uqq/0/uqq-0063.png 900x1278 0.70 -0.30
   64 img/uqq/0/uqq-0064.png 900x1258 0.72 -0.00
   65 img/uqq/0/uqq-0065.png 900x1253 0.72 0.07
   66 img/uqq/0/uqq-0066.png 900x1189 0.76 1.11
   67 img/uqq/0/uqq-0067.png 900x1300 0.69 -0.62
   68 img/uqq/0/uqq-0068.png 900x1237 0.73 0.32
   69 img/uqq/0/uqq-0069.png 900x1243 0.72 0.23
   70 img/uqq/0/uqq-0070.png 900x1247 0.72 0.17
   71 img/uqq/0/uqq-0071.png 900x1250 0.72 0.12
   72 img/uqq/0/uqq-0072.png 900x1252 0.72 0.09
   73 img/uqq/0/uqq-0073.png 900x1226 0.73 0.50
   74 img/uqq/0/uqq-0074.png 900x1249 0.72 0.14
