mean 0.609240851911689, prms 0.142209730166278, median 0.60778, min 0.310816, max 4.57317, adev 0.033379691366757, rms 0.142171434829602
=== Full report: ===
    1 ulq-0001.png 750x1336 0.56 -0.34
    2 ulq-0002.png 750x1048 0.72 0.75
    3 ulq-0003.png 750x1202 0.62 0.10
    4 ulq-0004.png 750x1174 0.64 0.21
    5 ulq-0005.png 750x1131 0.66 0.38
    6 ulq-0006.png 750x1178 0.64 0.19
    7 ulq-0007.png 750x752 1.00 2.73
    8 ulq-0008.png 750x1429 0.52 -0.59
    9 ulq-0009.png 750x1210 0.62 0.07
   10 ulq-0010.png 750x1287 0.58 -0.19
   11 ulq-0011.png 750x1362 0.55 -0.41
   12 ulq-0012.png 750x1161 0.65 0.26
   13 ulq-0013.png 750x1028 0.73 0.85
   14 ulq-0014.png 750x1172 0.64 0.22
   15 ulq-0015.png 750x1120 0.67 0.42
   16 ulq-0016.png 750x1183 0.63 0.17
   17 ulq-0017.png 750x1117 0.67 0.44
   18 ulq-0018.png 750x1121 0.67 0.42
   19 ulq-0019.png 750x1183 0.63 0.17
   20 ulq-0020.png 750x1193 0.63 0.14
   21 ulq-0021.png 750x1186 0.63 0.16
   22 ulq-0022.png 750x1093 0.69 0.54
   23 ulq-0023.png 750x1117 0.67 0.44
   24 ulq-0024.png 750x1238 0.61 -0.02
   25 ulq-0025.png 750x1280 0.59 -0.16
   26 ulq-0026.png 750x1250 0.60 -0.06
   27 ulq-0027.png 750x1174 0.64 0.21
   28 ulq-0028.png 750x1214 0.62 0.06
   29 ulq-0029.png 750x1320 0.57 -0.29
   30 ulq-0030.png 750x1218 0.62 0.05
   31 ulq-0031.png 750x1200 0.62 0.11
   32 ulq-0032.png 750x1219 0.62 0.04
   33 ulq-0033.png 750x1219 0.62 0.04
   34 ulq-0034.png 750x1245 0.60 -0.05
   35 ulq-0035.png 750x456 1.64 7.28
   36 ulq-0036.png 750x466 1.61 7.03
   37 ulq-0037.png 750x453 1.66 7.36
   38 ulq-0038.png 750x455 1.65 7.31
   39 ulq-0039.png 750x451 1.66 7.41
   40 ulq-0040.png 750x1200 0.62 0.11
   41 ulq-0041.png 750x1169 0.64 0.23
   42 ulq-0042.png 750x1183 0.63 0.17
   43 ulq-0043.png 750x1054 0.71 0.72
   44 ulq-0044.png 750x1122 0.67 0.42
   45 ulq-0045.png 750x975 0.77 1.13
   46 ulq-0046.png 750x1216 0.62 0.05
   47 ulq-0047.png 750x1115 0.67 0.45
   48 ulq-0048.png 750x1526 0.49 -0.83
   49 ulq-0049.png 750x1791 0.42 -1.34
   50 ulq-0050.png 750x1236 0.61 -0.02
   51 ulq-0051.png 750x1126 0.67 0.40
   52 ulq-0052.png 750x874 0.86 1.75
   53 ulq-0053.png 750x932 0.80 1.37
   54 ulq-0054.png 750x1221 0.61 0.04
   55 ulq-0055.png 750x1197 0.63 0.12
   56 ulq-0056.png 750x1232 0.61 -0.00
   57 ulq-0057.png 750x1171 0.64 0.22
   58 ulq-0058.png 750x1198 0.63 0.12
   59 ulq-0059.png 750x1207 0.62 0.09
   60 ulq-0060.png 750x1183 0.63 0.17
   61 ulq-0061.png 750x1120 0.67 0.42
   62 ulq-0062.png 750x1193 0.63 0.14
   63 ulq-0063.png 750x798 0.94 2.32
   64 ulq-0064.png 750x1208 0.62 0.08
   65 ulq-0065.png 750x1016 0.74 0.91
   66 ulq-0066.png 750x953 0.79 1.25
   67 ulq-0067.png 750x1206 0.62 0.09
   68 ulq-0068.png 750x1216 0.62 0.05
   69 ulq-0069.png 750x1205 0.62 0.09
   70 ulq-0070.png 750x461 1.63 7.16
   71 ulq-0071.png 750x554 1.35 5.24
   72 ulq-0072.png 750x1191 0.63 0.14
   73 ulq-0073.png 750x1199 0.63 0.11
   74 ulq-0074.png 750x1147 0.65 0.31
   75 ulq-0075.png 750x1232 0.61 -0.00
   76 ulq-0076.png 750x1217 0.62 0.05
   77 ulq-0077.png 750x1220 0.61 0.04
   78 ulq-0078.png 750x1222 0.61 0.03
   79 ulq-0079.png 750x1245 0.60 -0.05
   80 ulq-0080.png 750x1240 0.60 -0.03
   81 ulq-0081.png 750x1235 0.61 -0.01
   82 ulq-0082.png 750x1234 0.61 -0.01
   83 ulq-0083.png 750x1233 0.61 -0.01
   84 ulq-0084.png 750x1227 0.61 0.01
   85 ulq-0085.png 750x1185 0.63 0.17
   86 ulq-0086.png 750x1214 0.62 0.06
   87 ulq-0087.png 750x1245 0.60 -0.05
   88 ulq-0088.png 750x1227 0.61 0.01
   89 ulq-0089.png 750x1251 0.60 -0.07
   90 ulq-0090.png 750x1260 0.60 -0.10
   91 ulq-0091.png 750x1242 0.60 -0.04
   92 ulq-0092.png 750x1219 0.62 0.04
   93 ulq-0093.png 750x1249 0.60 -0.06
   94 ulq-0094.png 750x1235 0.61 -0.01
   95 ulq-0095.png 750x1225 0.61 0.02
   96 ulq-0096.png 750x1230 0.61 0.00
   97 ulq-0097.png 750x1266 0.59 -0.12
   98 ulq-0098.png 750x1236 0.61 -0.02
   99 ulq-0099.png 750x1186 0.63 0.16
  100 ulq-1000.png 750x1229 0.61 0.01
  101 ulq-1001.png 750x1250 0.60 -0.06
  102 ulq-1002.png 750x1163 0.64 0.25
  103 ulq-1003.png 750x1257 0.60 -0.09
  104 ulq-1004.png 750x1268 0.59 -0.12
  105 ulq-1005.png 750x1297 0.58 -0.22
  106 ulq-1006.png 750x1254 0.60 -0.08
  107 ulq-1007.png 750x1232 0.61 -0.00
  108 ulq-1008.png 750x1279 0.59 -0.16
  109 ulq-1009.png 750x1232 0.61 -0.00
  110 ulq-1010.png 750x1273 0.59 -0.14
  111 ulq-1011.png 750x1239 0.61 -0.03
  112 ulq-1012.png 750x1239 0.61 -0.03
  113 ulq-1013.png 750x1311 0.57 -0.26
  114 ulq-1014.png 750x1200 0.62 0.11
  115 ulq-1015.png 750x1302 0.58 -0.23
  116 ulq-1016.png 750x1234 0.61 -0.01
  117 ulq-1017.png 750x1224 0.61 0.02
  118 ulq-1018.png 750x1248 0.60 -0.06
  119 ulq-1019.png 750x1243 0.60 -0.04
  120 ulq-1020.png 750x1296 0.58 -0.21
  121 ulq-1021.png 750x1241 0.60 -0.03
  122 ulq-1022.png 750x1164 0.64 0.25
  123 ulq-1023.png 750x1226 0.61 0.02
  124 ulq-1024.png 750x1174 0.64 0.21
  125 ulq-1025.png 750x1221 0.61 0.04
  126 ulq-1026.png 750x1241 0.60 -0.03
  127 ulq-1027.png 750x1229 0.61 0.01
  128 ulq-1028.png 750x1255 0.60 -0.08
  129 ulq-1029.png 750x1271 0.59 -0.13
  130 ulq-1030.png 750x1234 0.61 -0.01
  131 ulq-1031.png 750x1257 0.60 -0.09
  132 ulq-1032.png 750x1279 0.59 -0.16
  133 ulq-1033.png 750x1242 0.60 -0.04
  134 ulq-1034.png 750x1254 0.60 -0.08
  135 ulq-1035.png 750x1235 0.61 -0.01
  136 ulq-1036.png 750x1252 0.60 -0.07
  137 ulq-1037.png 750x1254 0.60 -0.08
  138 ulq-1038.png 750x1230 0.61 0.00
  139 ulq-1039.png 750x1245 0.60 -0.05
  140 ulq-1040.png 750x1238 0.61 -0.02
  141 ulq-1041.png 750x1254 0.60 -0.08
  142 ulq-1042.png 750x1247 0.60 -0.05
  143 ulq-1043.png 750x1234 0.61 -0.01
  144 ulq-1044.png 750x1243 0.60 -0.04
  145 ulq-1045.png 750x1247 0.60 -0.05
  146 ulq-1046.png 750x1264 0.59 -0.11
  147 ulq-1047.png 750x1278 0.59 -0.16
  148 ulq-1048.png 750x1260 0.60 -0.10
  149 ulq-1049.png 750x1247 0.60 -0.05
  150 ulq-1050.png 750x1285 0.58 -0.18
  151 ulq-1051.png 750x1262 0.59 -0.11
  152 ulq-1052.png 750x1249 0.60 -0.06
  153 ulq-1053.png 750x1231 0.61 0.00
  154 ulq-1054.png 750x1100 0.68 0.51
  155 ulq-1055.png 750x1192 0.63 0.14
  156 ulq-1056.png 750x1233 0.61 -0.01
  157 ulq-1057.png 750x1244 0.60 -0.04
  158 ulq-1058.png 750x1218 0.62 0.05
  159 ulq-1059.png 750x1227 0.61 0.01
  160 ulq-1060.png 750x1244 0.60 -0.04
  161 ulq-1061.png 750x1223 0.61 0.03
  162 ulq-1062.png 750x1256 0.60 -0.09
  163 ulq-1063.png 750x1236 0.61 -0.02
  164 ulq-1064.png 750x1182 0.63 0.18
  165 ulq-1065.png 750x1238 0.61 -0.02
  166 ulq-1066.png 750x1217 0.62 0.05
  167 ulq-1067.png 750x1223 0.61 0.03
  168 ulq-1068.png 750x1241 0.60 -0.03
  169 ulq-1069.png 750x1225 0.61 0.02
  170 ulq-1070.png 750x1198 0.63 0.12
  171 ulq-1071.png 750x1249 0.60 -0.06
  172 ulq-1072.png 750x1240 0.60 -0.03
  173 ulq-1073.png 750x1238 0.61 -0.02
  174 ulq-1074.png 750x1254 0.60 -0.08
  175 ulq-1075.png 750x1227 0.61 0.01
  176 ulq-1076.png 750x1238 0.61 -0.02
  177 ulq-1077.png 750x1236 0.61 -0.02
  178 ulq-1078.png 750x1242 0.60 -0.04
  179 ulq-1079.png 750x1269 0.59 -0.13
  180 ulq-1080.png 750x1212 0.62 0.07
  181 ulq-1081.png 750x1269 0.59 -0.13
  182 ulq-1082.png 750x1240 0.60 -0.03
  183 ulq-1083.png 750x1227 0.61 0.01
  184 ulq-1084.png 750x1255 0.60 -0.08
  185 ulq-1085.png 750x1239 0.61 -0.03
  186 ulq-1086.png 750x1234 0.61 -0.01
  187 ulq-1087.png 750x1237 0.61 -0.02
  188 ulq-1088.png 750x1254 0.60 -0.08
  189 ulq-1089.png 750x1228 0.61 0.01
  190 ulq-1090.png 750x1232 0.61 -0.00
  191 ulq-1091.png 750x1228 0.61 0.01
  192 ulq-1092.png 750x1240 0.60 -0.03
  193 ulq-1093.png 750x1235 0.61 -0.01
  194 ulq-1094.png 750x1251 0.60 -0.07
  195 ulq-1095.png 750x1295 0.58 -0.21
  196 ulq-1096.png 750x1228 0.61 0.01
  197 ulq-1097.png 750x1279 0.59 -0.16
  198 ulq-1098.png 750x1251 0.60 -0.07
  199 ulq-1099.png 750x1235 0.61 -0.01
  200 ulq-1100.png 750x1266 0.59 -0.12
  201 ulq-1101.png 750x1241 0.60 -0.03
  202 ulq-1102.png 750x1258 0.60 -0.09
  203 ulq-1103.png 750x1249 0.60 -0.06
  204 ulq-1104.png 750x1235 0.61 -0.01
  205 ulq-1105.png 750x1251 0.60 -0.07
  206 ulq-1106.png 750x1232 0.61 -0.00
  207 ulq-1107.png 750x1227 0.61 0.01
  208 ulq-1108.png 750x1169 0.64 0.23
  209 ulq-1109.png 750x1231 0.61 0.00
  210 ulq-1110.png 750x1232 0.61 -0.00
  211 ulq-1111.png 750x1243 0.60 -0.04
  212 ulq-1112.png 750x1244 0.60 -0.04
  213 ulq-1113.png 750x1266 0.59 -0.12
  214 ulq-1114.png 750x1222 0.61 0.03
  215 ulq-1115.png 750x1227 0.61 0.01
  216 ulq-1116.png 750x1055 0.71 0.71
  217 ulq-1117.png 750x1220 0.61 0.04
  218 ulq-1118.png 750x1231 0.61 0.00
  219 ulq-1119.png 750x1189 0.63 0.15
  220 ulq-1120.png 750x1238 0.61 -0.02
  221 ulq-1121.png 750x1223 0.61 0.03
  222 ulq-1122.png 750x1238 0.61 -0.02
  223 ulq-1123.png 750x1193 0.63 0.14
  224 ulq-1124.png 750x1256 0.60 -0.09
  225 ulq-1125.png 750x1210 0.62 0.07
  226 ulq-1126.png 750x1261 0.59 -0.10
  227 ulq-1127.png 750x1221 0.61 0.04
  228 ulq-1128.png 750x1196 0.63 0.13
  229 ulq-1129.png 750x1234 0.61 -0.01
  230 ulq-1130.png 750x1185 0.63 0.17
  231 ulq-1131.png 750x1238 0.61 -0.02
  232 ulq-1132.png 750x1137 0.66 0.35
  233 ulq-1133.png 750x1221 0.61 0.04
  234 ulq-1134.png 750x1257 0.60 -0.09
  235 ulq-1135.png 750x1211 0.62 0.07
  236 ulq-1136.png 750x1218 0.62 0.05
  237 ulq-1137.png 750x1238 0.61 -0.02
  238 ulq-1138.png 750x1240 0.60 -0.03
  239 ulq-1139.png 750x1235 0.61 -0.01
  240 ulq-1140.png 750x1251 0.60 -0.07
  241 ulq-1141.png 750x1237 0.61 -0.02
  242 ulq-1142.png 750x1233 0.61 -0.01
  243 ulq-1143.png 750x1228 0.61 0.01
  244 ulq-1144.png 750x1235 0.61 -0.01
  245 ulq-1145.png 750x1277 0.59 -0.15
  246 ulq-1146.png 750x1227 0.61 0.01
  247 ulq-1147.png 750x1237 0.61 -0.02
  248 ulq-1148.png 750x1223 0.61 0.03
  249 ulq-1149.png 750x1245 0.60 -0.05
  250 ulq-1150.png 750x1230 0.61 0.00
  251 ulq-1151.png 750x1199 0.63 0.11
  252 ulq-1152.png 750x1231 0.61 0.00
  253 ulq-1153.png 750x1253 0.60 -0.08
  254 ulq-1154.png 750x1241 0.60 -0.03
  255 ulq-1155.png 750x1241 0.60 -0.03
  256 ulq-1156.png 750x1227 0.61 0.01
  257 ulq-1157.png 750x1210 0.62 0.07
  258 ulq-1158.png 750x1222 0.61 0.03
  259 ulq-1159.png 750x1233 0.61 -0.01
  260 ulq-1160.png 750x1234 0.61 -0.01
  261 ulq-1161.png 750x1239 0.61 -0.03
  262 ulq-1162.png 750x1228 0.61 0.01
  263 ulq-1163.png 750x1100 0.68 0.51
  264 ulq-1164.png 750x1269 0.59 -0.13
  265 ulq-1165.png 750x1241 0.60 -0.03
  266 ulq-1166.png 750x1238 0.61 -0.02
