mean 0.714976929990536, prms 0.125682770559063, median 0.697269, min 0.372093, max 2.44898, adev 0.0374006432191907, rms 0.125623303902998
=== Full report: ===
    1 umj-0001.png 1200x1520 0.79 0.59
    2 umj-0002.png 1200x2148 0.56 -1.24
    3 umj-0003.png 1200x1200 1.00 2.27
    4 umj-0004.png 1200x1741 0.69 -0.20
    5 umj-0005.png 1200x2116 0.57 -1.18
    6 umj-0006.png 1200x1709 0.70 -0.10
    7 umj-0007.png 1200x1688 0.71 -0.03
    8 umj-0008.png 1200x1677 0.72 0.00
    9 umj-0009.png 1200x643 1.87 9.16
   10 umj-0010.png 1200x1324 0.91 1.52
   11 umj-0011.png 1200x1108 1.08 2.93
   12 umj-0012.png 1200x1682 0.71 -0.01
   13 umj-0013.png 1200x1686 0.71 -0.03
   14 umj-0014.png 1200x1689 0.71 -0.04
   15 umj-0015.png 1200x1697 0.71 -0.06
   16 umj-0016.png 1200x1695 0.71 -0.06
   17 umj-0017.png 1200x1701 0.71 -0.08
   18 umj-0018.png 1200x1662 0.72 0.06
   19 umj-0019.png 1200x1695 0.71 -0.06
   20 umj-0020.png 1200x1682 0.71 -0.01
   21 umj-0021.png 1200x1704 0.70 -0.09
   22 umj-0022.png 1200x1667 0.72 0.04
   23 umj-0023.png 1200x1691 0.71 -0.04
   24 umj-0024.png 1200x1689 0.71 -0.04
   25 umj-0025.png 1200x1697 0.71 -0.06
   26 umj-0026.png 1200x1686 0.71 -0.03
   27 umj-0027.png 1200x1692 0.71 -0.05
   28 umj-0028.png 1200x1756 0.68 -0.25
   29 umj-0029.png 1200x1700 0.71 -0.07
   30 umj-0030.png 1200x1713 0.70 -0.11
   31 umj-0031.png 1200x1676 0.72 0.01
   32 umj-0032.png 1200x1693 0.71 -0.05
   33 umj-0033.png 1200x1371 0.88 1.28
   34 umj-0034.png 1200x1578 0.76 0.36
   35 umj-0035.png 1200x1724 0.70 -0.15
   36 umj-0036.png 1200x1751 0.69 -0.24
   37 umj-0037.png 1200x1733 0.69 -0.18
   38 umj-0038.png 1200x1737 0.69 -0.19
   39 umj-0039.png 1200x1737 0.69 -0.19
   40 umj-0040.png 1200x1730 0.69 -0.17
   41 umj-0041.png 1200x1731 0.69 -0.17
   42 umj-0042.png 1200x1729 0.69 -0.17
   43 umj-0043.png 1200x1732 0.69 -0.18
   44 umj-0044.png 1200x1733 0.69 -0.18
   45 umj-0045.png 1200x1722 0.70 -0.14
   46 umj-0046.png 1200x1730 0.69 -0.17
   47 umj-0047.png 1200x1716 0.70 -0.12
   48 umj-0048.png 1200x1732 0.69 -0.18
   49 umj-0049.png 1200x1740 0.69 -0.20
   50 umj-0050.png 1200x1730 0.69 -0.17
   51 umj-0051.png 1200x1730 0.69 -0.17
   52 umj-0052.png 1200x1736 0.69 -0.19
   53 umj-0053.png 1200x1736 0.69 -0.19
   54 umj-0054.png 1200x1736 0.69 -0.19
   55 umj-0055.png 1200x1676 0.72 0.01
   56 umj-0056.png 1200x701 1.71 7.93
   57 umj-0057.png 1200x1545 0.78 0.49
   58 umj-0058.png 1200x1736 0.69 -0.19
   59 umj-0059.png 1200x1722 0.70 -0.14
   60 umj-0060.png 1200x1720 0.70 -0.14
   61 umj-0061.png 1200x1658 0.72 0.07
   62 umj-0062.png 1200x1715 0.70 -0.12
   63 umj-0063.png 1200x1703 0.70 -0.08
   64 umj-0064.png 1200x1726 0.70 -0.16
   65 umj-0065.png 1200x1740 0.69 -0.20
   66 umj-0066.png 1200x1736 0.69 -0.19
   67 umj-0067.png 1200x1724 0.70 -0.15
   68 umj-0068.png 1200x1694 0.71 -0.05
   69 umj-0069.png 1200x1708 0.70 -0.10
   70 umj-0070.png 1200x1713 0.70 -0.11
   71 umj-0071.png 1200x1714 0.70 -0.12
   72 umj-0072.png 1200x1715 0.70 -0.12
   73 umj-0073.png 1200x1732 0.69 -0.18
   74 umj-0074.png 1200x1739 0.69 -0.20
   75 umj-0075.png 1200x1711 0.70 -0.11
   76 umj-0076.png 1200x1723 0.70 -0.15
   77 umj-0077.png 1200x1726 0.70 -0.16
   78 umj-0078.png 1200x1736 0.69 -0.19
   79 umj-0079.png 1200x1723 0.70 -0.15
   80 umj-0080.png 1200x1739 0.69 -0.20
   81 umj-0081.png 1200x1734 0.69 -0.18
   82 umj-0082.png 1200x1733 0.69 -0.18
   83 umj-0083.png 1200x1711 0.70 -0.11
   84 umj-0084.png 1200x1731 0.69 -0.17
   85 umj-0085.png 1200x1719 0.70 -0.13
   86 umj-0086.png 1200x1744 0.69 -0.21
   87 umj-0087.png 1200x1732 0.69 -0.18
   88 umj-0088.png 1200x1727 0.69 -0.16
   89 umj-0089.png 1200x1732 0.69 -0.18
   90 umj-0090.png 1200x801 1.50 6.23
