mean 0.718092999999985, prms 1.47720615698702e-14, median 0.718093, min 0.718093, max 0.718093, adev 1.47659662275146e-14, rms 1.47659662275146e-14
=== Full report: ===
    1 umr-0001.png 1024x1426 0.72 1.00
    2 umr-0002.png 1024x1426 0.72 1.00
    3 umr-0003.png 1024x1426 0.72 1.00
    4 umr-0004.png 1024x1426 0.72 1.00
    5 umr-0005.png 1024x1426 0.72 1.00
    6 umr-0006.png 1024x1426 0.72 1.00
    7 umr-0007.png 1024x1426 0.72 1.00
    8 umr-0008.png 1024x1426 0.72 1.00
    9 umr-0009.png 1024x1426 0.72 1.00
   10 umr-0010.png 1024x1426 0.72 1.00
   11 umr-0011.png 1024x1426 0.72 1.00
   12 umr-0012.png 1024x1426 0.72 1.00
   13 umr-0013.png 1024x1426 0.72 1.00
   14 umr-0014.png 1024x1426 0.72 1.00
   15 umr-0015.png 1024x1426 0.72 1.00
   16 umr-0016.png 1024x1426 0.72 1.00
   17 umr-0017.png 1024x1426 0.72 1.00
   18 umr-0018.png 1024x1426 0.72 1.00
   19 umr-0019.png 1024x1426 0.72 1.00
   20 umr-0020.png 1024x1426 0.72 1.00
   21 umr-0021.png 1024x1426 0.72 1.00
   22 umr-0022.png 1024x1426 0.72 1.00
   23 umr-0023.png 1024x1426 0.72 1.00
   24 umr-0024.png 1024x1426 0.72 1.00
   25 umr-0025.png 1024x1426 0.72 1.00
   26 umr-0026.png 1024x1426 0.72 1.00
   27 umr-0027.png 1024x1426 0.72 1.00
   28 umr-0028.png 1024x1426 0.72 1.00
   29 umr-0029.png 1024x1426 0.72 1.00
   30 umr-0030.png 1024x1426 0.72 1.00
   31 umr-0031.png 1024x1426 0.72 1.00
   32 umr-0032.png 1024x1426 0.72 1.00
   33 umr-0033.png 1024x1426 0.72 1.00
   34 umr-0034.png 1024x1426 0.72 1.00
   35 umr-0035.png 1024x1426 0.72 1.00
   36 umr-0036.png 1024x1426 0.72 1.00
   37 umr-0037.png 1024x1426 0.72 1.00
   38 umr-0038.png 1024x1426 0.72 1.00
   39 umr-0039.png 1024x1426 0.72 1.00
   40 umr-0040.png 1024x1426 0.72 1.00
   41 umr-0041.png 1024x1426 0.72 1.00
   42 umr-0042.png 1024x1426 0.72 1.00
   43 umr-0043.png 1024x1426 0.72 1.00
   44 umr-0044.png 1024x1426 0.72 1.00
   45 umr-0045.png 1024x1426 0.72 1.00
   46 umr-0046.png 1024x1426 0.72 1.00
   47 umr-0047.png 1024x1426 0.72 1.00
   48 umr-0048.png 1024x1426 0.72 1.00
   49 umr-0049.png 1024x1426 0.72 1.00
   50 umr-0050.png 1024x1426 0.72 1.00
   51 umr-0051.png 1024x1426 0.72 1.00
   52 umr-0052.png 1024x1426 0.72 1.00
   53 umr-0053.png 1024x1426 0.72 1.00
   54 umr-0054.png 1024x1426 0.72 1.00
   55 umr-0055.png 1024x1426 0.72 1.00
   56 umr-0056.png 1024x1426 0.72 1.00
   57 umr-0057.png 1024x1426 0.72 1.00
   58 umr-0058.png 1024x1426 0.72 1.00
   59 umr-0059.png 1024x1426 0.72 1.00
   60 umr-0060.png 1024x1426 0.72 1.00
   61 umr-0061.png 1024x1426 0.72 1.00
   62 umr-0062.png 1024x1426 0.72 1.00
   63 umr-0063.png 1024x1426 0.72 1.00
   64 umr-0064.png 1024x1426 0.72 1.00
   65 umr-0065.png 1024x1426 0.72 1.00
   66 umr-0066.png 1024x1426 0.72 1.00
   67 umr-0067.png 1024x1426 0.72 1.00
   68 umr-0068.png 1024x1426 0.72 1.00
   69 umr-0069.png 1024x1426 0.72 1.00
   70 umr-0070.png 1024x1426 0.72 1.00
   71 umr-0071.png 1024x1426 0.72 1.00
   72 umr-0072.png 1024x1426 0.72 1.00
   73 umr-0073.png 1024x1426 0.72 1.00
   74 umr-0074.png 1024x1426 0.72 1.00
   75 umr-0075.png 1024x1426 0.72 1.00
   76 umr-0076.png 1024x1426 0.72 1.00
   77 umr-0077.png 1024x1426 0.72 1.00
   78 umr-0078.png 1024x1426 0.72 1.00
   79 umr-0079.png 1024x1426 0.72 1.00
   80 umr-0080.png 1024x1426 0.72 1.00
   81 umr-0081.png 1024x1426 0.72 1.00
   82 umr-0082.png 1024x1426 0.72 1.00
   83 umr-0083.png 1024x1426 0.72 1.00
   84 umr-0084.png 1024x1426 0.72 1.00
   85 umr-0085.png 1024x1426 0.72 1.00
   86 umr-0086.png 1024x1426 0.72 1.00
   87 umr-0087.png 1024x1426 0.72 1.00
   88 umr-0088.png 1024x1426 0.72 1.00
   89 umr-0089.png 1024x1426 0.72 1.00
   90 umr-0090.png 1024x1426 0.72 1.00
   91 umr-0091.png 1024x1426 0.72 1.00
   92 umr-0092.png 1024x1426 0.72 1.00
   93 umr-0093.png 1024x1426 0.72 1.00
   94 umr-0094.png 1024x1426 0.72 1.00
   95 umr-0095.png 1024x1426 0.72 1.00
   96 umr-0096.png 1024x1426 0.72 1.00
   97 umr-0097.png 1024x1426 0.72 1.00
   98 umr-0098.png 1024x1426 0.72 1.00
   99 umr-0099.png 1024x1426 0.72 1.00
  100 umr-1000.png 1024x1426 0.72 1.00
  101 umr-1001.png 1024x1426 0.72 1.00
  102 umr-1002.png 1024x1426 0.72 1.00
  103 umr-1003.png 1024x1426 0.72 1.00
  104 umr-1004.png 1024x1426 0.72 1.00
  105 umr-1005.png 1024x1426 0.72 1.00
  106 umr-1006.png 1024x1426 0.72 1.00
  107 umr-1007.png 1024x1426 0.72 1.00
  108 umr-1008.png 1024x1426 0.72 1.00
  109 umr-1009.png 1024x1426 0.72 1.00
  110 umr-1010.png 1024x1426 0.72 1.00
  111 umr-1011.png 1024x1426 0.72 1.00
  112 umr-1012.png 1024x1426 0.72 1.00
  113 umr-1013.png 1024x1426 0.72 1.00
  114 umr-1014.png 1024x1426 0.72 1.00
  115 umr-1015.png 1024x1426 0.72 1.00
  116 umr-1016.png 1024x1426 0.72 1.00
  117 umr-1017.png 1024x1426 0.72 1.00
  118 umr-1018.png 1024x1426 0.72 1.00
  119 umr-1019.png 1024x1426 0.72 1.00
  120 umr-1020.png 1024x1426 0.72 1.00
  121 umr-1021.png 1024x1426 0.72 1.00
  122 umr-1022.png 1024x1426 0.72 1.00
  123 umr-1023.png 1024x1426 0.72 1.00
  124 umr-1024.png 1024x1426 0.72 1.00
  125 umr-1025.png 1024x1426 0.72 1.00
  126 umr-1026.png 1024x1426 0.72 1.00
  127 umr-1027.png 1024x1426 0.72 1.00
  128 umr-1028.png 1024x1426 0.72 1.00
  129 umr-1029.png 1024x1426 0.72 1.00
  130 umr-1030.png 1024x1426 0.72 1.00
  131 umr-1031.png 1024x1426 0.72 1.00
  132 umr-1032.png 1024x1426 0.72 1.00
  133 umr-1033.png 1024x1426 0.72 1.00
  134 umr-1034.png 1024x1426 0.72 1.00
  135 umr-1035.png 1024x1426 0.72 1.00
  136 umr-1036.png 1024x1426 0.72 1.00
  137 umr-1037.png 1024x1426 0.72 1.00
