mean 0.569665346718904, prms 0.201350044606147, median 0.545049, min 0.399173, max 3.60237, adev 0.0474272815113768, rms 0.201251416118913
=== Full report: ===
    1 ums-0001.png 1347x2371 0.57 -0.01
    2 ums-0002.png 869x2177 0.40 -0.85
    3 ums-0003.png 1260x2167 0.58 0.06
    4 ums-0004.png 1233x2299 0.54 -0.17
    5 ums-0005.png 1230x1706 0.72 0.75
    6 ums-0006.png 1230x2104 0.58 0.07
    7 ums-0007.png 1219x2258 0.54 -0.15
    8 ums-0008.png 1230x2247 0.55 -0.11
    9 ums-0009.png 1230x2254 0.55 -0.12
   10 ums-0010.png 1223x2243 0.55 -0.12
   11 ums-0011.png 1233x1326 0.93 1.79
   12 ums-0012.png 1223x1999 0.61 0.21
   13 ums-0013.png 1214x1026 1.18 3.05
   14 ums-0014.png 1230x2194 0.56 -0.04
   15 ums-0015.png 1223x2239 0.55 -0.12
   16 ums-0016.png 1230x2250 0.55 -0.11
   17 ums-0017.png 1233x2254 0.55 -0.11
   18 ums-0018.png 1245x2239 0.56 -0.07
   19 ums-0019.png 1242x2251 0.55 -0.09
   20 ums-0020.png 1225x2238 0.55 -0.11
   21 ums-0021.png 1218x2265 0.54 -0.16
   22 ums-0022.png 1215x2254 0.54 -0.15
   23 ums-0023.png 1223x2269 0.54 -0.15
   24 ums-0024.png 1222x2258 0.54 -0.14
   25 ums-0025.png 1234x2280 0.54 -0.14
   26 ums-0026.png 1206x2191 0.55 -0.10
   27 ums-0027.png 1222x2273 0.54 -0.16
   28 ums-0028.png 1218x2198 0.55 -0.08
   29 ums-0029.png 1218x2269 0.54 -0.16
   30 ums-0030.png 1230x2251 0.55 -0.12
   31 ums-0031.png 1222x2242 0.55 -0.12
   32 ums-0032.png 1208x2262 0.53 -0.18
   33 ums-0033.png 1219x2250 0.54 -0.14
   34 ums-0034.png 1215x2251 0.54 -0.15
   35 ums-0035.png 1223x2239 0.55 -0.12
   36 ums-0036.png 1229x2261 0.54 -0.13
   37 ums-0037.png 1223x2269 0.54 -0.15
   38 ums-0038.png 1219x2243 0.54 -0.13
   39 ums-0039.png 1218x2253 0.54 -0.14
   40 ums-0040.png 1208x2251 0.54 -0.16
   41 ums-0041.png 1222x2257 0.54 -0.14
   42 ums-0042.png 1199x2198 0.55 -0.12
   43 ums-0043.png 1215x2250 0.54 -0.15
   44 ums-0044.png 1214x2249 0.54 -0.15
   45 ums-0045.png 1260x2258 0.56 -0.06
   46 ums-0046.png 1181x2213 0.53 -0.18
   47 ums-0047.png 1244x2272 0.55 -0.11
   48 ums-0048.png 1226x2250 0.54 -0.12
   49 ums-0049.png 1218x2254 0.54 -0.15
   50 ums-0050.png 1208x2251 0.54 -0.16
   51 ums-0051.png 1215x2266 0.54 -0.17
   52 ums-0052.png 1210x2276 0.53 -0.19
   53 ums-0053.png 1219x2258 0.54 -0.15
   54 ums-0054.png 1230x2258 0.54 -0.12
   55 ums-0055.png 1214x2249 0.54 -0.15
   56 ums-0056.png 1219x2247 0.54 -0.13
   57 ums-0057.png 1245x2250 0.55 -0.08
   58 ums-0058.png 1249x2254 0.55 -0.08
   59 ums-0059.png 1223x2247 0.54 -0.13
   60 ums-0060.png 1226x2250 0.54 -0.12
   61 ums-0061.png 1249x2254 0.55 -0.08
   62 ums-0062.png 1215x2251 0.54 -0.15
   63 ums-0063.png 1214x2261 0.54 -0.16
   64 ums-0064.png 1211x1086 1.12 2.71
   65 ums-0065.png 1196x2213 0.54 -0.15
   66 ums-0066.png 1226x2242 0.55 -0.11
   67 ums-0067.png 1226x2254 0.54 -0.13
   68 ums-0068.png 1233x2261 0.55 -0.12
   69 ums-0069.png 1226x2254 0.54 -0.13
   70 ums-0070.png 1245x2254 0.55 -0.09
   71 ums-0071.png 1215x2243 0.54 -0.14
   72 ums-0072.png 1230x2246 0.55 -0.11
   73 ums-0073.png 1223x2273 0.54 -0.16
   74 ums-0074.png 1230x2258 0.54 -0.12
   75 ums-0075.png 1223x2254 0.54 -0.13
   76 ums-0076.png 1210x2198 0.55 -0.10
   77 ums-0077.png 1226x2265 0.54 -0.14
   78 ums-0078.png 1218x2254 0.54 -0.15
   79 ums-0079.png 1237x2268 0.55 -0.12
   80 ums-0080.png 1223x2269 0.54 -0.15
   81 ums-0081.png 1222x2257 0.54 -0.14
   82 ums-0082.png 1264x2258 0.56 -0.05
   83 ums-0083.png 1222x2269 0.54 -0.15
   84 ums-0084.png 1230x2254 0.55 -0.12
   85 ums-0085.png 1238x2254 0.55 -0.10
   86 ums-0086.png 1233x2261 0.55 -0.12
   87 ums-0087.png 1218x2265 0.54 -0.16
   88 ums-0088.png 1238x2254 0.55 -0.10
   89 ums-0089.png 1226x2254 0.54 -0.13
   90 ums-0090.png 1222x2257 0.54 -0.14
   91 ums-0091.png 1241x2262 0.55 -0.10
