mean 0.713474871396897, prms 0.0093385845506742, median 0.71273, min 0.683913, max 0.863821, adev 0.00427500832345979, rms 0.00932822560732981
=== Full report: ===
    1 uqq-0001.png 850x984 0.86 16.10
    2 uqq-0002.png 849x1172 0.72 1.17
    3 uqq-0003.png 854x1192 0.72 0.32
    4 uqq-0004.png 850x1190 0.71 0.09
    5 uqq-0005.png 852x1191 0.72 0.20
    6 uqq-0006.png 856x1202 0.71 -0.14
    7 uqq-0007.png 850x1192 0.71 -0.04
    8 uqq-0008.png 858x1200 0.71 0.16
    9 uqq-0009.png 861x1192 0.72 0.95
   10 uqq-0010.png 852x1200 0.71 -0.37
   11 uqq-0011.png 854x1196 0.71 0.06
   12 uqq-0012.png 881x1190 0.74 2.88
   13 uqq-0013.png 863x1194 0.72 1.00
   14 uqq-0014.png 862x1216 0.71 -0.49
   15 uqq-0015.png 853x1192 0.72 0.23
   16 uqq-0016.png 846x1237 0.68 -3.17
   17 uqq-0017.png 855x1191 0.72 0.47
   18 uqq-0018.png 882x1207 0.73 1.85
   19 uqq-0019.png 852x1196 0.71 -0.12
   20 uqq-0020.png 850x1196 0.71 -0.30
   21 uqq-0021.png 857x1198 0.72 0.20
   22 uqq-0022.png 850x1193 0.71 -0.11
   23 uqq-0023.png 850x1191 0.71 0.02
   24 uqq-0024.png 858x1192 0.72 0.68
   25 uqq-0025.png 852x1193 0.71 0.07
   26 uqq-0026.png 855x1195 0.72 0.21
   27 uqq-0027.png 857x1196 0.72 0.33
   28 uqq-0028.png 847x1196 0.71 -0.57
   29 uqq-0029.png 853x1194 0.71 0.10
   30 uqq-0030.png 848x1204 0.70 -0.98
   31 uqq-0031.png 852x1170 0.73 1.58
   32 uqq-0032.png 850x1191 0.71 0.02
   33 uqq-0033.png 851x1190 0.72 0.18
   34 uqq-0034.png 850x1190 0.71 0.09
   35 uqq-0035.png 851x1190 0.72 0.18
   36 uqq-0036.png 851x1190 0.72 0.18
   37 uqq-0037.png 853x1192 0.72 0.23
   38 uqq-0038.png 842x1190 0.71 -0.63
   39 uqq-0039.png 852x1191 0.72 0.20
   40 uqq-0040.png 844x1192 0.71 -0.58
   41 uqq-0041.png 850x1202 0.71 -0.68
   42 uqq-0042.png 862x1196 0.72 0.78
   43 uqq-0043.png 851x1196 0.71 -0.21
   44 uqq-0044.png 848x1189 0.71 -0.03
   45 uqq-0045.png 852x1193 0.71 0.07
   46 uqq-0046.png 852x1196 0.71 -0.12
   47 uqq-0047.png 851x1197 0.71 -0.27
   48 uqq-0048.png 849x1195 0.71 -0.32
   49 uqq-0049.png 852x1194 0.71 0.01
   50 uqq-0050.png 849x1189 0.71 0.06
   51 uqq-0051.png 851x1191 0.71 0.11
   52 uqq-0052.png 848x1187 0.71 0.10
   53 uqq-0053.png 859x1197 0.72 0.44
   54 uqq-0054.png 850x1192 0.71 -0.04
   55 uqq-0055.png 851x1193 0.71 -0.02
   56 uqq-0056.png 848x1192 0.71 -0.22
   57 uqq-0057.png 851x1189 0.72 0.24
   58 uqq-0058.png 848x1195 0.71 -0.41
   59 uqq-0059.png 854x1189 0.72 0.51
   60 uqq-0060.png 848x1207 0.70 -1.17
   61 uqq-0061.png 849x1189 0.71 0.06
   62 uqq-0062.png 854x1215 0.70 -1.13
   63 uqq-0063.png 854x1202 0.71 -0.32
   64 uqq-0064.png 852x1197 0.71 -0.18
   65 uqq-0065.png 853x1195 0.71 0.04
   66 uqq-0066.png 849x1192 0.71 -0.13
   67 uqq-0067.png 850x1192 0.71 -0.04
   68 uqq-0068.png 853x1207 0.71 -0.72
   69 uqq-0069.png 856x1203 0.71 -0.21
   70 uqq-0070.png 848x1202 0.71 -0.85
   71 uqq-0071.png 861x1191 0.72 1.01
   72 uqq-0072.png 848x1192 0.71 -0.22
   73 uqq-0073.png 870x1197 0.73 1.43
   74 uqq-0074.png 851x1192 0.71 0.05
   75 uqq-0075.png 859x1202 0.71 0.12
   76 uqq-0076.png 850x1202 0.71 -0.68
   77 uqq-0077.png 851x1193 0.71 -0.02
   78 uqq-0078.png 846x1192 0.71 -0.40
   79 uqq-0079.png 852x1185 0.72 0.59
   80 uqq-0080.png 852x1195 0.71 -0.05
   81 uqq-0081.png 853x1192 0.72 0.23
   82 uqq-0082.png 853x1200 0.71 -0.28
   83 uqq-0083.png 854x1191 0.72 0.38
   84 uqq-0084.png 860x1194 0.72 0.73
   85 uqq-0085.png 851x1188 0.72 0.31
   86 uqq-0086.png 847x1193 0.71 -0.37
   87 uqq-0087.png 852x1191 0.72 0.20
   88 uqq-0088.png 845x1190 0.71 -0.36
   89 uqq-0089.png 850x1192 0.71 -0.04
   90 uqq-0090.png 870x1193 0.73 1.69
   91 uqq-0091.png 851x1193 0.71 -0.02
   92 uqq-0092.png 850x1195 0.71 -0.23
   93 uqq-0093.png 863x1193 0.72 1.06
   94 uqq-0094.png 868x1202 0.72 0.93
   95 uqq-0095.png 859x1193 0.72 0.70
   96 uqq-0096.png 853x1191 0.72 0.29
   97 uqq-0097.png 856x1224 0.70 -1.51
   98 uqq-0098.png 848x1202 0.71 -0.85
   99 uqq-0099.png 856x1193 0.72 0.43
  100 uqq-0100.png 850x1190 0.71 0.09
  101 uqq-0101.png 850x1195 0.71 -0.23
  102 uqq-0102.png 845x1193 0.71 -0.55
  103 uqq-0103.png 850x1191 0.71 0.02
  104 uqq-0104.png 863x1191 0.72 1.19
  105 uqq-0105.png 851x1193 0.71 -0.02
  106 uqq-0106.png 850x1199 0.71 -0.49
  107 uqq-0107.png 852x1195 0.71 -0.05
  108 uqq-0108.png 847x1191 0.71 -0.25
  109 uqq-0109.png 851x1190 0.72 0.18
  110 uqq-0110.png 852x1209 0.70 -0.94
  111 uqq-0111.png 852x1193 0.71 0.07
  112 uqq-0112.png 854x1191 0.72 0.38
  113 uqq-0113.png 852x1192 0.71 0.14
  114 uqq-0114.png 848x1191 0.71 -0.16
  115 uqq-0115.png 853x1191 0.72 0.29
  116 uqq-0116.png 850x1191 0.71 0.02
  117 uqq-0117.png 856x1174 0.73 1.68
  118 uqq-0118.png 876x1191 0.74 2.36
  119 uqq-0119.png 851x1191 0.71 0.11
  120 uqq-0120.png 848x1191 0.71 -0.16
  121 uqq-0121.png 851x1192 0.71 0.05
  122 uqq-0122.png 858x1192 0.72 0.68
  123 uqq-0123.png 852x1193 0.71 0.07
  124 uqq-0124.png 850x1192 0.71 -0.04
  125 uqq-0125.png 860x1192 0.72 0.86
  126 uqq-0126.png 849x1191 0.71 -0.07
  127 uqq-0127.png 852x1193 0.71 0.07
  128 uqq-0128.png 850x1193 0.71 -0.11
  129 uqq-0129.png 851x1191 0.71 0.11
  130 uqq-0130.png 848x1192 0.71 -0.22
  131 uqq-0131.png 850x1193 0.71 -0.11
  132 uqq-0132.png 846x1192 0.71 -0.40
  133 uqq-0133.png 851x1194 0.71 -0.08
  134 uqq-0134.png 850x1212 0.70 -1.30
  135 uqq-0135.png 849x1192 0.71 -0.13
  136 uqq-0136.png 846x1191 0.71 -0.34
  137 uqq-0137.png 849x1194 0.71 -0.26
  138 uqq-0138.png 849x1179 0.72 0.71
  139 uqq-0139.png 850x1192 0.71 -0.04
  140 uqq-0140.png 858x1204 0.71 -0.09
  141 uqq-0141.png 862x1194 0.72 0.91
  142 uqq-0142.png 847x1192 0.71 -0.31
  143 uqq-0143.png 851x1192 0.71 0.05
  144 uqq-0144.png 854x1194 0.72 0.19
  145 uqq-0145.png 850x1201 0.71 -0.61
  146 uqq-0146.png 846x1191 0.71 -0.34
  147 uqq-0147.png 847x1198 0.71 -0.69
  148 uqq-0148.png 845x1200 0.70 -1.00
  149 uqq-0149.png 893x1197 0.75 3.49
  150 uqq-0150.png 848x1192 0.71 -0.22
  151 uqq-0151.png 852x1203 0.71 -0.56
  152 uqq-0152.png 844x1197 0.71 -0.90
  153 uqq-0153.png 850x1192 0.71 -0.04
  154 uqq-0154.png 847x1193 0.71 -0.37
  155 uqq-0155.png 847x1204 0.70 -1.07
  156 uqq-0156.png 864x1203 0.72 0.51
  157 uqq-0157.png 888x1197 0.74 3.04
  158 uqq-0158.png 847x1193 0.71 -0.37
  159 uqq-0159.png 850x1195 0.71 -0.23
  160 uqq-0160.png 848x1191 0.71 -0.16
  161 uqq-0161.png 852x1193 0.71 0.07
  162 uqq-0162.png 846x1197 0.71 -0.72
  163 uqq-0163.png 853x1191 0.72 0.29
  164 uqq-0164.png 844x1193 0.71 -0.64
  165 uqq-0165.png 855x1194 0.72 0.28
  166 uqq-0166.png 860x1194 0.72 0.73
  167 uqq-0167.png 846x1200 0.70 -0.91
  168 uqq-0168.png 843x1193 0.71 -0.73
  169 uqq-0169.png 847x1195 0.71 -0.50
  170 uqq-0170.png 848x1215 0.70 -1.66
  171 uqq-0171.png 854x1194 0.72 0.19
  172 uqq-0172.png 859x1206 0.71 -0.13
  173 uqq-0173.png 851x1198 0.71 -0.33
  174 uqq-0174.png 844x1190 0.71 -0.45
  175 uqq-0175.png 850x1192 0.71 -0.04
  176 uqq-0176.png 846x1193 0.71 -0.46
  177 uqq-0177.png 848x1191 0.71 -0.16
  178 uqq-0178.png 846x1191 0.71 -0.34
  179 uqq-0179.png 850x1194 0.71 -0.17
  180 uqq-0180.png 856x1193 0.72 0.43
  181 uqq-0181.png 851x1190 0.72 0.18
  182 uqq-0182.png 842x1192 0.71 -0.76
  183 uqq-0183.png 847x1194 0.71 -0.44
  184 uqq-0184.png 847x1192 0.71 -0.31
  185 uqq-0185.png 848x1193 0.71 -0.29
  186 uqq-0186.png 869x1201 0.72 1.08
  187 uqq-0187.png 852x1194 0.71 0.01
  188 uqq-0188.png 849x1193 0.71 -0.20
  189 uqq-0189.png 850x1195 0.71 -0.23
  190 uqq-0190.png 846x1193 0.71 -0.46
  191 uqq-0191.png 854x1191 0.72 0.38
  192 uqq-0192.png 851x1192 0.71 0.05
  193 uqq-0193.png 849x1192 0.71 -0.13
  194 uqq-0194.png 842x1196 0.70 -1.01
  195 uqq-0195.png 870x1196 0.73 1.49
  196 uqq-0196.png 851x1200 0.71 -0.46
  197 uqq-0197.png 848x1192 0.71 -0.22
  198 uqq-0198.png 845x1189 0.71 -0.30
  199 uqq-0199.png 847x1191 0.71 -0.25
  200 uqq-0200.png 847x1191 0.71 -0.25
