mean 0.673340123893805, prms 0.0970602435915301, median 0.667867, min 0.617898, max 3.51538, adev 0.0231348822930535, rms 0.0970349773556232
=== Full report: ===
    1 uqw-0001.png 1013x1439 0.70 0.32
    2 uqw-0002.png 951x1418 0.67 -0.03
    3 uqw-0003.png 775x1232 0.63 -0.46
    4 uqw-0004.png 720x1110 0.65 -0.25
    5 uqw-0005.png 945x1234 0.77 0.95
    6 uqw-0006.png 972x1356 0.72 0.45
    7 uqw-0007.png 912x1286 0.71 0.37
    8 uqw-0008.png 943x1353 0.70 0.24
    9 uqw-0009.png 912x1343 0.68 0.06
   10 uqw-0010.png 949x1359 0.70 0.26
   11 uqw-0011.png 957x1345 0.71 0.39
   12 uqw-0012.png 1000x1362 0.73 0.63
   13 uqw-0013.png 952x1316 0.72 0.52
   14 uqw-0014.png 980x1366 0.72 0.45
   15 uqw-0015.png 922x1343 0.69 0.14
   16 uqw-0016.png 972x1357 0.72 0.44
   17 uqw-0017.png 913x1312 0.70 0.23
   18 uqw-0018.png 968x1387 0.70 0.25
   19 uqw-0019.png 923x1340 0.69 0.16
   20 uqw-0020.png 919x1309 0.70 0.30
   21 uqw-0021.png 935x1339 0.70 0.26
   22 uqw-0022.png 958x1358 0.71 0.33
   23 uqw-0023.png 938x1337 0.70 0.29
   24 uqw-0024.png 985x1364 0.72 0.50
   25 uqw-0025.png 949x1337 0.71 0.38
   26 uqw-0026.png 1014x1352 0.75 0.79
   27 uqw-0027.png 927x1326 0.70 0.27
   28 uqw-0028.png 966x1346 0.72 0.46
   29 uqw-0029.png 966x1321 0.73 0.60
   30 uqw-0030.png 948x1346 0.70 0.32
   31 uqw-0031.png 919x1335 0.69 0.16
   32 uqw-0032.png 944x1353 0.70 0.25
   33 uqw-0033.png 947x1325 0.71 0.43
   34 uqw-0034.png 919x1312 0.70 0.28
   35 uqw-0035.png 919x1324 0.69 0.21
   36 uqw-0036.png 954x1359 0.70 0.30
   37 uqw-0037.png 934x1328 0.70 0.31
   38 uqw-0038.png 972x1347 0.72 0.50
   39 uqw-0039.png 922x1309 0.70 0.32
   40 uqw-0040.png 958x1358 0.71 0.33
   41 uqw-0041.png 930x1324 0.70 0.30
   42 uqw-0042.png 922x1313 0.70 0.30
   43 uqw-0043.png 972x1329 0.73 0.60
   44 uqw-0044.png 937x1319 0.71 0.38
   45 uqw-0045.png 953x1324 0.72 0.48
   46 uqw-0046.png 945x1320 0.72 0.44
   47 uqw-0047.png 916x1325 0.69 0.19
   48 uqw-0048.png 941x1345 0.70 0.27
   49 uqw-0049.png 921x1310 0.70 0.31
   50 uqw-0050.png 946x1319 0.72 0.45
   51 uqw-0051.png 920x1329 0.69 0.19
   52 uqw-0052.png 967x1371 0.71 0.33
