mean 0.807627027227722, prms 0.677534864759169, median 0.670578, min 0.132231, max 11.9403, adev 0.223795879362317, rms 0.676695811973177
=== Full report: ===
    1 vi-0000.png 800x1848 0.43 -0.55
    2 vi-0001.png 800x3200 0.25 -0.82
    3 vi-0002.png 800x354 2.26 2.14
    4 vi-0003.png 800x212 3.77 4.38
    5 vi-0004.png 800x1185 0.68 -0.20
    6 vi-0005.png 800x1199 0.67 -0.21
    7 vi-0006.png 800x279 2.87 3.04
    8 vi-0007.png 800x800 1.00 0.28
    9 vi-0008.png 800x555 1.44 0.94
   10 vi-0009.png 800x800 1.00 0.28
   11 vi-0010.png 800x857 0.93 0.19
   12 vi-0011.png 800x800 1.00 0.28
   13 vi-0012.png 800x1465 0.55 -0.39
   14 vi-0013.png 800x800 1.00 0.28
   15 vi-0014.png 800x442 1.81 1.48
   16 vi-0015.png 800x800 1.00 0.28
   17 vi-0016.png 800x862 0.93 0.18
   18 vi-0017.png 800x800 1.00 0.28
   19 vi-0018.png 800x975 0.82 0.02
   20 vi-0019.png 800x1206 0.66 -0.21
   21 vi-0020.png 800x1173 0.68 -0.19
   22 vi-0021.png 800x1176 0.68 -0.19
   23 vi-0022.png 800x963 0.83 0.03
   24 vi-0023.png 800x800 1.00 0.28
   25 vi-0024.png 800x776 1.03 0.33
   26 vi-0025.png 800x1196 0.67 -0.20
   27 vi-0026.png 800x1176 0.68 -0.19
   28 vi-0027.png 800x1230 0.65 -0.23
   29 vi-0028.png 800x1209 0.66 -0.22
   30 vi-0029.png 800x1210 0.66 -0.22
   31 vi-0030.png 800x1219 0.66 -0.22
   32 vi-0031.png 800x1228 0.65 -0.23
   33 vi-0032.png 800x1225 0.65 -0.23
   34 vi-0033.png 800x1211 0.66 -0.22
   35 vi-0034.png 800x1208 0.66 -0.21
   36 vi-0035.png 800x1179 0.68 -0.19
   37 vi-0036.png 800x1129 0.71 -0.15
   38 vi-0037.png 800x1227 0.65 -0.23
   39 vi-0038.png 800x1183 0.68 -0.19
   40 vi-0039.png 800x1233 0.65 -0.23
   41 vi-0040.png 800x1140 0.70 -0.16
   42 vi-0041.png 800x1213 0.66 -0.22
   43 vi-0042.png 800x1216 0.66 -0.22
   44 vi-0043.png 800x1212 0.66 -0.22
   45 vi-0044.png 800x1227 0.65 -0.23
   46 vi-0045.png 800x1232 0.65 -0.23
   47 vi-0046.png 800x1209 0.66 -0.22
   48 vi-0047.png 800x1015 0.79 -0.03
   49 vi-0048.png 800x67 11.94 16.43
   50 vi-0049.png 800x800 1.00 0.28
   51 vi-0050.png 800x972 0.82 0.02
   52 vi-0051.png 800x1201 0.67 -0.21
   53 vi-0052.png 800x1204 0.66 -0.21
   54 vi-0053.png 800x1215 0.66 -0.22
   55 vi-0054.png 800x1183 0.68 -0.19
   56 vi-0055.png 800x1218 0.66 -0.22
   57 vi-0056.png 800x1188 0.67 -0.20
   58 vi-0057.png 800x1203 0.67 -0.21
   59 vi-0058.png 800x1224 0.65 -0.23
   60 vi-0059.png 800x1162 0.69 -0.18
   61 vi-0060.png 800x1209 0.66 -0.22
   62 vi-0061.png 800x1194 0.67 -0.20
   63 vi-0062.png 800x1215 0.66 -0.22
   64 vi-0063.png 800x1211 0.66 -0.22
   65 vi-0064.png 800x1177 0.68 -0.19
   66 vi-0065.png 800x1214 0.66 -0.22
   67 vi-0066.png 800x1209 0.66 -0.22
   68 vi-0067.png 800x1222 0.65 -0.23
   69 vi-0068.png 800x1219 0.66 -0.22
   70 vi-0069.png 800x800 1.00 0.28
   71 vi-0070.png 800x984 0.81 0.01
   72 vi-0071.png 800x1219 0.66 -0.22
   73 vi-0072.png 800x1231 0.65 -0.23
   74 vi-0073.png 800x1228 0.65 -0.23
   75 vi-0074.png 800x1224 0.65 -0.23
   76 vi-0075.png 800x1198 0.67 -0.21
   77 vi-0076.png 800x1224 0.65 -0.23
   78 vi-0077.png 800x1214 0.66 -0.22
   79 vi-0078.png 800x1215 0.66 -0.22
   80 vi-0079.png 800x1224 0.65 -0.23
   81 vi-0080.png 800x1227 0.65 -0.23
   82 vi-0081.png 800x1180 0.68 -0.19
   83 vi-0082.png 800x1205 0.66 -0.21
   84 vi-0083.png 800x1179 0.68 -0.19
   85 vi-0084.png 800x1186 0.67 -0.20
   86 vi-0085.png 800x1201 0.67 -0.21
   87 vi-0086.png 800x1179 0.68 -0.19
   88 vi-0087.png 800x448 1.79 1.44
   89 vi-0088.png 800x983 0.81 0.01
   90 vi-0089.png 800x1214 0.66 -0.22
   91 vi-0090.png 800x1224 0.65 -0.23
   92 vi-0091.png 800x316 2.53 2.54
   93 vi-0092.png 800x980 0.82 0.01
   94 vi-0093.png 800x1208 0.66 -0.21
   95 vi-0094.png 800x1187 0.67 -0.20
   96 vi-0095.png 800x1188 0.67 -0.20
   97 vi-0096.png 800x398 2.01 1.77
   98 vi-0097.png 800x800 1.00 0.28
   99 vi-0098.png 800x983 0.81 0.01
  100 vi-0099.png 800x1217 0.66 -0.22
  101 vi-0100.png 800x1224 0.65 -0.23
  102 vi-0101.png 800x1212 0.66 -0.22
  103 vi-0102.png 800x1181 0.68 -0.19
  104 vi-0103.png 800x1164 0.69 -0.18
  105 vi-0104.png 800x1216 0.66 -0.22
  106 vi-0105.png 800x1226 0.65 -0.23
  107 vi-0106.png 800x1212 0.66 -0.22
  108 vi-0107.png 800x1054 0.76 -0.07
  109 vi-0108.png 800x765 1.05 0.35
  110 vi-0109.png 800x800 1.00 0.28
  111 vi-0110.png 800x982 0.81 0.01
  112 vi-0111.png 800x1168 0.68 -0.18
  113 vi-0112.png 800x1223 0.65 -0.23
  114 vi-0113.png 800x1209 0.66 -0.22
  115 vi-0114.png 800x1224 0.65 -0.23
  116 vi-0115.png 800x1215 0.66 -0.22
  117 vi-0116.png 800x1139 0.70 -0.16
  118 vi-0117.png 800x1196 0.67 -0.20
  119 vi-0118.png 800x1229 0.65 -0.23
  120 vi-0119.png 800x1225 0.65 -0.23
  121 vi-0120.png 800x1207 0.66 -0.21
  122 vi-0121.png 800x1224 0.65 -0.23
  123 vi-0122.png 800x1221 0.66 -0.22
  124 vi-0123.png 800x1205 0.66 -0.21
  125 vi-0124.png 800x1201 0.67 -0.21
  126 vi-0125.png 800x1221 0.66 -0.22
  127 vi-0126.png 800x1156 0.69 -0.17
  128 vi-0127.png 800x1179 0.68 -0.19
  129 vi-0128.png 800x977 0.82 0.02
  130 vi-0129.png 800x1180 0.68 -0.19
  131 vi-0130.png 800x1126 0.71 -0.14
  132 vi-0131.png 800x998 0.80 -0.01
  133 vi-0132.png 800x1176 0.68 -0.19
  134 vi-0133.png 800x1193 0.67 -0.20
  135 vi-0134.png 800x1173 0.68 -0.19
  136 vi-0135.png 800x1141 0.70 -0.16
  137 vi-0136.png 800x1204 0.66 -0.21
  138 vi-0137.png 800x1181 0.68 -0.19
  139 vi-0138.png 800x1188 0.67 -0.20
