mean 0.641593689655184, prms 0.00761701899646275, median 0.642006, min 0.438212, max 0.675219, adev 0.000867008917943374, rms 0.00761428250670443
=== Full report: ===
    1 img/asb.old/0/asb-0000.png 1000x2139 0.47 -22.85
    2 img/asb.old/0/asb-0001.png 1000x2282 0.44 -26.70
    3 img/asb.old/0/asb-0002.png 1000x1481 0.68 4.41
    4 img/asb.old/0/asb-0003.png 1000x1618 0.62 -3.09
    5 img/asb.old/0/asb-0004.png 1000x1656 0.60 -4.95
    6 img/asb.old/0/asb-0005.png 1000x1606 0.62 -2.49
    7 img/asb.old/0/asb-0006.png 1000x1654 0.60 -4.86
    8 img/asb.old/0/asb-0007.png 1000x1657 0.60 -5.00
    9 img/asb.old/0/asb-0008.png 1000x1657 0.60 -5.00
   10 img/asb.old/0/asb-0009.png 1000x1642 0.61 -4.28
   11 img/asb.old/0/asb-0010.png 1024x1595 0.64 0.05
   12 img/asb.old/0/asb-0011.png 1024x1595 0.64 0.05
   13 img/asb.old/0/asb-0012.png 1024x1595 0.64 0.05
   14 img/asb.old/0/asb-0013.png 1024x1595 0.64 0.05
   15 img/asb.old/0/asb-0014.png 1024x1595 0.64 0.05
   16 img/asb.old/0/asb-0015.png 1024x1595 0.64 0.05
   17 img/asb.old/0/asb-0016.png 1024x1595 0.64 0.05
   18 img/asb.old/0/asb-0017.png 1024x1595 0.64 0.05
   19 img/asb.old/0/asb-0018.png 1024x1595 0.64 0.05
   20 img/asb.old/0/asb-0019.png 1024x1595 0.64 0.05
   21 img/asb.old/0/asb-0020.png 1024x1595 0.64 0.05
   22 img/asb.old/0/asb-0021.png 1024x1595 0.64 0.05
   23 img/asb.old/0/asb-0022.png 1024x1595 0.64 0.05
   24 img/asb.old/0/asb-0023.png 1024x1595 0.64 0.05
   25 img/asb.old/0/asb-0024.png 1024x1595 0.64 0.05
   26 img/asb.old/0/asb-0025.png 1024x1595 0.64 0.05
   27 img/asb.old/0/asb-0026.png 1024x1595 0.64 0.05
   28 img/asb.old/0/asb-0027.png 1024x1595 0.64 0.05
   29 img/asb.old/0/asb-0028.png 1024x1595 0.64 0.05
   30 img/asb.old/0/asb-0029.png 1024x1595 0.64 0.05
   31 img/asb.old/0/asb-0030.png 1024x1595 0.64 0.05
   32 img/asb.old/0/asb-0031.png 1024x1595 0.64 0.05
   33 img/asb.old/0/asb-0032.png 1024x1595 0.64 0.05
   34 img/asb.old/0/asb-0033.png 1024x1595 0.64 0.05
   35 img/asb.old/0/asb-0034.png 1024x1595 0.64 0.05
   36 img/asb.old/0/asb-0035.png 1024x1595 0.64 0.05
   37 img/asb.old/0/asb-0036.png 1024x1595 0.64 0.05
   38 img/asb.old/0/asb-0037.png 1024x1595 0.64 0.05
   39 img/asb.old/0/asb-0038.png 1024x1595 0.64 0.05
   40 img/asb.old/0/asb-0039.png 1024x1595 0.64 0.05
   41 img/asb.old/0/asb-0040.png 1024x1595 0.64 0.05
   42 img/asb.old/0/asb-0041.png 1024x1595 0.64 0.05
   43 img/asb.old/0/asb-0042.png 1024x1595 0.64 0.05
   44 img/asb.old/0/asb-0043.png 1024x1595 0.64 0.05
   45 img/asb.old/0/asb-0044.png 1024x1595 0.64 0.05
   46 img/asb.old/0/asb-0045.png 1024x1595 0.64 0.05
   47 img/asb.old/0/asb-0046.png 1024x1595 0.64 0.05
   48 img/asb.old/0/asb-0047.png 1024x1595 0.64 0.05
   49 img/asb.old/0/asb-0048.png 1024x1595 0.64 0.05
   50 img/asb.old/0/asb-0049.png 1024x1595 0.64 0.05
   51 img/asb.old/0/asb-0050.png 1024x1595 0.64 0.05
   52 img/asb.old/0/asb-0051.png 1024x1595 0.64 0.05
   53 img/asb.old/0/asb-0052.png 1024x1595 0.64 0.05
   54 img/asb.old/0/asb-0053.png 1024x1595 0.64 0.05
   55 img/asb.old/0/asb-0054.png 1024x1595 0.64 0.05
   56 img/asb.old/0/asb-0055.png 1024x1595 0.64 0.05
   57 img/asb.old/0/asb-0056.png 1024x1595 0.64 0.05
   58 img/asb.old/0/asb-0057.png 1024x1595 0.64 0.05
