mean 0.624950704610952, prms 0.0391787590261769, median 0.619579, min 0.438212, max 1.53374, adev 0.0112590700445986, rms 0.039164643097408
=== Full report: ===
    1 img/asb/0/asb-0000.png 1000x2139 0.47 -4.02
    2 img/asb/0/asb-0001.png 1000x2282 0.44 -4.77
    3 img/asb/0/asb-0002.png 1000x1481 0.68 1.28
    4 img/asb/0/asb-0003.png 1000x1618 0.62 -0.18
    5 img/asb/0/asb-0004.png 1000x1656 0.60 -0.54
    6 img/asb/0/asb-0005.png 1000x1606 0.62 -0.06
    7 img/asb/0/asb-0006.png 1000x1654 0.60 -0.52
    8 img/asb/0/asb-0007.png 1000x1657 0.60 -0.55
    9 img/asb/0/asb-0008.png 1000x1657 0.60 -0.55
   10 img/asb/0/asb-0009.png 1000x1642 0.61 -0.41
   11 img/asb/0/asb-0010.png 1000x1641 0.61 -0.40
   12 img/asb/0/asb-0011.png 1000x1457 0.69 1.57
   13 img/asb/0/asb-0012.png 1000x1624 0.62 -0.23
   14 img/asb/0/asb-0013.png 1000x1592 0.63 0.08
   15 img/asb/0/asb-0014.png 1000x1442 0.69 1.75
   16 img/asb/0/asb-0015.png 1000x652 1.53 23.20
   17 img/asb/0/asb-0016.png 1000x1558 0.64 0.43
   18 img/asb/0/asb-0017.png 1000x1637 0.61 -0.36
   19 img/asb/0/asb-0018.png 1000x1627 0.61 -0.26
   20 img/asb/0/asb-0019.png 1000x1618 0.62 -0.18
   21 img/asb/0/asb-0020.png 1000x1630 0.61 -0.29
   22 img/asb/0/asb-0021.png 1000x1634 0.61 -0.33
   23 img/asb/0/asb-0022.png 1000x1640 0.61 -0.39
   24 img/asb/0/asb-0023.png 1000x1628 0.61 -0.27
   25 img/asb/0/asb-0024.png 1000x1626 0.62 -0.25
   26 img/asb/0/asb-0025.png 1000x1619 0.62 -0.19
   27 img/asb/0/asb-0026.png 1000x1630 0.61 -0.29
   28 img/asb/0/asb-0027.png 1000x1624 0.62 -0.23
   29 img/asb/0/asb-0028.png 1000x1620 0.62 -0.20
   30 img/asb/0/asb-0029.png 1000x1625 0.62 -0.24
   31 img/asb/0/asb-0030.png 1000x1640 0.61 -0.39
   32 img/asb/0/asb-0031.png 1000x1629 0.61 -0.28
   33 img/asb/0/asb-0032.png 1000x1652 0.61 -0.50
   34 img/asb/0/asb-0033.png 1000x1614 0.62 -0.14
   35 img/asb/0/asb-0034.png 1000x1640 0.61 -0.39
   36 img/asb/0/asb-0035.png 1000x1630 0.61 -0.29
   37 img/asb/0/asb-0036.png 1000x1632 0.61 -0.31
   38 img/asb/0/asb-0037.png 1000x1628 0.61 -0.27
   39 img/asb/0/asb-0038.png 1000x1631 0.61 -0.30
   40 img/asb/0/asb-0039.png 1000x1626 0.62 -0.25
   41 img/asb/0/asb-0040.png 1000x1623 0.62 -0.22
   42 img/asb/0/asb-0041.png 1000x1618 0.62 -0.18
   43 img/asb/0/asb-0042.png 1000x1445 0.69 1.71
   44 img/asb/0/asb-0043.png 1000x1603 0.62 -0.03
   45 img/asb/0/asb-0044.png 1000x1610 0.62 -0.10
   46 img/asb/0/asb-0045.png 1000x1621 0.62 -0.21
   47 img/asb/0/asb-0046.png 1000x1621 0.62 -0.21
   48 img/asb/0/asb-0047.png 1000x1604 0.62 -0.04
   49 img/asb/0/asb-0048.png 1000x1647 0.61 -0.45
   50 img/asb/0/asb-0049.png 1000x1614 0.62 -0.14
   51 img/asb/0/asb-0050.png 1000x1636 0.61 -0.35
