mean 0.628278939377967, prms 0.0778685893744906, median 0.623441, min 0.324359, max 2.66667, adev 0.0121005721032782, rms 0.0778480625283782
=== Full report: ===
    1 img/auh/0/auh-0000.png 1000x2342 0.43 -2.59
    2 img/auh/0/auh-0001.png 1000x3071 0.33 -3.89
    3 img/auh/0/auh-0002.png 1000x1576 0.63 0.08
    4 img/auh/0/auh-0003.png 1000x1444 0.69 0.83
    5 img/auh/0/auh-0004.png 1000x1600 0.62 -0.04
    6 img/auh/0/auh-0005.png 1000x1612 0.62 -0.10
    7 img/auh/0/auh-0006.png 1000x1599 0.63 -0.04
    8 img/auh/0/auh-0007.png 1000x1569 0.64 0.12
    9 img/auh/0/auh-0008.png 1000x1576 0.63 0.08
   10 img/auh/0/auh-0009.png 1000x1557 0.64 0.18
   11 img/auh/0/auh-0010.png 1000x1634 0.61 -0.21
   12 img/auh/0/auh-0011.png 1000x1554 0.64 0.20
   13 img/auh/0/auh-0012.png 1000x1585 0.63 0.03
   14 img/auh/0/auh-0013.png 1000x1601 0.62 -0.05
   15 img/auh/0/auh-0014.png 1000x535 1.87 15.94
   16 img/auh/0/auh-0015.png 1000x1871 0.53 -1.20
   17 img/auh/0/auh-0016.png 1000x1739 0.58 -0.68
   18 img/auh/0/auh-0017.png 1000x1701 0.59 -0.52
   19 img/auh/0/auh-0018.png 1000x1624 0.62 -0.16
   20 img/auh/0/auh-0019.png 1000x1535 0.65 0.30
   21 img/auh/0/auh-0020.png 1000x1587 0.63 0.02
   22 img/auh/0/auh-0021.png 1000x1582 0.63 0.05
   23 img/auh/0/auh-0022.png 1000x1630 0.61 -0.19
   24 img/auh/0/auh-0023.png 1000x1614 0.62 -0.11
   25 img/auh/0/auh-0024.png 1000x1590 0.63 0.01
   26 img/auh/0/auh-0025.png 1000x1531 0.65 0.32
   27 img/auh/0/auh-0026.png 1000x1561 0.64 0.16
   28 img/auh/0/auh-0027.png 1000x1627 0.61 -0.18
   29 img/auh/0/auh-0028.png 1000x1611 0.62 -0.10
   30 img/auh/0/auh-0029.png 1000x1582 0.63 0.05
   31 img/auh/0/auh-0030.png 1000x1569 0.64 0.12
   32 img/auh/0/auh-0031.png 1000x1592 0.63 -0.00
   33 img/auh/0/auh-0032.png 1000x662 1.51 11.33
   34 img/auh/0/auh-0033.png 1000x1599 0.63 -0.04
   35 img/auh/0/auh-0034.png 1000x1609 0.62 -0.09
   36 img/auh/0/auh-0035.png 1000x1611 0.62 -0.10
   37 img/auh/0/auh-0036.png 1000x808 1.24 7.83
   38 img/auh/0/auh-0037.png 1000x1613 0.62 -0.11
   39 img/auh/0/auh-0038.png 1000x1604 0.62 -0.06
   40 img/auh/0/auh-0039.png 1000x1605 0.62 -0.07
   41 img/auh/0/auh-0040.png 1000x1602 0.62 -0.05
   42 img/auh/0/auh-0041.png 1000x1604 0.62 -0.06
   43 img/auh/0/auh-0042.png 1000x1612 0.62 -0.10
   44 img/auh/0/auh-0043.png 1000x1613 0.62 -0.11
   45 img/auh/0/auh-0044.png 1000x1604 0.62 -0.06
   46 img/auh/0/auh-0045.png 1000x1598 0.63 -0.03
   47 img/auh/0/auh-0046.png 1000x1588 0.63 0.02
   48 img/auh/0/auh-0047.png 1000x1608 0.62 -0.08
   49 img/auh/0/auh-0048.png 1000x1590 0.63 0.01
   50 img/auh/0/auh-0049.png 1000x1598 0.63 -0.03
   51 img/auh/0/auh-0050.png 1000x1590 0.63 0.01
   52 img/auh/0/auh-0051.png 1000x1595 0.63 -0.02
   53 img/auh/0/auh-0052.png 1000x1595 0.63 -0.02
   54 img/auh/0/auh-0053.png 1000x1599 0.63 -0.04
   55 img/auh/0/auh-0054.png 1000x1591 0.63 0.00
   56 img/auh/0/auh-0055.png 1000x1596 0.63 -0.02
   57 img/auh/0/auh-0056.png 1000x1600 0.62 -0.04
   58 img/auh/0/auh-0057.png 1000x1577 0.63 0.07
   59 img/auh/0/auh-0058.png 1000x1551 0.64 0.21
   60 img/auh/0/auh-0059.png 1000x1608 0.62 -0.08
   61 img/auh/0/auh-0060.png 1000x1598 0.63 -0.03
   62 img/auh/0/auh-0061.png 1000x1606 0.62 -0.07
   63 img/auh/0/auh-0062.png 1000x1602 0.62 -0.05
   64 img/auh/0/auh-0063.png 1000x1611 0.62 -0.10
   65 img/auh/0/auh-0064.png 1000x1590 0.63 0.01
   66 img/auh/0/auh-0065.png 1000x1599 0.63 -0.04
   67 img/auh/0/auh-0066.png 1000x1589 0.63 0.01
   68 img/auh/0/auh-0067.png 1000x1603 0.62 -0.06
   69 img/auh/0/auh-0068.png 1000x1591 0.63 0.00
   70 img/auh/0/auh-0069.png 1000x1612 0.62 -0.10
   71 img/auh/0/auh-0070.png 1000x1612 0.62 -0.10
   72 img/auh/0/auh-0071.png 1000x1615 0.62 -0.12
   73 img/auh/0/auh-0072.png 1000x1604 0.62 -0.06
   74 img/auh/0/auh-0073.png 1000x1583 0.63 0.04
   75 img/auh/0/auh-0074.png 1000x1606 0.62 -0.07
   76 img/auh/0/auh-0075.png 1000x1604 0.62 -0.06
   77 img/auh/0/auh-0076.png 1000x1598 0.63 -0.03
   78 img/auh/0/auh-0077.png 1000x1601 0.62 -0.05
   79 img/auh/0/auh-0078.png 1000x1594 0.63 -0.01
   80 img/auh/0/auh-0079.png 1000x1603 0.62 -0.06
   81 img/auh/0/auh-0080.png 1000x1613 0.62 -0.11
   82 img/auh/0/auh-0081.png 1000x1580 0.63 0.06
   83 img/auh/0/auh-0082.png 1000x1588 0.63 0.02
   84 img/auh/0/auh-0083.png 1000x1599 0.63 -0.04
   85 img/auh/0/auh-0084.png 1000x1607 0.62 -0.08
   86 img/auh/0/auh-0085.png 1000x1595 0.63 -0.02
   87 img/auh/0/auh-0086.png 1000x1598 0.63 -0.03
   88 img/auh/0/auh-0087.png 1000x1598 0.63 -0.03
   89 img/auh/0/auh-0088.png 1000x1592 0.63 -0.00
   90 img/auh/0/auh-0089.png 1000x1600 0.62 -0.04
   91 img/auh/0/auh-0090.png 1000x1607 0.62 -0.08
   92 img/auh/0/auh-0091.png 1000x1595 0.63 -0.02
   93 img/auh/0/auh-0092.png 1000x1599 0.63 -0.04
   94 img/auh/0/auh-0093.png 1000x1603 0.62 -0.06
   95 img/auh/0/auh-0094.png 1000x1597 0.63 -0.03
   96 img/auh/0/auh-0095.png 1000x1598 0.63 -0.03
   97 img/auh/0/auh-0096.png 1000x1598 0.63 -0.03
   98 img/auh/0/auh-0097.png 1000x1603 0.62 -0.06
   99 img/auh/0/auh-0098.png 1000x1597 0.63 -0.03
  100 img/auh/0/auh-0099.png 1000x1611 0.62 -0.10
  101 img/auh/10/auh-1000.png 1000x1600 0.62 -0.04
  102 img/auh/10/auh-1001.png 1000x1618 0.62 -0.13
  103 img/auh/10/auh-1002.png 1000x1620 0.62 -0.14
  104 img/auh/10/auh-1003.png 1000x1603 0.62 -0.06
  105 img/auh/10/auh-1004.png 1000x1567 0.64 0.13
  106 img/auh/10/auh-1005.png 1000x1598 0.63 -0.03
  107 img/auh/10/auh-1006.png 1000x1587 0.63 0.02
  108 img/auh/10/auh-1007.png 1000x1586 0.63 0.03
  109 img/auh/10/auh-1008.png 1000x1580 0.63 0.06
  110 img/auh/10/auh-1009.png 1000x1595 0.63 -0.02
  111 img/auh/10/auh-1010.png 1000x1580 0.63 0.06
  112 img/auh/10/auh-1011.png 1000x1605 0.62 -0.07
  113 img/auh/10/auh-1012.png 1000x1598 0.63 -0.03
