mean 0.529009250673855, prms 0.0109295195141399, median 0.526593, min 0.491642, max 0.649351, adev 0.0059687179982712, rms 0.010914779764326
=== Full report: ===
    1 img/dhq.try1/0/dhq-0000.png 1000x2034 0.49 -3.42
    2 img/dhq.try1/0/dhq-0001.png 1000x1990 0.50 -2.42
    3 img/dhq.try1/0/dhq-0002.png 1000x1689 0.59 5.77
    4 img/dhq.try1/0/dhq-0003.png 1000x1762 0.57 3.53
    5 img/dhq.try1/0/dhq-0004.png 1000x1767 0.57 3.38
    6 img/dhq.try1/0/dhq-0005.png 1000x1856 0.54 0.90
    7 img/dhq.try1/0/dhq-0006.png 1000x1858 0.54 0.84
    8 img/dhq.try1/0/dhq-0007.png 1000x1855 0.54 0.92
    9 img/dhq.try1/0/dhq-0008.png 1000x1790 0.56 2.71
   10 img/dhq.try1/0/dhq-0009.png 1000x1855 0.54 0.92
   11 img/dhq.try1/0/dhq-0010.png 1000x1790 0.56 2.71
   12 img/dhq.try1/0/dhq-0011.png 1000x1774 0.56 3.17
   13 img/dhq.try1/0/dhq-0012.png 1000x1915 0.52 -0.62
   14 img/dhq.try1/0/dhq-0013.png 1000x1917 0.52 -0.67
   15 img/dhq.try1/0/dhq-0014.png 1000x1921 0.52 -0.77
   16 img/dhq.try1/0/dhq-0015.png 1000x1920 0.52 -0.75
   17 img/dhq.try1/0/dhq-0016.png 1000x1917 0.52 -0.67
   18 img/dhq.try1/0/dhq-0017.png 1000x1914 0.52 -0.60
   19 img/dhq.try1/0/dhq-0018.png 1000x1920 0.52 -0.75
   20 img/dhq.try1/0/dhq-0019.png 1000x1914 0.52 -0.60
   21 img/dhq.try1/0/dhq-0020.png 1000x1915 0.52 -0.62
   22 img/dhq.try1/0/dhq-0021.png 1000x1922 0.52 -0.80
   23 img/dhq.try1/0/dhq-0022.png 1000x1911 0.52 -0.52
   24 img/dhq.try1/0/dhq-0023.png 1000x1916 0.52 -0.65
   25 img/dhq.try1/0/dhq-0024.png 1000x1920 0.52 -0.75
   26 img/dhq.try1/0/dhq-0025.png 1000x1920 0.52 -0.75
   27 img/dhq.try1/0/dhq-0026.png 1000x1916 0.52 -0.65
   28 img/dhq.try1/0/dhq-0027.png 1000x1913 0.52 -0.57
   29 img/dhq.try1/0/dhq-0028.png 1000x1911 0.52 -0.52
   30 img/dhq.try1/0/dhq-0029.png 1000x1907 0.52 -0.42
   31 img/dhq.try1/0/dhq-0030.png 1000x1908 0.52 -0.45
   32 img/dhq.try1/0/dhq-0031.png 1000x1910 0.52 -0.50
   33 img/dhq.try1/0/dhq-0032.png 1000x1913 0.52 -0.57
   34 img/dhq.try1/0/dhq-0033.png 1000x1915 0.52 -0.62
   35 img/dhq.try1/0/dhq-0034.png 1000x1913 0.52 -0.57
   36 img/dhq.try1/0/dhq-0035.png 1000x1907 0.52 -0.42
   37 img/dhq.try1/0/dhq-0036.png 1000x1907 0.52 -0.42
   38 img/dhq.try1/0/dhq-0037.png 1000x1913 0.52 -0.57
   39 img/dhq.try1/0/dhq-0038.png 1000x1916 0.52 -0.65
   40 img/dhq.try1/0/dhq-0039.png 1000x1915 0.52 -0.62
   41 img/dhq.try1/0/dhq-0040.png 1000x1907 0.52 -0.42
   42 img/dhq.try1/0/dhq-0041.png 1000x1916 0.52 -0.65
   43 img/dhq.try1/0/dhq-0042.png 1000x1913 0.52 -0.57
   44 img/dhq.try1/0/dhq-0043.png 1000x1907 0.52 -0.42
   45 img/dhq.try1/0/dhq-0044.png 1000x1907 0.52 -0.42
   46 img/dhq.try1/0/dhq-0045.png 1000x1907 0.52 -0.42
   47 img/dhq.try1/0/dhq-0046.png 1000x1909 0.52 -0.47
   48 img/dhq.try1/0/dhq-0047.png 1000x1908 0.52 -0.45
   49 img/dhq.try1/0/dhq-0048.png 1000x1907 0.52 -0.42
   50 img/dhq.try1/0/dhq-0049.png 1000x1907 0.52 -0.42
   51 img/dhq.try1/0/dhq-0050.png 1000x1907 0.52 -0.42
   52 img/dhq.try1/0/dhq-0051.png 1000x1912 0.52 -0.55
   53 img/dhq.try1/0/dhq-0052.png 1000x1906 0.52 -0.40
   54 img/dhq.try1/0/dhq-0053.png 1000x1909 0.52 -0.47
   55 img/dhq.try1/0/dhq-0054.png 1000x1909 0.52 -0.47
   56 img/dhq.try1/0/dhq-0055.png 1000x1910 0.52 -0.50
   57 img/dhq.try1/0/dhq-0056.png 1000x1912 0.52 -0.55
   58 img/dhq.try1/0/dhq-0057.png 1000x1909 0.52 -0.47
   59 img/dhq.try1/0/dhq-0058.png 1000x1911 0.52 -0.52
   60 img/dhq.try1/0/dhq-0059.png 1000x1907 0.52 -0.42
   61 img/dhq.try1/0/dhq-0060.png 1000x1917 0.52 -0.67
   62 img/dhq.try1/0/dhq-0061.png 1000x1918 0.52 -0.70
   63 img/dhq.try1/0/dhq-0062.png 1000x1912 0.52 -0.55
   64 img/dhq.try1/0/dhq-0063.png 1000x1913 0.52 -0.57
   65 img/dhq.try1/0/dhq-0064.png 1000x1908 0.52 -0.45
   66 img/dhq.try1/0/dhq-0065.png 1000x1909 0.52 -0.47
   67 img/dhq.try1/0/dhq-0066.png 1000x1910 0.52 -0.50
   68 img/dhq.try1/0/dhq-0067.png 1000x1923 0.52 -0.82
   69 img/dhq.try1/0/dhq-0068.png 1000x1921 0.52 -0.77
   70 img/dhq.try1/0/dhq-0069.png 1000x1911 0.52 -0.52
   71 img/dhq.try1/0/dhq-0070.png 1000x1913 0.52 -0.57
   72 img/dhq.try1/0/dhq-0071.png 1000x1909 0.52 -0.47
   73 img/dhq.try1/0/dhq-0072.png 1000x1909 0.52 -0.47
   74 img/dhq.try1/0/dhq-0073.png 1000x1912 0.52 -0.55
   75 img/dhq.try1/0/dhq-0074.png 1000x1915 0.52 -0.62
   76 img/dhq.try1/0/dhq-0075.png 1000x1907 0.52 -0.42
   77 img/dhq.try1/0/dhq-0076.png 1000x1907 0.52 -0.42
   78 img/dhq.try1/0/dhq-0077.png 1000x1907 0.52 -0.42
   79 img/dhq.try1/0/dhq-0078.png 1000x1907 0.52 -0.42
   80 img/dhq.try1/0/dhq-0079.png 1000x1909 0.52 -0.47
   81 img/dhq.try1/0/dhq-0080.png 1000x1909 0.52 -0.47
   82 img/dhq.try1/0/dhq-0081.png 1000x1906 0.52 -0.40
   83 img/dhq.try1/0/dhq-0082.png 1000x1912 0.52 -0.55
   84 img/dhq.try1/0/dhq-0083.png 1000x1909 0.52 -0.47
   85 img/dhq.try1/0/dhq-0084.png 1000x1909 0.52 -0.47
   86 img/dhq.try1/0/dhq-0085.png 1000x1907 0.52 -0.42
   87 img/dhq.try1/0/dhq-0086.png 1000x1909 0.52 -0.47
   88 img/dhq.try1/0/dhq-0087.png 1000x1911 0.52 -0.52
   89 img/dhq.try1/0/dhq-0088.png 1000x1909 0.52 -0.47
   90 img/dhq.try1/0/dhq-0089.png 1000x1907 0.52 -0.42
   91 img/dhq.try1/0/dhq-0090.png 1000x1918 0.52 -0.70
   92 img/dhq.try1/0/dhq-0091.png 1000x1910 0.52 -0.50
   93 img/dhq.try1/0/dhq-0092.png 1000x1914 0.52 -0.60
   94 img/dhq.try1/0/dhq-0093.png 1000x1913 0.52 -0.57
   95 img/dhq.try1/0/dhq-0094.png 1000x1910 0.52 -0.50
   96 img/dhq.try1/0/dhq-0095.png 1000x1909 0.52 -0.47
   97 img/dhq.try1/0/dhq-0096.png 1000x1910 0.52 -0.50
   98 img/dhq.try1/0/dhq-0097.png 1000x1916 0.52 -0.65
   99 img/dhq.try1/0/dhq-0098.png 1000x1908 0.52 -0.45
  100 img/dhq.try1/0/dhq-0099.png 1000x1915 0.52 -0.62
  101 img/dhq.try1/1/dhq-0100.png 1000x1912 0.52 -0.55
  102 img/dhq.try1/1/dhq-0101.png 1000x1913 0.52 -0.57
  103 img/dhq.try1/1/dhq-0102.png 1000x1907 0.52 -0.42
  104 img/dhq.try1/1/dhq-0103.png 1000x1910 0.52 -0.50
  105 img/dhq.try1/1/dhq-0104.png 1000x1907 0.52 -0.42
  106 img/dhq.try1/1/dhq-0105.png 1000x1911 0.52 -0.52
  107 img/dhq.try1/1/dhq-0106.png 1000x1913 0.52 -0.57
  108 img/dhq.try1/1/dhq-0107.png 1000x1909 0.52 -0.47
  109 img/dhq.try1/1/dhq-0108.png 1000x1915 0.52 -0.62
  110 img/dhq.try1/1/dhq-0109.png 1000x1909 0.52 -0.47
  111 img/dhq.try1/1/dhq-0110.png 1000x1907 0.52 -0.42
  112 img/dhq.try1/1/dhq-0111.png 1000x1907 0.52 -0.42
  113 img/dhq.try1/1/dhq-0112.png 1000x1911 0.52 -0.52
  114 img/dhq.try1/1/dhq-0113.png 1000x1911 0.52 -0.52
  115 img/dhq.try1/1/dhq-0114.png 1000x1909 0.52 -0.47
  116 img/dhq.try1/1/dhq-0115.png 1000x1907 0.52 -0.42
  117 img/dhq.try1/1/dhq-0116.png 1000x1908 0.52 -0.45
  118 img/dhq.try1/1/dhq-0117.png 1000x1910 0.52 -0.50
  119 img/dhq.try1/1/dhq-0118.png 1000x1907 0.52 -0.42
  120 img/dhq.try1/1/dhq-0119.png 1000x1914 0.52 -0.60
  121 img/dhq.try1/1/dhq-0120.png 1000x1907 0.52 -0.42
  122 img/dhq.try1/1/dhq-0121.png 1000x1899 0.53 -0.22
  123 img/dhq.try1/1/dhq-0122.png 1000x1900 0.53 -0.25
  124 img/dhq.try1/1/dhq-0123.png 1000x1899 0.53 -0.22
  125 img/dhq.try1/1/dhq-0124.png 1000x1890 0.53 0.01
  126 img/dhq.try1/1/dhq-0125.png 1000x1901 0.53 -0.27
  127 img/dhq.try1/1/dhq-0126.png 1000x1907 0.52 -0.42
  128 img/dhq.try1/1/dhq-0127.png 1000x1899 0.53 -0.22
  129 img/dhq.try1/1/dhq-0128.png 1000x1900 0.53 -0.25
  130 img/dhq.try1/1/dhq-0129.png 1000x1902 0.53 -0.30
  131 img/dhq.try1/1/dhq-0130.png 1000x1900 0.53 -0.25
  132 img/dhq.try1/1/dhq-0131.png 1000x1899 0.53 -0.22
  133 img/dhq.try1/1/dhq-0132.png 1000x1910 0.52 -0.50
  134 img/dhq.try1/1/dhq-0133.png 1000x1897 0.53 -0.17
  135 img/dhq.try1/1/dhq-0134.png 1000x1904 0.53 -0.35
  136 img/dhq.try1/1/dhq-0135.png 1000x1892 0.53 -0.04
  137 img/dhq.try1/1/dhq-0136.png 1000x1893 0.53 -0.07
  138 img/dhq.try1/1/dhq-0137.png 1000x1896 0.53 -0.14
  139 img/dhq.try1/1/dhq-0138.png 1000x1894 0.53 -0.09
  140 img/dhq.try1/1/dhq-0139.png 1000x1898 0.53 -0.20
  141 img/dhq.try1/1/dhq-0140.png 1000x1899 0.53 -0.22
  142 img/dhq.try1/1/dhq-0141.png 1000x1894 0.53 -0.09
  143 img/dhq.try1/1/dhq-0142.png 1000x1898 0.53 -0.20
  144 img/dhq.try1/1/dhq-0143.png 1000x1901 0.53 -0.27
  145 img/dhq.try1/1/dhq-0144.png 1000x1899 0.53 -0.22
  146 img/dhq.try1/1/dhq-0145.png 1000x1897 0.53 -0.17
  147 img/dhq.try1/1/dhq-0146.png 1000x1895 0.53 -0.12
  148 img/dhq.try1/1/dhq-0147.png 1000x1893 0.53 -0.07
  149 img/dhq.try1/1/dhq-0148.png 1000x1892 0.53 -0.04
  150 img/dhq.try1/1/dhq-0149.png 1000x1902 0.53 -0.30
  151 img/dhq.try1/1/dhq-0150.png 1000x1899 0.53 -0.22
  152 img/dhq.try1/1/dhq-0151.png 1000x1892 0.53 -0.04
  153 img/dhq.try1/1/dhq-0152.png 1000x1900 0.53 -0.25
  154 img/dhq.try1/1/dhq-0153.png 1000x1889 0.53 0.03
  155 img/dhq.try1/1/dhq-0154.png 1000x1898 0.53 -0.20
  156 img/dhq.try1/1/dhq-0155.png 1000x1909 0.52 -0.47
  157 img/dhq.try1/1/dhq-0156.png 1000x1898 0.53 -0.20
  158 img/dhq.try1/1/dhq-0157.png 1000x1897 0.53 -0.17
  159 img/dhq.try1/1/dhq-0158.png 1000x1893 0.53 -0.07
  160 img/dhq.try1/1/dhq-0159.png 1000x1894 0.53 -0.09
  161 img/dhq.try1/1/dhq-0160.png 1000x1899 0.53 -0.22
  162 img/dhq.try1/1/dhq-0161.png 1000x1899 0.53 -0.22
  163 img/dhq.try1/1/dhq-0162.png 1000x1907 0.52 -0.42
  164 img/dhq.try1/1/dhq-0163.png 1000x1911 0.52 -0.52
  165 img/dhq.try1/1/dhq-0164.png 1000x1897 0.53 -0.17
  166 img/dhq.try1/1/dhq-0165.png 1000x1902 0.53 -0.30
  167 img/dhq.try1/1/dhq-0166.png 1000x1900 0.53 -0.25
  168 img/dhq.try1/1/dhq-0167.png 1000x1902 0.53 -0.30
  169 img/dhq.try1/1/dhq-0168.png 1000x1899 0.53 -0.22
  170 img/dhq.try1/1/dhq-0169.png 1000x1898 0.53 -0.20
  171 img/dhq.try1/1/dhq-0170.png 1000x1900 0.53 -0.25
  172 img/dhq.try1/1/dhq-0171.png 1000x1905 0.52 -0.37
  173 img/dhq.try1/1/dhq-0172.png 1000x1904 0.53 -0.35
  174 img/dhq.try1/1/dhq-0173.png 1000x1897 0.53 -0.17
  175 img/dhq.try1/1/dhq-0174.png 1000x1897 0.53 -0.17
  176 img/dhq.try1/1/dhq-0175.png 1000x1891 0.53 -0.02
  177 img/dhq.try1/1/dhq-0176.png 1000x1904 0.53 -0.35
  178 img/dhq.try1/1/dhq-0177.png 1000x1894 0.53 -0.09
  179 img/dhq.try1/1/dhq-0178.png 1000x1894 0.53 -0.09
  180 img/dhq.try1/1/dhq-0179.png 1000x1916 0.52 -0.65
  181 img/dhq.try1/1/dhq-0180.png 1000x1898 0.53 -0.20
  182 img/dhq.try1/1/dhq-0181.png 1000x1898 0.53 -0.20
  183 img/dhq.try1/1/dhq-0182.png 1000x1891 0.53 -0.02
  184 img/dhq.try1/1/dhq-0183.png 1000x1892 0.53 -0.04
  185 img/dhq.try1/1/dhq-0184.png 1000x1891 0.53 -0.02
  186 img/dhq.try1/1/dhq-0185.png 1000x1892 0.53 -0.04
  187 img/dhq.try1/1/dhq-0186.png 1000x1895 0.53 -0.12
  188 img/dhq.try1/1/dhq-0187.png 1000x1891 0.53 -0.02
  189 img/dhq.try1/1/dhq-0188.png 1000x1893 0.53 -0.07
  190 img/dhq.try1/1/dhq-0189.png 1000x1892 0.53 -0.04
  191 img/dhq.try1/1/dhq-0190.png 1000x1893 0.53 -0.07
  192 img/dhq.try1/1/dhq-0191.png 1000x1892 0.53 -0.04
  193 img/dhq.try1/1/dhq-0192.png 1000x1892 0.53 -0.04
  194 img/dhq.try1/1/dhq-0193.png 1000x1892 0.53 -0.04
  195 img/dhq.try1/1/dhq-0194.png 1000x1893 0.53 -0.07
  196 img/dhq.try1/1/dhq-0195.png 1000x1892 0.53 -0.04
  197 img/dhq.try1/1/dhq-0196.png 1000x1906 0.52 -0.40
  198 img/dhq.try1/1/dhq-0197.png 1000x1903 0.53 -0.32
  199 img/dhq.try1/1/dhq-0198.png 1000x1899 0.53 -0.22
  200 img/dhq.try1/1/dhq-0199.png 1000x1906 0.52 -0.40
  201 img/dhq.try1/2/dhq-0200.png 1000x1903 0.53 -0.32
  202 img/dhq.try1/2/dhq-0201.png 1000x1895 0.53 -0.12
  203 img/dhq.try1/2/dhq-0202.png 1000x1892 0.53 -0.04
  204 img/dhq.try1/2/dhq-0203.png 1000x1898 0.53 -0.20
  205 img/dhq.try1/2/dhq-0204.png 1000x1892 0.53 -0.04
  206 img/dhq.try1/2/dhq-0205.png 1000x1895 0.53 -0.12
  207 img/dhq.try1/2/dhq-0206.png 1000x1892 0.53 -0.04
  208 img/dhq.try1/2/dhq-0207.png 1000x1892 0.53 -0.04
  209 img/dhq.try1/2/dhq-0208.png 1000x1895 0.53 -0.12
  210 img/dhq.try1/2/dhq-0209.png 1000x1892 0.53 -0.04
  211 img/dhq.try1/2/dhq-0210.png 1000x1892 0.53 -0.04
  212 img/dhq.try1/2/dhq-0211.png 1000x1895 0.53 -0.12
  213 img/dhq.try1/2/dhq-0212.png 1000x1892 0.53 -0.04
  214 img/dhq.try1/2/dhq-0213.png 1000x1892 0.53 -0.04
  215 img/dhq.try1/2/dhq-0214.png 1000x1892 0.53 -0.04
  216 img/dhq.try1/2/dhq-0215.png 1000x1892 0.53 -0.04
  217 img/dhq.try1/2/dhq-0216.png 1000x1892 0.53 -0.04
  218 img/dhq.try1/2/dhq-0217.png 1000x1892 0.53 -0.04
  219 img/dhq.try1/2/dhq-0218.png 1000x1895 0.53 -0.12
  220 img/dhq.try1/2/dhq-0219.png 1000x1892 0.53 -0.04
  221 img/dhq.try1/2/dhq-0220.png 1000x1893 0.53 -0.07
  222 img/dhq.try1/2/dhq-0221.png 1000x1891 0.53 -0.02
  223 img/dhq.try1/2/dhq-0222.png 1000x1895 0.53 -0.12
  224 img/dhq.try1/2/dhq-0223.png 1000x1892 0.53 -0.04
  225 img/dhq.try1/2/dhq-0224.png 1000x1897 0.53 -0.17
  226 img/dhq.try1/2/dhq-0225.png 1000x1893 0.53 -0.07
  227 img/dhq.try1/2/dhq-0226.png 1000x1892 0.53 -0.04
  228 img/dhq.try1/2/dhq-0227.png 1000x1894 0.53 -0.09
  229 img/dhq.try1/2/dhq-0228.png 1000x1895 0.53 -0.12
  230 img/dhq.try1/2/dhq-0229.png 1000x1894 0.53 -0.09
  231 img/dhq.try1/2/dhq-0230.png 1000x1893 0.53 -0.07
