mean 0.635704281700835, prms 0.818670017809954, median 0.616523, min 0.539084, max 30.303, adev 0.048437075854618, rms 0.818359150125379
=== Full report: ===
    1 img/hw4/0/hw4-0001.png 1000x853 1.17 0.66
    2 img/hw4/0/hw4-0002.png 1000x33 30.30 36.24
    3 img/hw4/0/hw4-0003.png 1000x1768 0.57 -0.09
    4 img/hw4/0/hw4-0004.png 1000x1613 0.62 -0.02
    5 img/hw4/0/hw4-0005.png 1000x1628 0.61 -0.03
    6 img/hw4/0/hw4-0006.png 1000x1625 0.62 -0.02
    7 img/hw4/0/hw4-0007.png 1000x1633 0.61 -0.03
    8 img/hw4/0/hw4-0008.png 1000x1634 0.61 -0.03
    9 img/hw4/0/hw4-0009.png 1000x1632 0.61 -0.03
   10 img/hw4/0/hw4-0010.png 1000x1631 0.61 -0.03
   11 img/hw4/0/hw4-0011.png 1000x1633 0.61 -0.03
   12 img/hw4/0/hw4-0012.png 1000x1632 0.61 -0.03
   13 img/hw4/0/hw4-0013.png 1000x1000 1.00 0.44
   14 img/hw4/0/hw4-0014.png 1000x1357 0.74 0.12
   15 img/hw4/0/hw4-0015.png 1000x1548 0.65 0.01
   16 img/hw4/0/hw4-0016.png 1000x1630 0.61 -0.03
   17 img/hw4/0/hw4-0017.png 1000x1548 0.65 0.01
   18 img/hw4/0/hw4-0018.png 1000x1633 0.61 -0.03
   19 img/hw4/0/hw4-0019.png 1000x1612 0.62 -0.02
   20 img/hw4/0/hw4-0020.png 1000x1624 0.62 -0.02
   21 img/hw4/0/hw4-0021.png 1000x1626 0.62 -0.03
   22 img/hw4/0/hw4-0022.png 1000x1625 0.62 -0.02
   23 img/hw4/0/hw4-0023.png 1000x1622 0.62 -0.02
   24 img/hw4/0/hw4-0024.png 1000x1623 0.62 -0.02
   25 img/hw4/0/hw4-0025.png 1000x1631 0.61 -0.03
   26 img/hw4/0/hw4-0026.png 1000x1626 0.62 -0.03
   27 img/hw4/0/hw4-0027.png 1000x1626 0.62 -0.03
   28 img/hw4/0/hw4-0028.png 1000x1621 0.62 -0.02
   29 img/hw4/0/hw4-0029.png 1000x1625 0.62 -0.02
   30 img/hw4/0/hw4-0030.png 1000x1747 0.57 -0.08
   31 img/hw4/0/hw4-0031.png 1000x1627 0.61 -0.03
   32 img/hw4/0/hw4-0032.png 1000x1625 0.62 -0.02
   33 img/hw4/0/hw4-0033.png 1000x1626 0.62 -0.03
   34 img/hw4/0/hw4-0034.png 1000x1624 0.62 -0.02
   35 img/hw4/0/hw4-0035.png 1000x1619 0.62 -0.02
   36 img/hw4/0/hw4-0036.png 1000x1627 0.61 -0.03
   37 img/hw4/0/hw4-0037.png 1000x1628 0.61 -0.03
   38 img/hw4/0/hw4-0038.png 1000x1623 0.62 -0.02
   39 img/hw4/0/hw4-0039.png 1000x1628 0.61 -0.03
   40 img/hw4/0/hw4-0040.png 1000x1625 0.62 -0.02
   41 img/hw4/0/hw4-0041.png 1000x1621 0.62 -0.02
   42 img/hw4/0/hw4-0042.png 1000x1625 0.62 -0.02
   43 img/hw4/0/hw4-0043.png 1000x1638 0.61 -0.03
   44 img/hw4/0/hw4-0044.png 1000x1633 0.61 -0.03
   45 img/hw4/0/hw4-0045.png 1000x1638 0.61 -0.03
   46 img/hw4/0/hw4-0046.png 1000x1632 0.61 -0.03
   47 img/hw4/0/hw4-0047.png 1000x1626 0.62 -0.03
   48 img/hw4/0/hw4-0048.png 1000x1633 0.61 -0.03
   49 img/hw4/0/hw4-0049.png 1000x1632 0.61 -0.03
   50 img/hw4/0/hw4-0050.png 1000x1732 0.58 -0.07
   51 img/hw4/0/hw4-0051.png 1000x1634 0.61 -0.03
   52 img/hw4/0/hw4-0052.png 1000x1620 0.62 -0.02
   53 img/hw4/0/hw4-0053.png 1000x1623 0.62 -0.02
   54 img/hw4/0/hw4-0054.png 1000x1624 0.62 -0.02
   55 img/hw4/0/hw4-0055.png 1000x1629 0.61 -0.03
   56 img/hw4/0/hw4-0056.png 1000x1630 0.61 -0.03
   57 img/hw4/0/hw4-0057.png 1000x1622 0.62 -0.02
   58 img/hw4/0/hw4-0058.png 1000x1623 0.62 -0.02
   59 img/hw4/0/hw4-0059.png 1000x1620 0.62 -0.02
   60 img/hw4/0/hw4-0060.png 1000x1683 0.59 -0.05
   61 img/hw4/0/hw4-0061.png 1000x1627 0.61 -0.03
