mean 0.592670918405518, prms 0.186149297607067, median 0.587774, min 0.0323373, max 9.86842, adev 0.0140099001892973, rms 0.186118758799937
=== Full report: ===
    1 img/kaz/0/kaz-0001.png 750x2673 0.28 -1.68
    2 img/kaz/0/kaz-0002.png 750x721 1.04 2.40
    3 img/kaz/0/kaz-0003.png 750x750 1.00 2.19
    4 img/kaz/0/kaz-0004.png 750x750 1.00 2.19
    5 img/kaz/0/kaz-0005.png 750x1500 0.50 -0.50
    6 img/kaz/0/kaz-0006.png 750x750 1.00 2.19
    7 img/kaz/0/kaz-0007.png 750x1052 0.71 0.65
    8 img/kaz/0/kaz-0008.png 750x158 4.75 22.32
    9 img/kaz/0/kaz-0009.png 750x1255 0.60 0.03
   10 img/kaz/0/kaz-0010.png 750x1117 0.67 0.42
   11 img/kaz/0/kaz-0011.png 750x1283 0.58 -0.04
   12 img/kaz/0/kaz-0012.png 750x1285 0.58 -0.05
   13 img/kaz/0/kaz-0013.png 750x1266 0.59 -0.00
   14 img/kaz/0/kaz-0014.png 750x1276 0.59 -0.03
   15 img/kaz/0/kaz-0015.png 750x1284 0.58 -0.05
   16 img/kaz/0/kaz-0016.png 750x1271 0.59 -0.01
   17 img/kaz/0/kaz-0017.png 750x1282 0.59 -0.04
   18 img/kaz/0/kaz-0018.png 750x1263 0.59 0.01
   19 img/kaz/0/kaz-0019.png 750x1301 0.58 -0.09
   20 img/kaz/0/kaz-0020.png 750x1260 0.60 0.01
   21 img/kaz/0/kaz-0021.png 750x1198 0.63 0.18
   22 img/kaz/0/kaz-0022.png 750x1274 0.59 -0.02
   23 img/kaz/0/kaz-0023.png 750x1264 0.59 0.00
   24 img/kaz/0/kaz-0024.png 750x1296 0.58 -0.08
   25 img/kaz/0/kaz-0025.png 750x1273 0.59 -0.02
   26 img/kaz/0/kaz-0026.png 750x1260 0.60 0.01
   27 img/kaz/0/kaz-0027.png 750x1319 0.57 -0.13
   28 img/kaz/0/kaz-0028.png 750x1270 0.59 -0.01
   29 img/kaz/0/kaz-0029.png 750x1264 0.59 0.00
   30 img/kaz/0/kaz-0030.png 750x1284 0.58 -0.05
   31 img/kaz/0/kaz-0031.png 750x1195 0.63 0.19
   32 img/kaz/0/kaz-0032.png 750x1278 0.59 -0.03
   33 img/kaz/0/kaz-0033.png 750x1289 0.58 -0.06
   34 img/kaz/0/kaz-0034.png 750x1260 0.60 0.01
   35 img/kaz/0/kaz-0035.png 750x1327 0.57 -0.15
   36 img/kaz/0/kaz-0036.png 750x1285 0.58 -0.05
   37 img/kaz/0/kaz-0037.png 750x1272 0.59 -0.02
   38 img/kaz/0/kaz-0038.png 750x1284 0.58 -0.05
   39 img/kaz/0/kaz-0039.png 750x1237 0.61 0.07
   40 img/kaz/0/kaz-0040.png 750x1292 0.58 -0.07
   41 img/kaz/0/kaz-0041.png 750x1277 0.59 -0.03
   42 img/kaz/0/kaz-0042.png 750x1291 0.58 -0.06
   43 img/kaz/0/kaz-0043.png 750x1317 0.57 -0.12
   44 img/kaz/0/kaz-0044.png 750x1295 0.58 -0.07
   45 img/kaz/0/kaz-0045.png 750x1285 0.58 -0.05
   46 img/kaz/0/kaz-0046.png 750x1279 0.59 -0.03
   47 img/kaz/0/kaz-0047.png 750x1288 0.58 -0.06
   48 img/kaz/0/kaz-0048.png 750x1283 0.58 -0.04
   49 img/kaz/0/kaz-0049.png 750x1279 0.59 -0.03
   50 img/kaz/0/kaz-0050.png 750x1273 0.59 -0.02
   51 img/kaz/0/kaz-0051.png 750x1323 0.57 -0.14
   52 img/kaz/0/kaz-0052.png 750x1290 0.58 -0.06
   53 img/kaz/0/kaz-0053.png 750x1298 0.58 -0.08
   54 img/kaz/0/kaz-0054.png 750x1286 0.58 -0.05
   55 img/kaz/0/kaz-0055.png 750x1289 0.58 -0.06
   56 img/kaz/0/kaz-0056.png 750x1280 0.59 -0.04
   57 img/kaz/0/kaz-0057.png 750x1272 0.59 -0.02
   58 img/kaz/0/kaz-0058.png 750x1290 0.58 -0.06
   59 img/kaz/0/kaz-0059.png 750x1317 0.57 -0.12
   60 img/kaz/0/kaz-0060.png 750x1266 0.59 -0.00
   61 img/kaz/0/kaz-0061.png 750x1265 0.59 0.00
   62 img/kaz/0/kaz-0062.png 750x1279 0.59 -0.03
   63 img/kaz/0/kaz-0063.png 750x1261 0.59 0.01
   64 img/kaz/0/kaz-0064.png 750x1275 0.59 -0.02
   65 img/kaz/0/kaz-0065.png 750x1291 0.58 -0.06
   66 img/kaz/0/kaz-0066.png 750x1284 0.58 -0.05
   67 img/kaz/0/kaz-0067.png 750x1334 0.56 -0.16
   68 img/kaz/0/kaz-0068.png 750x1268 0.59 -0.01
   69 img/kaz/0/kaz-0069.png 750x1274 0.59 -0.02
   70 img/kaz/0/kaz-0070.png 750x1270 0.59 -0.01
   71 img/kaz/0/kaz-0071.png 750x1286 0.58 -0.05
   72 img/kaz/0/kaz-0072.png 750x1288 0.58 -0.06
   73 img/kaz/0/kaz-0073.png 750x1294 0.58 -0.07
   74 img/kaz/0/kaz-0074.png 750x1263 0.59 0.01
   75 img/kaz/0/kaz-0075.png 750x1311 0.57 -0.11
   76 img/kaz/0/kaz-0076.png 750x1296 0.58 -0.08
   77 img/kaz/0/kaz-0077.png 750x1269 0.59 -0.01
   78 img/kaz/0/kaz-0078.png 750x1263 0.59 0.01
   79 img/kaz/0/kaz-0079.png 750x1285 0.58 -0.05
   80 img/kaz/0/kaz-0080.png 750x1287 0.58 -0.05
   81 img/kaz/0/kaz-0081.png 750x1281 0.59 -0.04
   82 img/kaz/0/kaz-0082.png 750x1286 0.58 -0.05
   83 img/kaz/0/kaz-0083.png 750x1302 0.58 -0.09
   84 img/kaz/0/kaz-0084.png 750x1259 0.60 0.02
   85 img/kaz/0/kaz-0085.png 750x1281 0.59 -0.04
   86 img/kaz/0/kaz-0086.png 750x1259 0.60 0.02
   87 img/kaz/0/kaz-0087.png 750x1269 0.59 -0.01
   88 img/kaz/0/kaz-0088.png 750x1258 0.60 0.02
   89 img/kaz/0/kaz-0089.png 750x1261 0.59 0.01
   90 img/kaz/0/kaz-0090.png 750x1267 0.59 -0.00
