mean 0.751790029239769, prms 0.167351873521054, median 0.737554, min 0.422833, max 4.31655, adev 0.0316454229373546, rms 0.167324686148034
=== Full report: ===
    1 img/ll/0/ll-0001.png 1068x376 2.84 12.48
    2 img/ll/0/ll-0002.png 1200x2297 0.52 -1.37
    3 img/ll/0/ll-0003.png 1200x2820 0.43 -1.95
    4 img/ll/0/ll-0004.png 1200x1942 0.62 -0.80
    5 img/ll/0/ll-0005.png 1200x1290 0.93 1.07
    6 img/ll/0/ll-0006.png 1200x1537 0.78 0.17
    7 img/ll/0/ll-0007.png 1200x1622 0.74 -0.07
    8 img/ll/0/ll-0008.png 1200x1611 0.74 -0.04
    9 img/ll/0/ll-0009.png 1200x1613 0.74 -0.05
   10 img/ll/0/ll-0010.png 1200x1603 0.75 -0.02
   11 img/ll/0/ll-0011.png 1200x1641 0.73 -0.12
   12 img/ll/0/ll-0012.png 1200x1604 0.75 -0.02
   13 img/ll/0/ll-0013.png 1200x1611 0.74 -0.04
   14 img/ll/0/ll-0014.png 1200x1648 0.73 -0.14
   15 img/ll/0/ll-0015.png 1200x1638 0.73 -0.11
   16 img/ll/0/ll-0016.png 1200x1605 0.75 -0.02
   17 img/ll/0/ll-0017.png 1200x1592 0.75 0.01
   18 img/ll/0/ll-0018.png 1200x1596 0.75 0.00
   19 img/ll/0/ll-0019.png 1200x1607 0.75 -0.03
   20 img/ll/0/ll-0020.png 1200x1618 0.74 -0.06
   21 img/ll/0/ll-0021.png 1200x1618 0.74 -0.06
   22 img/ll/0/ll-0022.png 1200x1623 0.74 -0.07
   23 img/ll/0/ll-0023.png 1200x1606 0.75 -0.03
   24 img/ll/0/ll-0024.png 1200x1601 0.75 -0.01
   25 img/ll/0/ll-0025.png 1200x1610 0.75 -0.04
   26 img/ll/0/ll-0026.png 1200x1598 0.75 -0.01
   27 img/ll/0/ll-0027.png 1200x1596 0.75 0.00
   28 img/ll/0/ll-0028.png 1200x1007 1.19 2.63
   29 img/ll/0/ll-0029.png 1200x1575 0.76 0.06
   30 img/ll/0/ll-0030.png 1200x1627 0.74 -0.09
   31 img/ll/0/ll-0031.png 1200x1606 0.75 -0.03
   32 img/ll/0/ll-0032.png 1200x1559 0.77 0.11
   33 img/ll/0/ll-0033.png 1200x774 1.55 4.77
   34 img/ll/0/ll-0034.png 1200x656 1.83 6.44
   35 img/ll/0/ll-0035.png 1x1 1.00 1.48
   36 img/ll/0/ll-0036.png 1200x1494 0.80 0.31
   37 img/ll/0/ll-0037.png 1200x1139 1.05 1.80
   38 img/ll/0/ll-0038.png 1200x1631 0.74 -0.10
   39 img/ll/0/ll-0039.png 1200x1621 0.74 -0.07
   40 img/ll/0/ll-0040.png 1200x1620 0.74 -0.07
   41 img/ll/0/ll-0041.png 1200x1648 0.73 -0.14
   42 img/ll/0/ll-0042.png 1200x1590 0.75 0.02
   43 img/ll/0/ll-0043.png 1200x1591 0.75 0.01
   44 img/ll/0/ll-0044.png 1200x1625 0.74 -0.08
   45 img/ll/0/ll-0045.png 1200x1634 0.73 -0.10
   46 img/ll/0/ll-0046.png 1200x1635 0.73 -0.11
   47 img/ll/0/ll-0047.png 1200x1619 0.74 -0.06
   48 img/ll/0/ll-0048.png 1200x1630 0.74 -0.09
   49 img/ll/0/ll-0049.png 1200x1610 0.75 -0.04
   50 img/ll/0/ll-0050.png 1200x1625 0.74 -0.08
   51 img/ll/0/ll-0051.png 1200x1626 0.74 -0.08
   52 img/ll/0/ll-0052.png 1200x1622 0.74 -0.07
   53 img/ll/0/ll-0053.png 1200x1628 0.74 -0.09
   54 img/ll/0/ll-0054.png 1200x1618 0.74 -0.06
   55 img/ll/0/ll-0055.png 1200x1627 0.74 -0.09
   56 img/ll/0/ll-0056.png 1200x1636 0.73 -0.11
   57 img/ll/0/ll-0057.png 1200x1620 0.74 -0.07
   58 img/ll/0/ll-0058.png 1200x1617 0.74 -0.06
   59 img/ll/0/ll-0059.png 1200x1619 0.74 -0.06
   60 img/ll/0/ll-0060.png 1200x1624 0.74 -0.08
   61 img/ll/0/ll-0061.png 1200x1619 0.74 -0.06
   62 img/ll/0/ll-0062.png 1200x1631 0.74 -0.10
   63 img/ll/0/ll-0063.png 1200x1623 0.74 -0.07
   64 img/ll/0/ll-0064.png 1200x1612 0.74 -0.04
   65 img/ll/0/ll-0065.png 1200x1617 0.74 -0.06
   66 img/ll/0/ll-0066.png 1200x1602 0.75 -0.02
   67 img/ll/0/ll-0067.png 1200x1612 0.74 -0.04
   68 img/ll/0/ll-0068.png 1200x1614 0.74 -0.05
   69 img/ll/0/ll-0069.png 1200x1622 0.74 -0.07
   70 img/ll/0/ll-0070.png 1200x1635 0.73 -0.11
   71 img/ll/0/ll-0071.png 1200x1614 0.74 -0.05
   72 img/ll/0/ll-0072.png 1200x1626 0.74 -0.08
   73 img/ll/0/ll-0073.png 1200x1622 0.74 -0.07
   74 img/ll/0/ll-0074.png 1200x1611 0.74 -0.04
   75 img/ll/0/ll-0075.png 1200x1599 0.75 -0.01
   76 img/ll/0/ll-0076.png 1200x1616 0.74 -0.06
   77 img/ll/0/ll-0077.png 1200x1621 0.74 -0.07
   78 img/ll/0/ll-0078.png 1200x1637 0.73 -0.11
   79 img/ll/0/ll-0079.png 1200x1624 0.74 -0.08
   80 img/ll/0/ll-0080.png 1200x1639 0.73 -0.12
   81 img/ll/0/ll-0081.png 1200x1628 0.74 -0.09
   82 img/ll/0/ll-0082.png 1200x1626 0.74 -0.08
   83 img/ll/0/ll-0083.png 1200x1626 0.74 -0.08
   84 img/ll/0/ll-0084.png 1200x1617 0.74 -0.06
   85 img/ll/0/ll-0085.png 1200x1619 0.74 -0.06
   86 img/ll/0/ll-0086.png 1200x1628 0.74 -0.09
   87 img/ll/0/ll-0087.png 1200x1618 0.74 -0.06
   88 img/ll/0/ll-0088.png 1200x1637 0.73 -0.11
   89 img/ll/0/ll-0089.png 1200x1623 0.74 -0.07
   90 img/ll/0/ll-0090.png 1200x1622 0.74 -0.07
   91 img/ll/0/ll-0091.png 1200x1614 0.74 -0.05
   92 img/ll/0/ll-0092.png 1200x1614 0.74 -0.05
   93 img/ll/0/ll-0093.png 1200x1623 0.74 -0.07
   94 img/ll/0/ll-0094.png 1200x1628 0.74 -0.09
   95 img/ll/0/ll-0095.png 1200x1619 0.74 -0.06
   96 img/ll/0/ll-0096.png 1200x1637 0.73 -0.11
   97 img/ll/0/ll-0097.png 1200x1629 0.74 -0.09
   98 img/ll/0/ll-0098.png 1200x1627 0.74 -0.09
   99 img/ll/0/ll-0099.png 1200x1625 0.74 -0.08
  100 img/ll/10/ll-1000.png 1200x1624 0.74 -0.08
  101 img/ll/10/ll-1001.png 1200x1620 0.74 -0.07
  102 img/ll/10/ll-1002.png 1200x1612 0.74 -0.04
  103 img/ll/10/ll-1003.png 1200x1615 0.74 -0.05
  104 img/ll/10/ll-1004.png 1200x1620 0.74 -0.07
  105 img/ll/10/ll-1005.png 1200x1616 0.74 -0.06
  106 img/ll/10/ll-1006.png 1200x1615 0.74 -0.05
  107 img/ll/10/ll-1007.png 1200x1619 0.74 -0.06
  108 img/ll/10/ll-1008.png 1200x1595 0.75 0.00
  109 img/ll/10/ll-1009.png 1200x1606 0.75 -0.03
  110 img/ll/10/ll-1010.png 1200x1635 0.73 -0.11
  111 img/ll/10/ll-1011.png 1200x1628 0.74 -0.09
  112 img/ll/10/ll-1012.png 1200x1637 0.73 -0.11
  113 img/ll/10/ll-1013.png 1200x1633 0.73 -0.10
  114 img/ll/10/ll-1014.png 1200x1616 0.74 -0.06
  115 img/ll/10/ll-1015.png 1200x1630 0.74 -0.09
  116 img/ll/10/ll-1016.png 1200x1617 0.74 -0.06
  117 img/ll/10/ll-1017.png 1200x1627 0.74 -0.09
  118 img/ll/10/ll-1018.png 1200x1639 0.73 -0.12
  119 img/ll/10/ll-1019.png 1200x1629 0.74 -0.09
  120 img/ll/10/ll-1020.png 1200x1630 0.74 -0.09
