mean 0.623475664018164, prms 0.169851710905206, median 0.594699, min 0.57284, max 4.04858, adev 0.0529264399525382, rms 0.169755286423461
=== Full report: ===
    1 img/mgf/0/mgf-0000.png 744x1295 0.57 -0.29
    2 img/mgf/0/mgf-0001.png 464x810 0.57 -0.30
    3 img/mgf/0/mgf-0002.png 826x1317 0.63 0.02
    4 img/mgf/0/mgf-0003.png 920x1424 0.65 0.13
    5 img/mgf/0/mgf-0004.png 1x1 1.00 2.22
    6 img/mgf/0/mgf-0005.png 1x1 1.00 2.22
    7 img/mgf/0/mgf-0006.png 1x1 1.00 2.22
    8 img/mgf/0/mgf-0007.png 920x1511 0.61 -0.09
    9 img/mgf/0/mgf-0008.png 917x1511 0.61 -0.10
   10 img/mgf/0/mgf-0009.png 917x1511 0.61 -0.10
   11 img/mgf/0/mgf-0010.png 917x1511 0.61 -0.10
   12 img/mgf/0/mgf-0011.png 917x1511 0.61 -0.10
   13 img/mgf/0/mgf-0012.png 917x1511 0.61 -0.10
   14 img/mgf/0/mgf-0013.png 917x1511 0.61 -0.10
   15 img/mgf/0/mgf-0014.png 917x1511 0.61 -0.10
   16 img/mgf/0/mgf-0015.png 917x1511 0.61 -0.10
   17 img/mgf/0/mgf-0016.png 917x1511 0.61 -0.10
   18 img/mgf/0/mgf-0017.png 917x1511 0.61 -0.10
   19 img/mgf/0/mgf-0018.png 917x1511 0.61 -0.10
   20 img/mgf/0/mgf-0019.png 917x1511 0.61 -0.10
   21 img/mgf/0/mgf-0020.png 917x1511 0.61 -0.10
   22 img/mgf/0/mgf-0021.png 917x1511 0.61 -0.10
   23 img/mgf/0/mgf-0022.png 917x1511 0.61 -0.10
   24 img/mgf/0/mgf-0023.png 917x1511 0.61 -0.10
   25 img/mgf/0/mgf-0024.png 917x1511 0.61 -0.10
   26 img/mgf/0/mgf-0025.png 917x1511 0.61 -0.10
   27 img/mgf/0/mgf-0026.png 917x1511 0.61 -0.10
   28 img/mgf/0/mgf-0027.png 917x1511 0.61 -0.10
   29 img/mgf/0/mgf-0028.png 917x1511 0.61 -0.10
   30 img/mgf/0/mgf-0029.png 917x1511 0.61 -0.10
   31 img/mgf/0/mgf-0030.png 920x1511 0.61 -0.09
