mean 0.660910158906883, prms 0.124078490230117, median 0.661975, min 0.601326, max 2.47843, adev 0.0330757106287597, rms 0.124015681575002
=== Full report: ===
    1 img/mht/0/mht-0001.png 1320x1972 0.67 0.07
    2 img/mht/0/mht-0002.png 1420x2142 0.66 0.02
    3 img/mht/0/mht-0003.png 1416x2151 0.66 -0.02
    4 img/mht/0/mht-0004.png 1426x2154 0.66 0.01
    5 img/mht/0/mht-0005.png 1432x2140 0.67 0.07
    6 img/mht/0/mht-0006.png 1312x2102 0.62 -0.30
    7 img/mht/0/mht-0007.png 1422x2156 0.66 -0.01
    8 img/mht/0/mht-0008.png 1428x2134 0.67 0.07
    9 img/mht/0/mht-0009.png 1311x2118 0.62 -0.34
   10 img/mht/0/mht-0010.png 1419x2150 0.66 -0.01
   11 img/mht/0/mht-0011.png 1322x2126 0.62 -0.32
   12 img/mht/0/mht-0012.png 1414x2142 0.66 -0.01
   13 img/mht/0/mht-0013.png 1436x2154 0.67 0.05
   14 img/mht/0/mht-0014.png 1423x2140 0.66 0.03
   15 img/mht/0/mht-0015.png 1314x2122 0.62 -0.34
   16 img/mht/0/mht-0016.png 1314x2120 0.62 -0.33
   17 img/mht/0/mht-0017.png 1420x2160 0.66 -0.03
   18 img/mht/0/mht-0018.png 1314x2118 0.62 -0.33
   19 img/mht/0/mht-0019.png 1420x2154 0.66 -0.01
   20 img/mht/0/mht-0020.png 1314x2114 0.62 -0.32
   21 img/mht/0/mht-0021.png 1313x2124 0.62 -0.34
   22 img/mht/0/mht-0022.png 1418x2140 0.66 0.01
   23 img/mht/0/mht-0023.png 1431x2155 0.66 0.03
   24 img/mht/0/mht-0024.png 1424x884 1.61 7.66
   25 img/mht/0/mht-0025.png 1305x1951 0.67 0.06
   26 img/mht/0/mht-0026.png 1426x2143 0.67 0.04
   27 img/mht/0/mht-0027.png 1308x2121 0.62 -0.36
   28 img/mht/0/mht-0028.png 1428x2138 0.67 0.06
   29 img/mht/0/mht-0029.png 1428x2155 0.66 0.01
   30 img/mht/0/mht-0030.png 1424x2133 0.67 0.05
   31 img/mht/0/mht-0031.png 1310x2122 0.62 -0.35
   32 img/mht/0/mht-0032.png 1309x2114 0.62 -0.34
   33 img/mht/0/mht-0033.png 1420x2134 0.67 0.04
   34 img/mht/0/mht-0034.png 1419x2139 0.66 0.02
   35 img/mht/0/mht-0035.png 1421x2148 0.66 0.01
   36 img/mht/0/mht-0036.png 1426x2131 0.67 0.07
   37 img/mht/0/mht-0037.png 1436x2138 0.67 0.09
   38 img/mht/0/mht-0038.png 1308x2109 0.62 -0.33
   39 img/mht/0/mht-0039.png 1309x2114 0.62 -0.34
   40 img/mht/0/mht-0040.png 1418x2124 0.67 0.05
   41 img/mht/0/mht-0041.png 1427x2144 0.67 0.04
   42 img/mht/0/mht-0042.png 1309x2116 0.62 -0.34
   43 img/mht/0/mht-0043.png 1310x2122 0.62 -0.35
   44 img/mht/0/mht-0044.png 1419x2150 0.66 -0.01
   45 img/mht/0/mht-0045.png 1308x2112 0.62 -0.34
   46 img/mht/0/mht-0046.png 1308x2116 0.62 -0.34
   47 img/mht/0/mht-0047.png 1312x2118 0.62 -0.33
   48 img/mht/0/mht-0048.png 1308x2113 0.62 -0.34
   49 img/mht/0/mht-0049.png 1311x2120 0.62 -0.34
   50 img/mht/0/mht-0050.png 1316x2108 0.62 -0.30
   51 img/mht/0/mht-0051.png 1306x2117 0.62 -0.35
   52 img/mht/0/mht-0052.png 1314x2112 0.62 -0.31
   53 img/mht/0/mht-0053.png 1416x2153 0.66 -0.03
   54 img/mht/0/mht-0054.png 1309x2116 0.62 -0.34
   55 img/mht/0/mht-0055.png 1310x2116 0.62 -0.34
   56 img/mht/0/mht-0056.png 1316x2102 0.63 -0.28
   57 img/mht/0/mht-0057.png 1318x2124 0.62 -0.33
   58 img/mht/0/mht-0058.png 1418x2135 0.66 0.03
   59 img/mht/0/mht-0059.png 1312x2117 0.62 -0.33
   60 img/mht/0/mht-0060.png 1307x2120 0.62 -0.36
   61 img/mht/0/mht-0061.png 1421x2151 0.66 -0.00
   62 img/mht/0/mht-0062.png 1320x2112 0.62 -0.29
   63 img/mht/0/mht-0063.png 1311x2120 0.62 -0.34
   64 img/mht/0/mht-0064.png 1416x2130 0.66 0.03
   65 img/mht/0/mht-0065.png 1308x2084 0.63 -0.27
   66 img/mht/0/mht-0066.png 1309x1940 0.67 0.11
   67 img/mht/0/mht-0067.png 1310x2114 0.62 -0.33
   68 img/mht/0/mht-0068.png 1420x2137 0.66 0.03
   69 img/mht/0/mht-0069.png 1308x2116 0.62 -0.34
   70 img/mht/0/mht-0070.png 1308x2110 0.62 -0.33
   71 img/mht/0/mht-0071.png 1313x2116 0.62 -0.33
   72 img/mht/0/mht-0072.png 1423x2130 0.67 0.06
   73 img/mht/0/mht-0073.png 1422x2144 0.66 0.02
   74 img/mht/0/mht-0074.png 1318x2110 0.62 -0.29
   75 img/mht/0/mht-0075.png 1310x2116 0.62 -0.34
   76 img/mht/0/mht-0076.png 1300x2052 0.63 -0.22
   77 img/mht/0/mht-0077.png 1312x1957 0.67 0.08
   78 img/mht/0/mht-0078.png 1308x2106 0.62 -0.32
   79 img/mht/0/mht-0079.png 1418x2150 0.66 -0.01
