mean 0.596312329153604, prms 0.0284603630737833, median 0.594177, min 0.506842, max 1, adev 0.0074921986763097, rms 0.0284492087080507
=== Full report: ===
    1 img/sg/0/sg-0000.png 1000x1601 0.62 0.99
    2 img/sg/0/sg-0001.png 1000x1973 0.51 -3.14
    3 img/sg/0/sg-0002.png 1000x1641 0.61 0.46
    4 img/sg/0/sg-0003.png 1000x1606 0.62 0.93
    5 img/sg/0/sg-0004.png 1000x1660 0.60 0.21
    6 img/sg/0/sg-0005.png 1000x1070 0.93 11.89
    7 img/sg/0/sg-0006.png 1000x1277 0.78 6.56
    8 img/sg/0/sg-0007.png 1000x1663 0.60 0.18
    9 img/sg/0/sg-0008.png 1000x1651 0.61 0.33
   10 img/sg/0/sg-0009.png 1000x1657 0.60 0.25
   11 img/sg/0/sg-0010.png 1000x1669 0.60 0.10
   12 img/sg/0/sg-0011.png 1000x1646 0.61 0.39
   13 img/sg/0/sg-0012.png 1000x1653 0.60 0.30
   14 img/sg/0/sg-0013.png 1000x1633 0.61 0.56
   15 img/sg/0/sg-0014.png 1000x1671 0.60 0.07
   16 img/sg/0/sg-0015.png 1000x1652 0.61 0.32
   17 img/sg/0/sg-0016.png 1000x1665 0.60 0.15
   18 img/sg/0/sg-0017.png 1000x1122 0.89 10.36
   19 img/sg/0/sg-0018.png 1000x1678 0.60 -0.01
   20 img/sg/0/sg-0019.png 1000x1272 0.79 6.67
   21 img/sg/0/sg-0020.png 1000x1493 0.67 2.58
   22 img/sg/0/sg-0021.png 1000x1668 0.60 0.11
   23 img/sg/0/sg-0022.png 1000x1688 0.59 -0.14
   24 img/sg/0/sg-0023.png 1000x1687 0.59 -0.12
   25 img/sg/0/sg-0024.png 1000x1682 0.59 -0.06
   26 img/sg/0/sg-0025.png 1000x1684 0.59 -0.09
   27 img/sg/0/sg-0026.png 1000x1683 0.59 -0.08
   28 img/sg/0/sg-0027.png 1000x1657 0.60 0.25
   29 img/sg/0/sg-0028.png 1000x1697 0.59 -0.25
   30 img/sg/0/sg-0029.png 1000x1677 0.60 -0.00
   31 img/sg/0/sg-0030.png 1000x1687 0.59 -0.12
   32 img/sg/0/sg-0031.png 1000x1667 0.60 0.13
   33 img/sg/0/sg-0032.png 1000x1674 0.60 0.04
   34 img/sg/0/sg-0033.png 1000x1676 0.60 0.01
   35 img/sg/0/sg-0034.png 1000x1693 0.59 -0.20
   36 img/sg/0/sg-0035.png 1000x1682 0.59 -0.06
   37 img/sg/0/sg-0036.png 1000x1740 0.57 -0.76
   38 img/sg/0/sg-0037.png 1000x1694 0.59 -0.21
   39 img/sg/0/sg-0038.png 1000x1702 0.59 -0.31
   40 img/sg/0/sg-0039.png 1000x1684 0.59 -0.09
   41 img/sg/0/sg-0040.png 1000x1691 0.59 -0.17
   42 img/sg/0/sg-0041.png 1000x1699 0.59 -0.27
   43 img/sg/0/sg-0042.png 1000x1693 0.59 -0.20
   44 img/sg/0/sg-0043.png 1000x1679 0.60 -0.03
   45 img/sg/0/sg-0044.png 1000x1743 0.57 -0.79
   46 img/sg/0/sg-0045.png 1000x1690 0.59 -0.16
   47 img/sg/0/sg-0046.png 1000x1703 0.59 -0.32
   48 img/sg/0/sg-0047.png 1000x1685 0.59 -0.10
   49 img/sg/0/sg-0048.png 1000x1710 0.58 -0.40
   50 img/sg/0/sg-0049.png 1000x1704 0.59 -0.33
   51 img/sg/0/sg-0050.png 1000x1669 0.60 0.10
   52 img/sg/0/sg-0051.png 1000x1680 0.60 -0.04
   53 img/sg/0/sg-0052.png 1000x1693 0.59 -0.20
   54 img/sg/0/sg-0053.png 1000x1686 0.59 -0.11
   55 img/sg/0/sg-0054.png 1000x1699 0.59 -0.27
   56 img/sg/0/sg-0055.png 1000x1678 0.60 -0.01
   57 img/sg/0/sg-0056.png 1000x1688 0.59 -0.14
   58 img/sg/0/sg-0057.png 1000x1679 0.60 -0.03
   59 img/sg/0/sg-0058.png 1000x1682 0.59 -0.06
   60 img/sg/0/sg-0059.png 1000x1671 0.60 0.07
   61 img/sg/0/sg-0060.png 1000x1702 0.59 -0.31
   62 img/sg/0/sg-0061.png 1000x1669 0.60 0.10
   63 img/sg/0/sg-0062.png 1000x1646 0.61 0.39
   64 img/sg/0/sg-0063.png 1000x1669 0.60 0.10
   65 img/sg/0/sg-0064.png 1000x1682 0.59 -0.06
   66 img/sg/0/sg-0065.png 1000x1686 0.59 -0.11
   67 img/sg/0/sg-0066.png 1000x1677 0.60 -0.00
   68 img/sg/0/sg-0067.png 1000x1658 0.60 0.24
   69 img/sg/0/sg-0068.png 1000x1723 0.58 -0.56
   70 img/sg/0/sg-0069.png 1000x1694 0.59 -0.21
   71 img/sg/0/sg-0070.png 1000x1696 0.59 -0.24
   72 img/sg/0/sg-0071.png 1000x1682 0.59 -0.06
   73 img/sg/0/sg-0072.png 1000x1690 0.59 -0.16
   74 img/sg/0/sg-0073.png 1000x1684 0.59 -0.09
   75 img/sg/0/sg-0074.png 1000x1699 0.59 -0.27
   76 img/sg/0/sg-0075.png 1000x1683 0.59 -0.08
   77 img/sg/0/sg-0076.png 1000x1727 0.58 -0.61
   78 img/sg/0/sg-0077.png 1000x1695 0.59 -0.22
   79 img/sg/0/sg-0078.png 1000x1641 0.61 0.46
   80 img/sg/0/sg-0079.png 1000x1683 0.59 -0.08
   81 img/sg/0/sg-0080.png 1000x1703 0.59 -0.32
   82 img/sg/0/sg-0081.png 1000x1653 0.60 0.30
   83 img/sg/0/sg-0082.png 1000x1707 0.59 -0.37
   84 img/sg/0/sg-0083.png 1000x1708 0.59 -0.38
   85 img/sg/0/sg-0084.png 1000x1734 0.58 -0.69
   86 img/sg/0/sg-0085.png 1000x1693 0.59 -0.20
   87 img/sg/0/sg-0086.png 1000x1704 0.59 -0.33
