mean 0.718092999999985, prms 1.47720615698702e-14, median 0.718093, min 0.718093, max 0.718093, adev 1.47659662275146e-14, rms 1.47659662275146e-14
=== Full report: ===
    1 img/umr/0/umr-0001.png 1024x1426 0.72 1.00
    2 img/umr/0/umr-0002.png 1024x1426 0.72 1.00
    3 img/umr/0/umr-0003.png 1024x1426 0.72 1.00
    4 img/umr/0/umr-0004.png 1024x1426 0.72 1.00
    5 img/umr/0/umr-0005.png 1024x1426 0.72 1.00
    6 img/umr/0/umr-0006.png 1024x1426 0.72 1.00
    7 img/umr/0/umr-0007.png 1024x1426 0.72 1.00
    8 img/umr/0/umr-0008.png 1024x1426 0.72 1.00
    9 img/umr/0/umr-0009.png 1024x1426 0.72 1.00
   10 img/umr/0/umr-0010.png 1024x1426 0.72 1.00
   11 img/umr/0/umr-0011.png 1024x1426 0.72 1.00
   12 img/umr/0/umr-0012.png 1024x1426 0.72 1.00
   13 img/umr/0/umr-0013.png 1024x1426 0.72 1.00
   14 img/umr/0/umr-0014.png 1024x1426 0.72 1.00
   15 img/umr/0/umr-0015.png 1024x1426 0.72 1.00
   16 img/umr/0/umr-0016.png 1024x1426 0.72 1.00
   17 img/umr/0/umr-0017.png 1024x1426 0.72 1.00
   18 img/umr/0/umr-0018.png 1024x1426 0.72 1.00
   19 img/umr/0/umr-0019.png 1024x1426 0.72 1.00
   20 img/umr/0/umr-0020.png 1024x1426 0.72 1.00
   21 img/umr/0/umr-0021.png 1024x1426 0.72 1.00
   22 img/umr/0/umr-0022.png 1024x1426 0.72 1.00
   23 img/umr/0/umr-0023.png 1024x1426 0.72 1.00
   24 img/umr/0/umr-0024.png 1024x1426 0.72 1.00
   25 img/umr/0/umr-0025.png 1024x1426 0.72 1.00
   26 img/umr/0/umr-0026.png 1024x1426 0.72 1.00
   27 img/umr/0/umr-0027.png 1024x1426 0.72 1.00
   28 img/umr/0/umr-0028.png 1024x1426 0.72 1.00
   29 img/umr/0/umr-0029.png 1024x1426 0.72 1.00
   30 img/umr/0/umr-0030.png 1024x1426 0.72 1.00
   31 img/umr/0/umr-0031.png 1024x1426 0.72 1.00
   32 img/umr/0/umr-0032.png 1024x1426 0.72 1.00
   33 img/umr/0/umr-0033.png 1024x1426 0.72 1.00
   34 img/umr/0/umr-0034.png 1024x1426 0.72 1.00
   35 img/umr/0/umr-0035.png 1024x1426 0.72 1.00
   36 img/umr/0/umr-0036.png 1024x1426 0.72 1.00
   37 img/umr/0/umr-0037.png 1024x1426 0.72 1.00
   38 img/umr/0/umr-0038.png 1024x1426 0.72 1.00
   39 img/umr/0/umr-0039.png 1024x1426 0.72 1.00
   40 img/umr/0/umr-0040.png 1024x1426 0.72 1.00
   41 img/umr/0/umr-0041.png 1024x1426 0.72 1.00
   42 img/umr/0/umr-0042.png 1024x1426 0.72 1.00
   43 img/umr/0/umr-0043.png 1024x1426 0.72 1.00
   44 img/umr/0/umr-0044.png 1024x1426 0.72 1.00
   45 img/umr/0/umr-0045.png 1024x1426 0.72 1.00
   46 img/umr/0/umr-0046.png 1024x1426 0.72 1.00
   47 img/umr/0/umr-0047.png 1024x1426 0.72 1.00
   48 img/umr/0/umr-0048.png 1024x1426 0.72 1.00
   49 img/umr/0/umr-0049.png 1024x1426 0.72 1.00
   50 img/umr/0/umr-0050.png 1024x1426 0.72 1.00
   51 img/umr/0/umr-0051.png 1024x1426 0.72 1.00
   52 img/umr/0/umr-0052.png 1024x1426 0.72 1.00
   53 img/umr/0/umr-0053.png 1024x1426 0.72 1.00
   54 img/umr/0/umr-0054.png 1024x1426 0.72 1.00
   55 img/umr/0/umr-0055.png 1024x1426 0.72 1.00
   56 img/umr/0/umr-0056.png 1024x1426 0.72 1.00
   57 img/umr/0/umr-0057.png 1024x1426 0.72 1.00
   58 img/umr/0/umr-0058.png 1024x1426 0.72 1.00
   59 img/umr/0/umr-0059.png 1024x1426 0.72 1.00
   60 img/umr/0/umr-0060.png 1024x1426 0.72 1.00
   61 img/umr/0/umr-0061.png 1024x1426 0.72 1.00
   62 img/umr/0/umr-0062.png 1024x1426 0.72 1.00
   63 img/umr/0/umr-0063.png 1024x1426 0.72 1.00
   64 img/umr/0/umr-0064.png 1024x1426 0.72 1.00
   65 img/umr/0/umr-0065.png 1024x1426 0.72 1.00
   66 img/umr/0/umr-0066.png 1024x1426 0.72 1.00
   67 img/umr/0/umr-0067.png 1024x1426 0.72 1.00
   68 img/umr/0/umr-0068.png 1024x1426 0.72 1.00
   69 img/umr/0/umr-0069.png 1024x1426 0.72 1.00
   70 img/umr/0/umr-0070.png 1024x1426 0.72 1.00
   71 img/umr/0/umr-0071.png 1024x1426 0.72 1.00
   72 img/umr/0/umr-0072.png 1024x1426 0.72 1.00
   73 img/umr/0/umr-0073.png 1024x1426 0.72 1.00
   74 img/umr/0/umr-0074.png 1024x1426 0.72 1.00
   75 img/umr/0/umr-0075.png 1024x1426 0.72 1.00
   76 img/umr/0/umr-0076.png 1024x1426 0.72 1.00
   77 img/umr/0/umr-0077.png 1024x1426 0.72 1.00
   78 img/umr/0/umr-0078.png 1024x1426 0.72 1.00
   79 img/umr/0/umr-0079.png 1024x1426 0.72 1.00
   80 img/umr/0/umr-0080.png 1024x1426 0.72 1.00
   81 img/umr/0/umr-0081.png 1024x1426 0.72 1.00
   82 img/umr/0/umr-0082.png 1024x1426 0.72 1.00
   83 img/umr/0/umr-0083.png 1024x1426 0.72 1.00
   84 img/umr/0/umr-0084.png 1024x1426 0.72 1.00
   85 img/umr/0/umr-0085.png 1024x1426 0.72 1.00
   86 img/umr/0/umr-0086.png 1024x1426 0.72 1.00
   87 img/umr/0/umr-0087.png 1024x1426 0.72 1.00
   88 img/umr/0/umr-0088.png 1024x1426 0.72 1.00
   89 img/umr/0/umr-0089.png 1024x1426 0.72 1.00
   90 img/umr/0/umr-0090.png 1024x1426 0.72 1.00
   91 img/umr/0/umr-0091.png 1024x1426 0.72 1.00
   92 img/umr/0/umr-0092.png 1024x1426 0.72 1.00
   93 img/umr/0/umr-0093.png 1024x1426 0.72 1.00
   94 img/umr/0/umr-0094.png 1024x1426 0.72 1.00
   95 img/umr/0/umr-0095.png 1024x1426 0.72 1.00
   96 img/umr/0/umr-0096.png 1024x1426 0.72 1.00
   97 img/umr/0/umr-0097.png 1024x1426 0.72 1.00
   98 img/umr/0/umr-0098.png 1024x1426 0.72 1.00
   99 img/umr/0/umr-0099.png 1024x1426 0.72 1.00
  100 img/umr/10/umr-1000.png 1024x1426 0.72 1.00
  101 img/umr/10/umr-1001.png 1024x1426 0.72 1.00
  102 img/umr/10/umr-1002.png 1024x1426 0.72 1.00
  103 img/umr/10/umr-1003.png 1024x1426 0.72 1.00
  104 img/umr/10/umr-1004.png 1024x1426 0.72 1.00
  105 img/umr/10/umr-1005.png 1024x1426 0.72 1.00
  106 img/umr/10/umr-1006.png 1024x1426 0.72 1.00
  107 img/umr/10/umr-1007.png 1024x1426 0.72 1.00
  108 img/umr/10/umr-1008.png 1024x1426 0.72 1.00
  109 img/umr/10/umr-1009.png 1024x1426 0.72 1.00
  110 img/umr/10/umr-1010.png 1024x1426 0.72 1.00
  111 img/umr/10/umr-1011.png 1024x1426 0.72 1.00
  112 img/umr/10/umr-1012.png 1024x1426 0.72 1.00
  113 img/umr/10/umr-1013.png 1024x1426 0.72 1.00
  114 img/umr/10/umr-1014.png 1024x1426 0.72 1.00
  115 img/umr/10/umr-1015.png 1024x1426 0.72 1.00
  116 img/umr/10/umr-1016.png 1024x1426 0.72 1.00
  117 img/umr/10/umr-1017.png 1024x1426 0.72 1.00
  118 img/umr/10/umr-1018.png 1024x1426 0.72 1.00
  119 img/umr/10/umr-1019.png 1024x1426 0.72 1.00
  120 img/umr/10/umr-1020.png 1024x1426 0.72 1.00
  121 img/umr/10/umr-1021.png 1024x1426 0.72 1.00
  122 img/umr/10/umr-1022.png 1024x1426 0.72 1.00
  123 img/umr/10/umr-1023.png 1024x1426 0.72 1.00
  124 img/umr/10/umr-1024.png 1024x1426 0.72 1.00
  125 img/umr/10/umr-1025.png 1024x1426 0.72 1.00
  126 img/umr/10/umr-1026.png 1024x1426 0.72 1.00
  127 img/umr/10/umr-1027.png 1024x1426 0.72 1.00
  128 img/umr/10/umr-1028.png 1024x1426 0.72 1.00
  129 img/umr/10/umr-1029.png 1024x1426 0.72 1.00
  130 img/umr/10/umr-1030.png 1024x1426 0.72 1.00
  131 img/umr/10/umr-1031.png 1024x1426 0.72 1.00
  132 img/umr/10/umr-1032.png 1024x1426 0.72 1.00
  133 img/umr/10/umr-1033.png 1024x1426 0.72 1.00
  134 img/umr/10/umr-1034.png 1024x1426 0.72 1.00
  135 img/umr/10/umr-1035.png 1024x1426 0.72 1.00
  136 img/umr/10/umr-1036.png 1024x1426 0.72 1.00
  137 img/umr/10/umr-1037.png 1024x1426 0.72 1.00
  138 img/umr/10/umr-1038.png 1024x1426 0.72 1.00
  139 img/umr/10/umr-1039.png 1024x1426 0.72 1.00
  140 img/umr/10/umr-1040.png 1024x1426 0.72 1.00
  141 img/umr/10/umr-1041.png 1024x1426 0.72 1.00
  142 img/umr/10/umr-1042.png 1024x1426 0.72 1.00
  143 img/umr/10/umr-1043.png 1024x1426 0.72 1.00
  144 img/umr/10/umr-1044.png 1024x1426 0.72 1.00
  145 img/umr/10/umr-1045.png 1024x1426 0.72 1.00
  146 img/umr/10/umr-1046.png 1024x1426 0.72 1.00
  147 img/umr/10/umr-1047.png 1024x1426 0.72 1.00
  148 img/umr/10/umr-1048.png 1024x1426 0.72 1.00
  149 img/umr/10/umr-1049.png 1024x1426 0.72 1.00
  150 img/umr/10/umr-1050.png 1024x1426 0.72 1.00
  151 img/umr/10/umr-1051.png 1024x1426 0.72 1.00
  152 img/umr/10/umr-1052.png 1024x1426 0.72 1.00
  153 img/umr/10/umr-1053.png 1024x1426 0.72 1.00
  154 img/umr/10/umr-1054.png 1024x1426 0.72 1.00
  155 img/umr/10/umr-1055.png 1024x1426 0.72 1.00
  156 img/umr/10/umr-1056.png 1024x1426 0.72 1.00
  157 img/umr/10/umr-1057.png 1024x1426 0.72 1.00
  158 img/umr/10/umr-1058.png 1024x1426 0.72 1.00
  159 img/umr/10/umr-1059.png 1024x1426 0.72 1.00
  160 img/umr/10/umr-1060.png 1024x1426 0.72 1.00
  161 img/umr/10/umr-1061.png 1024x1426 0.72 1.00
  162 img/umr/10/umr-1062.png 1024x1426 0.72 1.00
  163 img/umr/10/umr-1063.png 1024x1426 0.72 1.00
  164 img/umr/10/umr-1064.png 1024x1426 0.72 1.00
  165 img/umr/10/umr-1065.png 1024x1426 0.72 1.00
  166 img/umr/10/umr-1066.png 1024x1426 0.72 1.00
  167 img/umr/10/umr-1067.png 1024x1426 0.72 1.00
  168 img/umr/10/umr-1068.png 1024x1426 0.72 1.00
  169 img/umr/10/umr-1069.png 1024x1426 0.72 1.00
  170 img/umr/10/umr-1070.png 1024x1426 0.72 1.00
  171 img/umr/10/umr-1071.png 1024x1426 0.72 1.00
  172 img/umr/10/umr-1072.png 1024x1426 0.72 1.00
  173 img/umr/10/umr-1073.png 1024x1426 0.72 1.00
  174 img/umr/10/umr-1074.png 1024x1426 0.72 1.00
  175 img/umr/10/umr-1075.png 1024x1426 0.72 1.00
  176 img/umr/10/umr-1076.png 1024x1426 0.72 1.00
  177 img/umr/10/umr-1077.png 1024x1426 0.72 1.00
  178 img/umr/10/umr-1078.png 1024x1426 0.72 1.00
  179 img/umr/10/umr-1079.png 1024x1426 0.72 1.00
  180 img/umr/10/umr-1080.png 1024x1426 0.72 1.00
  181 img/umr/10/umr-1081.png 1024x1426 0.72 1.00
  182 img/umr/10/umr-1082.png 1024x1426 0.72 1.00
  183 img/umr/10/umr-1083.png 1024x1426 0.72 1.00
  184 img/umr/10/umr-1084.png 1024x1426 0.72 1.00
  185 img/umr/10/umr-1085.png 1024x1426 0.72 1.00
  186 img/umr/10/umr-1086.png 1024x1426 0.72 1.00
  187 img/umr/10/umr-1087.png 1024x1426 0.72 1.00
  188 img/umr/10/umr-1088.png 1024x1426 0.72 1.00
  189 img/umr/10/umr-1089.png 1024x1426 0.72 1.00
  190 img/umr/10/umr-1090.png 1024x1426 0.72 1.00
  191 img/umr/10/umr-1091.png 1024x1426 0.72 1.00
  192 img/umr/10/umr-1092.png 1024x1426 0.72 1.00
  193 img/umr/10/umr-1093.png 1024x1426 0.72 1.00
  194 img/umr/10/umr-1094.png 1024x1426 0.72 1.00
  195 img/umr/10/umr-1095.png 1024x1426 0.72 1.00
